Investigator: 
Experiment ID: 
Description: 

,
Maestro Settings,
   Original File Time,1/30/2017 9:45:50 AM
   Sampling Frequency,12.5 kHz
   Voltage Scale,5.51E-08 V/sample
   Experiment Start Time,1/30/2017 9:35:49 AM
   Referencing Method,FpgaMedian
   Analog Mode Setting,Neural Spikes
   Plate Type,Maestro 48-Well (Opaque)
   Digital Low Pass Filter,None
   Digital High Pass Filter,5 Hz IIR
   Temperature Set Point,37.0 Degrees C
   Current Temperature,37.0 Degrees C
   Heater Power,On
   AxIS Version,2.3.3.5
   MiddleMan Firmware,2.3.3.5
   Maestro Firmware,2.3.3.5
,
AxIS Batch Process,
   AxIS Version,2.5.1.10
   File Name,ON_20170118_MW1145-16_12_00(000).raw
   Requested File Section,0s to 15m0s
   Actual File Section Run,0s to 15m0s
   Recording Offset from File Start,0s
,
Digital Filter Settings,
   High Pass Filter,Butterworth
   High Pass Poles,1
   High Pass Cutoff Freq.,300 Hz
   Low Pass Filter,Butterworth
   Low Pass Poles,1
   Low Pass Cutoff Freq.,5 kHz
,
Spike Detector Settings,
   Method,Adaptive Threshold Crossing
   Threshold,6
   Threshold Status,Variable
   Threshold Crossing Only,True
   Pre-Spike Duration,0.84 ms
   Post-Spike Duration,2.16 ms
   Coincident Event Filter,None
   Allow Sample Overlap,false
   Spike Count Interval,1 s
,
Burst Detector Settings,
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold
   Maximum Inter-Spike Interval,100 ms
   Minimum Number of Spikes,5
   Enable Network Burst Detection,True
   Maximum Inter-Spike Interval (network bursts),100 ms
   Minimum Number of Spikes (network bursts),50
   Minimum Participating Electrodes (%),35
   Synchrony Window,20 ms
,
Statistics Compiler Settings,
   Include Treatment Statistics,True
   Include Well Statistics,True
   Include Source Data,False
   Minimum Spike Rate for Active Electrode,5 spikes/minute
,
,

Well Information
Well,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00
Control,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,
Analysis Start (s): ,0
Analysis Duration (s): ,900.5

Treatment Averages,
Total Wells,48
Number of Spikes - Avg,10201.770833
Number of Spikes - Std,6135.321574
Mean Firing Rate (Hz) - Avg,0.71138
Mean Firing Rate (Hz) - Std,0.43008
Number of Active Electrodes - Avg,13.166667
Number of Active Electrodes - Std,3.639811
Weighted Mean Firing Rate (Hz) - Avg,0.785192
Weighted Mean Firing Rate (Hz) - Std,0.418062
Number of Bursts - Avg,588.708333
Number of Bursts - Std,300.034605
Burst Duration - Avg (s),0.141138
Burst Duration - Std (s),0.030497
Inter-Burst Interval - Avg (s),0.014148
Inter-Burst Interval - Std (s),0.002654
Burst Frequency - Avg (Hz),0.047638
Burst Frequency - Std (Hz),0.018619
Normalized Duration IQR - Avg,0.733512
Normalized Duration IQR - Std,0.264222
IBI Coefficient of Variation - Avg,0.954846
IBI Coefficient of Variation - Std,0.259972
Burst Percentage - Avg,82.851334
Burst Percentage - Std,7.572931
Number of Network Bursts - Avg,49.958333
Number of Network Bursts - Std,25.853893
Network Burst Frequency - Avg (Hz),0.057891
Network Burst Frequency - Std (Hz),0.026799
Network Burst Duration - Avg (sec),0.496569
Network Burst Duration - Std (sec),0.195981
Number of Elecs Participating in Burst - Avg,14.083888
Number of Elecs Participating in Burst - Std,14.083888
Network Burst Percentage - Avg,86.809526
Network Burst Percentage - Std,14.114468
Network IBI Coefficient of Variation - Avg,0.857814
Network IBI Coefficient of Variation - Std,0.269758
Network Normalized Duration IQR - Avg,1.076139
Network Normalized Duration IQR - Std,0.665409
Area Under Normalized Cross-Correlation - Avg,0.537652
Area Under Normalized Cross-Correlation - Std,0.164344
Area Under Cross-Correlation - Avg,2.44895
Area Under Cross-Correlation - Std,2.355719

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Spikes,0,21760,10704,6873,11147,4783,2183,0,18328,19816,18687,7320,7362,5147,4691,4927,17856,18279,9200,5681,7036,5411,7613,5041,5686,15443,12140,11590,4615,8489,7373,1695,7744,18610,8183,12524,8576,4908,10854,9222,24098,18968,12133,23903,10235,7479,15126,10246
Mean Firing Rate (Hz),0,1.510272,0.742921,0.477027,0.773667,0.331968,0.151513,0,1.272071,1.375347,1.296988,0.508051,0.510966,0.357232,0.325583,0.341963,1.239311,1.26867,0.638534,0.394295,0.48834,0.375555,0.528387,0.349875,0.394642,1.143291,0.842587,0.804414,0.320308,0.589187,0.51173,0.117643,0.537479,1.291644,0.567948,0.869239,0.595225,0.340644,0.753331,0.640061,1.672543,1.404257,0.842102,1.659009,0.710369,0.519087,1.049833,0.711133
ISI Coefficient of Variation - Avg,,6.138718,3.242762,3.938999,3.74507,3.468034,6.787507,,3.915029,4.176226,2.680929,3.002726,3.650131,5.817738,5.81183,3.396242,4.733131,4.744961,4.448504,2.907918,3.397519,4.106964,3.138852,3.764288,3.3431,3.011753,3.115969,4.366369,3.375622,4.34229,3.737815,2.64095,3.826853,3.711621,2.989824,5.364553,3.230114,4.257634,3.688442,6.177442,3.298529,3.764959,3.668261,2.397006,3.654494,3.581666,3.319515,3.752678
Number of Active Electrodes,0,16,15,12,14,13,7,0,16,16,16,15,14,12,11,13,16,16,14,13,14,13,11,11,14,15,14,16,12,13,14,4,15,16,13,16,16,11,12,15,16,15,15,13,14,14,16,15
Weighted Mean Firing Rate (Hz),0,1.510272,0.790524,0.625023,0.879273,0.400718,0.309511,0,1.272071,1.375347,1.296988,0.537849,0.575553,0.463446,0.448236,0.418656,1.239311,1.26867,0.727691,0.476402,0.555088,0.450519,0.755944,0.494776,0.44745,1.143291,0.957246,0.804414,0.417361,0.719088,0.579678,0.374514,0.568351,1.291644,0.695084,0.869239,0.595225,0.482762,0.996483,0.680289,1.672543,1.404257,0.893356,2.024943,0.807964,0.587927,1.049833,0.754396
