,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,0.1089,33.10,3.580,26.60,0.3473,0.06932,5.595e+052,2.015,1.910,2.629e+041,18.12,0.2092,3.590,3.039,0.5078,0.4884,1.098,0.3111,1.518e+029,0.006100,18.25,277.5,6.442,44.65,41.36,3.567e+030,0.04317,0.01203,31.54,6.119,3.807,2.474,1.585,0.5505,3.360,0.7152,2.082,0.1043,0.4837,141.3,95.64,0.06016,27.08,698.9,4.039e+047,14.11,0.0002974,0.02946,3.213e+041,122.7,36.15,49.37,20.90,0.3742,27.08,698.8,4.039e+047,14.10,0.0002974,0.02946,2.828e+054,28.38,526.7,3.129e+038,12.82,0.02321
     logIC50,-0.9629,1.520,0.5539,1.425,-0.4593,-1.159,52.75,0.3044,0.2810,41.42,1.258,-0.6795,0.5551,0.4827,-0.2943,-0.3112,0.04053,-0.5071,29.18,-2.215,1.261,2.443,0.8090,1.650,1.617,30.55,-1.365,-1.920,1.499,0.7867,0.5806,0.3934,0.1999,-0.2592,0.5264,-0.1455,0.3184,-0.9818,-0.3154,2.150,1.981,-1.221,1.433,2.844,47.61,1.149,-3.527,-1.531,41.51,2.089,1.558,1.693,1.320,-0.4269,1.433,2.844,47.61,1.149,-3.527,-1.531,54.45,1.453,2.722,38.50,1.108,-1.634
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,0.02607 to 0.6161,3.295 to +infinity,1.430 to 8.376,7.541 to 308.1,0.1014 to 1.167,0.03191 to 0.1475,-infinity to +infinity,0.6200 to 7.190,0.3932 to 9.862,-infinity to +infinity,3.851 to +infinity,0.04415 to 0.8499,0.9068 to 11.18,1.163 to 7.451,0.1371 to 1.949,0.09789 to 1.932,0.3768 to 2.889,0.04126 to 4.122,-infinity to +infinity,??? to 0.03291,4.334 to 151.2,22.78 to +infinity,1.669 to 22.72,11.64 to +infinity,7.641 to +infinity,-infinity to +infinity,0.02272 to 0.07700,0.007226 to 0.01798,6.571 to +infinity,2.040 to 19.14,0.6990 to 19.25,0.5842 to 11.94,0.2690 to 8.121,0.1458 to 1.875,0.09108 to ???,0.2473 to 1.986,0.7208 to 6.003,0.01131 to 1.204,0.1407 to 1.677,12.75 to +infinity,10.48 to +infinity,0.02503 to 0.1351,5.507 to +infinity,8.261 to +infinity,-infinity to +infinity,2.098 to +infinity,??? to 0.02441,0.01776 to 0.04611,-infinity to +infinity,6.739 to +infinity,5.968 to +infinity,6.759 to +infinity,3.483 to +infinity,0.07314 to 2.186,5.507 to +infinity,8.261 to +infinity,-infinity to +infinity,2.097 to +infinity,??? to 0.02441,0.01776 to 0.04611,-infinity to +infinity,9.305 to 240.5,34.19 to ???,-infinity to +infinity,4.825 to 38.43,0.005436 to 0.06423
     logIC50,-1.584 to -0.2104,0.5178 to ???,0.1552 to 0.9231,0.8774 to 2.489,-0.9939 to 0.06689,-1.496 to -0.8313,,-0.2076 to 0.8567,-0.4054 to 0.9939,,0.5856 to ???,-1.355 to -0.07061,-0.04247 to 1.048,0.06569 to 0.8722,-0.8630 to 0.2899,-1.009 to 0.2859,-0.4239 to 0.4608,-1.384 to 0.6151,,??? to -1.483,0.6369 to 2.180,1.358 to ???,0.2225 to 1.356,1.066 to ???,0.8832 to ???,,-1.644 to -1.114,-2.141 to -1.745,0.8176 to ???,0.3096 to 1.282,-0.1555 to 1.284,-0.2335 to 1.077,-0.5702 to 0.9096,-0.8361 to 0.2731,-1.041 to ???,-0.6068 to 0.2980,-0.1422 to 0.7784,-1.947 to 0.08062,-0.8517 to 0.2245,1.105 to ???,1.020 to ???,-1.601 to -0.8694,0.7409 to ???,0.9170 to ???,,0.3217 to ???,??? to -1.612,-1.751 to -1.336,,0.8286 to ???,0.7759 to ???,0.8299 to ???,0.5420 to ???,-1.136 to 0.3396,0.7409 to ???,0.9170 to ???,,0.3217 to ???,??? to -1.612,-1.751 to -1.336,,0.9687 to 2.381,1.534 to ???,,0.6835 to 1.585,-2.265 to -1.192
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.2195,-0.9650,0.4886,-0.2330,0.4836,0.6451,-0.02512,0.4739,0.3807,-0.03696,0.1446,0.4251,0.2755,0.5629,0.5045,0.3297,0.6058,0.1301,-0.02606,0.4827,-0.1537,-0.06903,0.2243,0.06966,0.07118,-0.009846,0.7925,0.9359,0.07098,0.3952,0.2439,0.3821,0.1106,0.4048,-0.01466,0.5984,0.4782,-0.3953,0.5178,0.008355,-0.1167,0.6541,-0.1160,-0.1103,-0.9390,0.1400,0.4070,0.8695,-1.223,0.006947,-0.09857,-0.04756,-0.1047,0.3576,-0.1160,-0.1103,-0.9390,0.1401,0.4070,0.8695,-0.01951,0.07579,0.0004867,-0.1192,0.1231,0.4815
