,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.676,9.787e+054,5.293,49.17,5.621,3.957,875.1,2.247,1.944,49.75,21.18,0.5797,3.584,6.090,1.810,3.637,2.609,2.705,5.156e+057,4.532,50.70,1.380e+039,1.507e+033,584.0,793.3,8.689e+029,0.06246,0.02723,4.798e+031,8.921,25.65,2.358e+054,1.387e+031,3.586e+050,14.26,2.576e+042,3.070,65.21,0.5653,348.0,423.0,0.07249,108.2,12.07,134.9,5.199,0.0003389,0.05607,2.629e+035,178.4,55.91,22.78,47.09,2.150,108.2,12.07,134.9,5.199,0.0003389,0.05505,439.9,180.0,2.669e+044,1.488e+034,98.71,9.213
     logIC50,0.4275,54.99,0.7237,1.692,0.7498,0.5973,2.942,0.3515,0.2887,1.697,1.326,-0.2368,0.5544,0.7846,0.2577,0.5607,0.4165,0.4321,57.71,0.6563,1.705,39.14,33.18,2.766,2.899,29.94,-1.204,-1.565,31.68,0.9504,1.409,54.37,31.14,50.55,1.154,42.41,0.4871,1.814,-0.2477,2.542,2.626,-1.140,2.034,1.082,2.130,0.7159,-3.470,-1.251,35.42,2.251,1.748,1.358,1.673,0.3325,2.034,1.082,2.130,0.7159,-3.470,-1.259,2.643,2.255,44.43,34.17,1.994,0.9644
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.012 to 6.070,-infinity to +infinity,2.771 to 9.925,26.61 to 123.9,3.320 to 9.454,2.327 to 6.615,41.24 to ???,0.9913 to 5.153,0.8497 to 4.593,16.31 to +infinity,9.663 to 55.49,0.3189 to 1.029,1.877 to 6.596,3.858 to 9.605,0.9841 to 3.326,1.733 to 7.408,1.697 to 3.946,1.633 to 4.370,-infinity to +infinity,1.181 to 19.12,22.22 to 246.1,-infinity to +infinity,-infinity to +infinity,67.69 to +infinity,61.80 to +infinity,-infinity to +infinity,0.03583 to 0.1058,0.01362 to 0.04857,-infinity to +infinity,4.322 to 19.39,4.613 to +infinity,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,0.7238 to +infinity,-infinity to +infinity,1.435 to 6.582,19.94 to +infinity,0.2794 to 1.144,46.81 to +infinity,49.46 to +infinity,0.04154 to 0.1240,29.52 to +infinity,5.537 to 26.41,38.48 to +infinity,2.524 to 10.45,??? to 0.002782,0.02885 to 0.1048,-infinity to +infinity,30.17 to +infinity,16.61 to +infinity,6.540 to 137.1,14.27 to +infinity,0.7138 to 5.301,29.52 to +infinity,5.537 to 26.41,38.48 to +infinity,2.524 to 10.45,??? to 0.002782,0.02859 to 0.1016,92.82 to +infinity,46.67 to +infinity,-infinity to +infinity,-infinity to +infinity,46.85 to 617.7,4.506 to 19.17
     logIC50,0.005075 to 0.7832,,0.4427 to 0.9967,1.425 to 2.093,0.5212 to 0.9756,0.3668 to 0.8206,1.615 to ???,-0.003809 to 0.7121,-0.07076 to 0.6621,1.212 to ???,0.9851 to 1.744,-0.4963 to 0.01238,0.2735 to 0.8193,0.5863 to 0.9825,-0.006943 to 0.5219,0.2388 to 0.8697,0.2298 to 0.5962,0.2130 to 0.6404,,0.07211 to 1.281,1.347 to 2.391,,,1.831 to ???,1.791 to ???,,-1.446 to -0.9757,-1.866 to -1.314,,0.6357 to 1.288,0.6639 to ???,,,,-0.1404 to ???,,0.1570 to 0.8183,1.300 to ???,-0.5538 to 0.05840,1.670 to ???,1.694 to ???,-1.382 to -0.9064,1.470 to ???,0.7433 to 1.422,1.585 to ???,0.4021 to 1.019,??? to -2.556,-1.540 to -0.9798,,1.480 to ???,1.220 to ???,0.8156 to 2.137,1.154 to ???,-0.1465 to 0.7243,1.470 to ???,0.7432 to 1.422,1.585 to ???,0.4021 to 1.019,??? to -2.556,-1.544 to -0.9929,1.968 to ???,1.669 to ???,,,1.671 to 2.791,0.6538 to 1.283
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.4146,-0.1723,0.5243,0.01124,0.7221,0.7791,-0.02640,0.6813,0.6617,-0.4016,0.3320,0.7967,0.7017,0.7637,0.7573,0.6213,0.8673,0.8257,-0.03759,0.2970,-0.4163,-0.07188,-0.03156,-0.02134,-0.1295,-0.02308,0.8118,0.8005,-0.7621,0.5892,0.1041,-0.06103,-0.1446,-0.06779,-0.04032,-0.1219,0.6549,-0.2164,0.7393,-0.1113,-0.04621,0.7933,-0.2942,0.09875,0.05513,0.6558,0.9639,0.7517,-0.1700,-0.1915,-1.015,-1.156,-0.4304,0.4699,-0.2942,0.09871,0.05512,0.6558,0.9639,0.7616,-0.06559,0.03550,-0.5113,-0.1559,0.05708,0.5102
