,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,4.331,2.298e+032,22.47,9.707e+044,6.671,4.606,198.3,1.525e+029,1.051e+035,1.946e+016,5.569e+054,5.984e+029,6.226,13.95,10.40,5.825,4.121,4.271,1.444e+048,0.05321,58.89,7.751e+056,10.26,317.6,69.01,115.5,0.08899,0.05170,2.168e+036,12.95,9.891,2.476,24.89,3.914,0.5905,2.560,2.984,56.96,0.9612,286.9,1867,0.3489,371.5,224.6,37.04,7.502,0.007534,0.03513,1.228e+038,70.63,3.354e+040,30.78,294.5,1.371,371.5,224.6,37.04,7.502,0.007534,0.03513,1.626e+045,27.16,8.795e+038,1.076e+033,25.71,1.450
     logIC50,0.6366,32.36,1.352,44.99,0.8242,0.6633,2.297,29.18,35.02,16.29,54.75,29.78,0.7942,1.145,1.017,0.7653,0.6150,0.6305,48.16,-1.274,1.770,56.89,1.011,2.502,1.839,2.063,-1.051,-1.287,36.34,1.112,0.9952,0.3937,1.396,0.5926,-0.2288,0.4082,0.4748,1.756,-0.01718,2.458,3.271,-0.4573,2.570,2.351,1.569,0.8752,-2.123,-1.454,38.09,1.849,40.53,1.488,2.469,0.1369,2.570,2.351,1.569,0.8752,-2.123,-1.454,45.21,1.434,38.94,33.03,1.410,0.1615
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.620 to 7.101,-infinity to +infinity,7.280 to 143.0,-infinity to +infinity,3.421 to 13.32,2.643 to 7.933,55.04 to +infinity,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,3.155 to 12.33,7.211 to 28.69,3.515 to 40.63,2.668 to 12.67,2.339 to 7.098,2.435 to 7.358,-infinity to +infinity,0.02436 to 0.1083,36.74 to 113.5,-infinity to +infinity,7.439 to 14.23,86.07 to +infinity,34.81 to 243.5,42.56 to +infinity,0.05338 to 0.1464,0.02706 to 0.09430,-infinity to +infinity,7.102 to 24.85,4.839 to 21.13,1.029 to 6.250,8.571 to 133.5,1.878 to 8.128,0.3257 to 1.071,0.8974 to 8.189,1.765 to 4.984,32.97 to 126.8,0.5716 to 1.602,67.04 to +infinity,126.6 to +infinity,0.2488 to 0.4876,53.52 to +infinity,36.57 to +infinity,17.04 to 118.8,3.786 to 14.83,0.005734 to 0.009500,0.02108 to 0.05569,-infinity to +infinity,25.76 to +infinity,-infinity to +infinity,14.77 to 84.57,52.30 to +infinity,0.8319 to 2.231,53.52 to +infinity,36.57 to +infinity,17.04 to 118.8,3.786 to 14.83,0.005734 to 0.009500,0.02108 to 0.05569,-infinity to +infinity,14.25 to 62.45,-infinity to +infinity,-infinity to +infinity,17.31 to 40.33,0.9312 to 2.223
     logIC50,0.4184 to 0.8513,,0.8621 to 2.155,,0.5342 to 1.125,0.4221 to 0.8995,1.741 to ???,,,,,,0.4990 to 1.091,0.8580 to 1.458,0.5460 to 1.609,0.4262 to 1.103,0.3690 to 0.8511,0.3866 to 0.8668,,-1.613 to -0.9655,1.565 to 2.055,,0.8715 to 1.153,1.935 to ???,1.542 to 2.387,1.629 to ???,-1.273 to -0.8344,-1.568 to -1.025,,0.8514 to 1.395,0.6848 to 1.325,0.01225 to 0.7958,0.9330 to 2.126,0.2737 to 0.9100,-0.4871 to 0.02969,-0.04702 to 0.9132,0.2469 to 0.6976,1.518 to 2.103,-0.2429 to 0.2046,1.826 to ???,2.102 to ???,-0.6041 to -0.3119,1.729 to ???,1.563 to ???,1.232 to 2.075,0.5782 to 1.171,-2.242 to -2.022,-1.676 to -1.254,,1.411 to ???,,1.170 to 1.927,1.718 to ???,-0.07994 to 0.3484,1.729 to ???,1.563 to ???,1.232 to 2.075,0.5782 to 1.171,-2.242 to -2.022,-1.676 to -1.254,,1.154 to 1.796,,,1.238 to 1.606,-0.03098 to 0.3469
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.8036,-0.09298,0.2402,-0.002197,0.6591,0.7655,-0.06123,-0.03045,-0.03620,-0.04352,-0.04284,-0.04509,0.6528,0.5542,0.3389,0.5510,0.7569,0.7537,-0.5631,0.7431,0.4682,-0.02967,0.8253,-0.3089,0.2828,0.1069,0.8362,0.7686,-0.2304,0.6248,0.5394,0.6192,0.1010,0.6726,0.8058,0.5098,0.8036,0.1174,0.8463,-0.001476,-0.0008564,0.9306,-0.02661,0.01474,-0.4813,0.6047,0.9877,0.8566,-0.04795,-0.1718,-0.1243,0.02251,-0.04689,0.8473,-0.02661,0.01474,-0.4813,0.6047,0.9877,0.8566,-2.447e-005,0.4643,-0.4224,-0.01454,0.5692,0.8654
