,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,5.488,141.9,51.68,2.602e+052,5.829,6.543,6.234e+051,1.664,1.307,1.112e+042,16447,1.205,7.300,9.883,8.375,8.484,10.33,4.219,1.006e+032,0.1310,1.271e+053,1.280e+035,20.82,1576,2.929e+045,86.52,0.09846,0.05866,5.400e+032,10.61,2.606,1.840,4.442e+033,1.294,0.8178,2.490,2.460,49.13,0.8171,8.166e+055,87.09,0.2227,12826,104.3,20.27,2.755,0.002848,0.02435,5.486e+051,78.29,3.336e+034,52.86,54.94,2.084,12826,104.3,20.27,2.755,0.002848,0.02435,2.064e+053,87.88,2.247e+030,48.10,60.63,3.105
     logIC50,0.7394,2.152,1.713,52.42,0.7656,0.8158,51.79,0.2213,0.1162,42.05,4.216,0.08098,0.8633,0.9949,0.9230,0.9286,1.014,0.6252,32.00,-0.8828,53.10,35.11,1.318,3.198,45.47,1.937,-1.007,-1.232,32.73,1.026,0.4159,0.2647,33.65,0.1121,-0.08737,0.3961,0.3909,1.691,-0.08772,55.91,1.940,-0.6523,4.108,2.018,1.307,0.4402,-2.545,-1.614,51.74,1.894,34.52,1.723,1.740,0.3189,4.108,2.018,1.307,0.4402,-2.545,-1.614,53.31,1.944,30.35,1.682,1.783,0.4921
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.943 to 10.31,46.74 to +infinity,3.794 to +infinity,-infinity to +infinity,2.755 to 12.33,3.104 to 13.87,-infinity to +infinity,1.145 to 2.409,0.6834 to 2.453,-infinity to +infinity,42.33 to ???,0.6130 to 2.385,3.336 to 16.60,5.371 to 18.52,2.267 to 45.28,3.114 to 25.98,3.191 to 44.54,2.268 to 7.764,-infinity to +infinity,0.05399 to 0.2933,-infinity to +infinity,-infinity to +infinity,11.34 to 42.65,98.78 to +infinity,-infinity to +infinity,36.51 to 1684,0.04976 to 0.1930,0.02754 to 0.1191,-infinity to +infinity,5.750 to 20.01,1.556 to 4.321,0.7608 to 4.609,-infinity to +infinity,0.5610 to 2.914,0.3284 to 2.186,0.6826 to 10.33,1.425 to 4.192,21.01 to 258.9,0.4774 to 1.379,-infinity to +infinity,42.30 to 421.0,0.1565 to 0.3164,45.51 to ???,22.69 to +infinity,8.274 to 58.42,1.350 to 5.364,0.001180 to 0.004687,0.01517 to 0.03679,-infinity to +infinity,17.97 to +infinity,-infinity to +infinity,15.36 to +infinity,18.13 to +infinity,1.059 to 3.961,45.51 to ???,22.69 to +infinity,8.274 to 58.42,1.350 to 5.364,0.001180 to 0.004687,0.01517 to 0.03679,-infinity to +infinity,44.73 to 338.8,-infinity to +infinity,24.75 to 132.3,31.53 to 183.2,1.748 to 5.474
     logIC50,0.4687 to 1.013,1.670 to ???,0.5790 to ???,,0.4401 to 1.091,0.4919 to 1.142,,0.05885 to 0.3817,-0.1653 to 0.3897,,1.627 to ???,-0.2126 to 0.3775,0.5233 to 1.220,0.7300 to 1.268,0.3555 to 1.656,0.4933 to 1.415,0.5039 to 1.649,0.3557 to 0.8901,,-1.268 to -0.5326,,,1.055 to 1.630,1.995 to ???,,1.562 to 3.226,-1.303 to -0.7144,-1.560 to -0.9241,,0.7596 to 1.301,0.1921 to 0.6356,-0.1187 to 0.6636,,-0.2510 to 0.4645,-0.4836 to 0.3396,-0.1658 to 1.014,0.1537 to 0.6225,1.322 to 2.413,-0.3211 to 0.1394,,1.626 to 2.624,-0.8055 to -0.4998,1.658 to ???,1.356 to ???,0.9177 to 1.767,0.1302 to 0.7295,-2.928 to -2.329,-1.819 to -1.434,,1.255 to ???,,1.186 to ???,1.258 to ???,0.02502 to 0.5978,1.658 to ???,1.356 to ???,0.9177 to 1.767,0.1302 to 0.7295,-2.928 to -2.329,-1.819 to -1.434,,1.651 to 2.530,,1.394 to 2.121,1.499 to 2.263,0.2424 to 0.7383
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.7219,0.07095,0.01889,-0.001075,0.5797,0.5926,-0.2953,0.9000,0.7740,-0.4482,-0.1757,0.7771,0.5588,0.6243,0.2978,0.4387,0.3215,0.7402,-0.2557,0.6880,-0.5330,-0.005551,0.4906,-0.1745,-0.6446,0.1281,0.7374,0.7070,-0.08632,0.5804,0.7784,0.6447,-0.8566,0.6878,0.6418,0.4215,0.8011,0.07646,0.8412,-0.1142,0.2013,0.9222,-0.01378,-0.01079,-0.1447,0.6486,0.9833,0.8952,-0.01143,0.03203,-0.4336,0.06162,-0.1027,0.7577,-0.01378,-0.01079,-0.1447,0.6486,0.9833,0.8952,-0.2664,0.2703,-0.1006,-0.3068,0.2519,0.7879
