,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,3.191,1049,5.483,1.582e+058,3.997,2.640,4.733e+032,3.444,0.8732,9.712e+035,39.45,0.1906,7.279,12.94,1.032,3.548,5.322,3.555,43.64,0.01400,1389,2.231e+046,11.40,7.493e+051,113.7,5.414e+049,0.1963,0.03486,1.174e+058,5.266,1.010,3.228,21.30,2.997,3.011,2.609,2.753,42.34,0.6108,2.709e+054,1.827e+047,0.1307,2.950e+044,958.0,6.691e+034,10.51,0.03898,0.03358,1.063e+051,700.0,2.319e+053,278.4,65.26,0.9077,2.950e+044,958.0,6.691e+034,10.51,0.03898,0.03358,597.1,5.156e+047,8.984e+039,6.129e+033,207.4,1.512
     logIC50,0.5040,3.021,0.7390,58.20,0.6017,0.4216,32.68,0.5370,-0.05890,35.99,1.596,-0.7198,0.8621,1.112,0.01388,0.5500,0.7261,0.5508,1.640,-1.854,3.143,46.35,1.057,51.87,2.056,49.73,-0.7071,-1.458,58.07,0.7215,0.004461,0.5090,1.328,0.4767,0.4787,0.4165,0.4398,1.627,-0.2141,54.43,47.26,-0.8837,44.47,2.981,34.83,1.022,-1.409,-1.474,51.03,2.845,53.37,2.445,1.815,-0.04206,44.47,2.981,34.83,1.022,-1.409,-1.474,2.776,47.71,39.95,33.79,2.317,0.1796
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.506 to 6.439,46.23 to ???,2.424 to 12.38,-infinity to +infinity,2.145 to 7.331,1.278 to 5.128,-infinity to +infinity,1.553 to 7.824,0.2413 to 2.558,-infinity to +infinity,14.00 to 444.3,0.08372 to 0.4397,2.403 to 23.11,2.301 to 76.62,0.4501 to 2.226,0.9284 to 10.68,2.155 to 12.98,0.9893 to 10.38,13.47 to +infinity,0.001634 to 0.03794,45.99 to +infinity,-infinity to +infinity,4.854 to 27.77,-infinity to +infinity,24.61 to +infinity,-infinity to +infinity,0.05502 to 0.6621,0.01798 to 0.06219,-infinity to +infinity,2.206 to 12.22,0.06886 to 7.747,0.6115 to 20.20,1.882 to +infinity,0.6647 to 13.79,0.06779 to +infinity,0.3644 to 36.37,1.379 to 5.515,18.40 to 182.4,0.3561 to 1.036,-infinity to +infinity,-infinity to +infinity,0.09608 to 0.1773,-infinity to +infinity,25.85 to +infinity,-infinity to +infinity,4.260 to 27.79,0.008964 to 0.1189,0.02043 to 0.05252,-infinity to +infinity,35.86 to ???,-infinity to +infinity,37.12 to +infinity,17.46 to +infinity,0.3760 to 2.084,-infinity to +infinity,25.85 to +infinity,-infinity to +infinity,4.260 to 27.79,0.008964 to 0.1189,0.02043 to 0.05252,61.42 to +infinity,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,48.34 to +infinity,0.5684 to 3.508
     logIC50,0.1778 to 0.8088,1.665 to ???,0.3845 to 1.093,,0.3314 to 0.8652,0.1065 to 0.7099,,0.1913 to 0.8934,-0.6175 to 0.4079,,1.146 to 2.648,-1.077 to -0.3568,0.3807 to 1.364,0.3620 to 1.884,-0.3467 to 0.3475,-0.03227 to 1.028,0.3335 to 1.113,-0.004652 to 1.016,1.129 to ???,-2.787 to -1.421,1.663 to ???,,0.6861 to 1.443,,1.391 to ???,,-1.259 to -0.1791,-1.745 to -1.206,,0.3435 to 1.087,-1.162 to 0.8891,-0.2136 to 1.305,0.2747 to ???,-0.1774 to 1.140,-1.169 to ???,-0.4384 to 1.561,0.1396 to 0.7416,1.265 to 2.261,-0.4484 to 0.01545,,,-1.017 to -0.7514,,1.412 to ???,,0.6294 to 1.444,-2.047 to -0.9248,-1.690 to -1.280,,1.555 to ???,,1.570 to ???,1.242 to ???,-0.4248 to 0.3188,,1.412 to ???,,0.6294 to 1.444,-2.047 to -0.9248,-1.690 to -1.280,1.788 to ???,,,,1.684 to ???,-0.2453 to 0.5450
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.6893,-0.4606,0.6219,-0.3189,0.7327,0.6496,-0.4107,0.6558,0.4665,-0.01846,0.1787,0.6941,0.3415,0.03035,0.6554,0.2599,0.5702,0.2813,-0.1170,0.6528,-0.007825,-0.05049,0.3532,-0.003384,-0.1447,-0.2783,0.5055,0.7889,-0.0003649,0.5520,0.07751,0.2727,-0.002411,0.3643,-0.03724,0.2186,0.7064,-0.04391,0.8427,-0.006727,-0.01305,0.9386,-0.2463,-0.0003764,-0.8471,0.4383,0.4899,0.8652,-0.02727,-0.3488,-0.7407,-0.03401,-0.7224,0.6755,-0.2463,-0.0003764,-0.8471,0.4383,0.4899,0.8652,-0.09527,-0.4150,-0.04103,-0.005021,-0.01425,0.5312
