,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.994,1.230e+054,4.540,3.064e+034,4.824,7.177,6.074e+058,3.036,0.09839,6.083e+031,72.31,0.3210,7.517,6.304,3.089,0.6561,8.461,7.251,33.55,0.01356,1.784e+039,2.872e+033,16.01,1.774e+038,5.920e+038,6.517e+044,0.09160,0.04626,1.325e+054,5.582,1.272,0.2761,40.98,0.4235,2.989,8.824,3.495,89.33,1.549,4.231e+029,2.366e+042,0.2317,2.196e+046,22.77,3.227e+048,8.853,0.01222,0.02323,9.287e+042,756.1,764.7,902.0,51.25,1.064,2.196e+046,22.77,3.227e+048,8.853,0.01222,0.02323,3.588e+037,5.546e+047,492.0,9.839e+050,3.493e+034,0.2361
     logIC50,0.2998,54.09,0.6570,34.49,0.6834,0.8560,58.78,0.4823,-1.007,31.78,1.859,-0.4935,0.8761,0.7996,0.4898,-0.1830,0.9274,0.8604,1.526,-1.868,39.25,33.46,1.204,38.25,38.77,44.81,-1.038,-1.335,54.12,0.7468,0.1044,-0.5589,1.613,-0.3732,0.4755,0.9457,0.5434,1.951,0.1901,29.63,42.37,-0.6350,46.34,1.357,48.51,0.9471,-1.913,-1.634,42.97,2.879,2.883,2.955,1.710,0.02712,46.34,1.357,48.51,0.9471,-1.913,-1.634,37.55,47.74,2.692,50.99,34.54,-0.6270
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,0.6610 to 5.788,-infinity to +infinity,1.174 to 21.11,-infinity to +infinity,1.696 to 13.63,2.456 to 23.36,-infinity to +infinity,1.126 to 8.433,0.01452 to 0.5622,-infinity to +infinity,16.61 to +infinity,0.1245 to 0.8874,2.489 to 24.73,0.2687 to 46.76,0.8194 to 11.25,0.08290 to 4.876,2.138 to 46.52,2.234 to 25.25,9.051 to +infinity,0.001243 to 0.03750,-infinity to +infinity,-infinity to +infinity,5.233 to 70.15,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,0.02572 to 0.2866,0.01850 to 0.1034,-infinity to +infinity,1.466 to 19.06,0.0005354 to 16.03,0.05482 to 1.492,0.2426 to +infinity,??? to 2.451,0.0002753 to +infinity,0.5238 to +infinity,1.302 to 9.454,22.58 to +infinity,0.4857 to 5.069,-infinity to +infinity,-infinity to +infinity,0.1359 to 0.3956,-infinity to +infinity,2.513 to +infinity,-infinity to +infinity,2.723 to 32.23,0.002532 to 0.02804,0.01429 to 0.03536,-infinity to +infinity,30.45 to ???,33.09 to ???,19.10 to +infinity,6.358 to +infinity,0.3761 to 2.834,-infinity to +infinity,2.513 to +infinity,-infinity to +infinity,2.723 to 32.23,0.002532 to 0.02804,0.01429 to 0.03536,-infinity to +infinity,-infinity to +infinity,37.76 to +infinity,-infinity to +infinity,-infinity to +infinity,0.03676 to 1.338
     logIC50,-0.1798 to 0.7625,,0.06975 to 1.324,,0.2295 to 1.134,0.3901 to 1.368,,0.05163 to 0.9260,-1.838 to -0.2501,,1.220 to ???,-0.9047 to -0.05190,0.3961 to 1.393,-0.5707 to 1.670,-0.08649 to 1.051,-1.081 to 0.6881,0.3300 to 1.668,0.3492 to 1.402,0.9567 to ???,-2.906 to -1.426,,,0.7187 to 1.846,,,,-1.590 to -0.5427,-1.733 to -0.9857,,0.1662 to 1.280,-3.271 to 1.205,-1.261 to 0.1738,-0.6151 to ???,??? to 0.3893,-3.560 to ???,-0.2809 to ???,0.1146 to 0.9756,1.354 to ???,-0.3136 to 0.7049,,,-0.8667 to -0.4028,,0.4003 to ???,,0.4350 to 1.508,-2.597 to -1.552,-1.845 to -1.451,,1.484 to ???,1.520 to ???,1.281 to ???,0.8033 to ???,-0.4247 to 0.4523,,0.4003 to ???,,0.4350 to 1.508,-2.597 to -1.552,-1.845 to -1.451,,,1.577 to ???,,,-1.435 to 0.1266
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.5505,-0.2113,0.3965,-0.2994,0.4781,0.4391,-0.04358,0.5482,0.3236,-0.4796,0.02826,0.6611,0.3637,0.01449,0.4579,0.05809,0.3019,0.2848,-0.06367,0.6430,-0.3637,-0.002511,0.2867,-0.06273,-0.08025,-0.0002278,0.4774,0.6489,-0.006001,0.2754,-0.06526,0.3865,-0.1527,0.09134,-0.05943,0.01009,0.5269,0.02243,0.5358,-0.01829,-0.03143,0.8458,-0.6345,0.02687,-0.2587,0.3135,0.7410,0.8938,-0.1001,-0.03241,-0.2431,-0.08076,-0.8816,0.6394,-0.6345,0.02687,-0.2587,0.3135,0.7410,0.8938,-0.03819,-0.2331,-0.1157,-0.1100,-0.1156,0.2052
