,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,7.823,197.1,22.33,1334,8.070,18.39,1.438e+056,5.898,2.392,84.40,858.3,3.206,5.696,20.74,12.69,3.218,3.888,5.291,70.82,0.1176,2.240e+056,1200,5.013e+060,38.30,8.936e+055,220.0,0.3574,0.05298,8.577e+032,52.19,15.27,2.134,109.6,0.3645,0.4237,2.397,7.352,178.7,2.519,199.7,132.7,1.802,5.978e+050,161.3,6.336e+032,12.04,0.003472,0.05348,84.19,29.08,17.48,37.49,9.377e+047,3.739,5.978e+050,161.3,6.336e+032,12.04,0.003472,0.05348,2.889e+055,9.757e+060,57.35,55.35,1.002e+054,13.52
     logIC50,0.8934,2.295,1.349,3.125,0.9069,1.265,56.16,0.7707,0.3788,1.926,2.934,0.5059,0.7556,1.317,1.104,0.5076,0.5897,0.7235,1.850,-0.9298,56.35,3.079,60.70,1.583,55.95,2.342,-0.4468,-1.276,32.93,1.718,1.184,0.3292,2.040,-0.4383,-0.3729,0.3796,0.8664,2.252,0.4012,2.300,2.123,0.2558,50.78,2.208,32.80,1.080,-2.459,-1.272,1.925,1.464,1.243,1.574,47.97,0.5727,50.78,2.208,32.80,1.080,-2.459,-1.272,55.46,60.99,1.759,1.743,54.00,1.131
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.588 to 27.12,23.36 to +infinity,4.601 to 627.5,30.70 to +infinity,2.889 to 25.60,2.904 to +infinity,-infinity to +infinity,2.483 to 14.40,0.8914 to 6.410,23.40 to +infinity,45.73 to ???,1.622 to 6.317,1.770 to 20.43,7.825 to 79.74,1.134 to +infinity,1.140 to 8.217,1.713 to 8.777,2.019 to 14.57,20.78 to +infinity,0.02851 to 0.4232,-infinity to +infinity,65.87 to ???,-infinity to +infinity,15.63 to 190.2,-infinity to +infinity,21.02 to +infinity,0.09740 to 1.694,0.02579 to 0.1030,-infinity to +infinity,10.34 to +infinity,2.227 to +infinity,0.8863 to 5.431,22.64 to +infinity,0.1433 to 0.9924,0.1355 to 1.275,0.8589 to 6.973,2.769 to 20.60,32.18 to +infinity,0.9542 to 7.016,28.56 to +infinity,29.52 to +infinity,0.5568 to 6.848,-infinity to +infinity,27.89 to +infinity,-infinity to +infinity,5.441 to 29.05,-infinity to 0.008702,0.02503 to 0.1076,23.65 to +infinity,10.78 to 137.3,7.868 to 43.08,16.62 to 143.9,-infinity to +infinity,1.434 to 9.928,-infinity to +infinity,27.89 to +infinity,-infinity to +infinity,5.441 to 29.05,-infinity to 0.008702,0.02503 to 0.1076,-infinity to +infinity,-infinity to +infinity,26.34 to 261.2,21.89 to 594.8,-infinity to +infinity,4.335 to 57.80
     logIC50,0.4129 to 1.433,1.368 to ???,0.6628 to 2.798,1.487 to ???,0.4608 to 1.408,0.4630 to ???,,0.3950 to 1.158,-0.04992 to 0.8069,1.369 to ???,1.660 to ???,0.2100 to 0.8005,0.2479 to 1.310,0.8935 to 1.902,0.05474 to ???,0.05679 to 0.9147,0.2337 to 0.9433,0.3050 to 1.163,1.318 to ???,-1.545 to -0.3735,,1.819 to ???,,1.194 to 2.279,,1.323 to ???,-1.011 to 0.2289,-1.589 to -0.9870,,1.015 to ???,0.3478 to ???,-0.05241 to 0.7349,1.355 to ???,-0.8438 to -0.003294,-0.8681 to 0.1055,-0.06604 to 0.8434,0.4423 to 1.314,1.508 to ???,-0.02035 to 0.8461,1.456 to ???,1.470 to ???,-0.2543 to 0.8355,,1.445 to ???,,0.7357 to 1.463,??? to -2.060,-1.602 to -0.9681,1.374 to ???,1.033 to 2.138,0.8958 to 1.634,1.221 to 2.158,,0.1566 to 0.9969,,1.445 to ???,,0.7357 to 1.463,??? to -2.060,-1.602 to -0.9681,,,1.421 to 2.417,1.340 to 2.774,,0.6369 to 1.762
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.4232,-0.01030,0.04087,-0.07713,0.4326,-0.04226,-0.1980,0.5847,0.5590,-0.3019,-0.03996,0.7212,0.4378,0.3014,-0.04071,0.3629,0.5872,0.5374,0.02296,0.4496,-0.2633,-0.009985,-1.169,0.07896,-4.657e-005,0.006105,0.4426,0.7306,-0.01442,0.05094,-0.01536,0.6334,0.03303,0.6219,0.5628,0.5457,0.4548,-0.01372,0.5766,-0.01015,0.02023,0.4920,-0.0001462,-0.1628,-0.2878,0.4616,0.9011,0.7105,-0.1200,-0.1879,-0.01819,0.2850,-0.6517,0.5819,-0.0001462,-0.1628,-0.2878,0.4616,0.9011,0.7105,-0.3013,-0.4004,0.1465,0.1259,-0.4283,0.3291
