,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,14.87,2.105e+034,8.852,3.682e+048,3.698,12.06,2.088e+048,5.129,1.231,2.999e+031,2.189e+035,0.9552,5.003,13.82,8.167,8.511,5.492,8.038,17.58,0.4473,3.262e+045,6.292e+044,1.509e+039,65.74,1.163e+031,2.548e+035,0.2868,0.05363,27.01,32.29,4.358,2.562,1.012e+038,1.052,0.2214,2.177,11.66,1.824e+055,2.939,5.983e+034,8.165e+043,1.339,2.169e+039,1.058e+041,1.407e+043,8.445,0.01389,0.03446,383.6,171.3,28.33,104.7,4.335e+033,3.031,2.169e+039,1.058e+041,1.407e+043,8.445,0.01389,0.03446,3.431e+051,1.765e+058,129.3,29.06,2.432e+050,10.14
     logIC50,1.172,34.32,0.9470,48.57,0.5679,1.081,48.32,0.7100,0.09022,31.48,35.34,-0.01990,0.6992,1.140,0.9120,0.9300,0.7397,0.9051,1.245,-0.3494,45.51,44.80,39.18,1.818,31.07,35.41,-0.5425,-1.271,1.431,1.509,0.6393,0.4086,38.01,0.02211,-0.6548,0.3378,1.067,55.26,0.4682,34.78,43.91,0.1268,39.34,41.02,43.15,0.9266,-1.857,-1.463,2.584,2.234,1.452,2.020,33.64,0.4816,39.34,41.02,43.15,0.9266,-1.857,-1.463,51.54,58.25,2.112,1.463,50.39,1.006
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.100 to +infinity,-infinity to +infinity,2.506 to 32.13,-infinity to +infinity,1.201 to 10.19,1.862 to +infinity,-infinity to +infinity,1.177 to 25.61,0.4359 to 3.213,-infinity to +infinity,-infinity to +infinity,0.3835 to 2.293,1.780 to 14.17,3.763 to 58.65,1.445 to 156.5,1.653 to 86.07,1.710 to 19.23,2.398 to 35.52,3.814 to 220.7,0.09697 to 1.892,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,4.068 to ???,-infinity to +infinity,-infinity to +infinity,0.05504 to 2.731,0.01785 to 0.1416,6.750 to 855.1,5.361 to +infinity,1.166 to 17.24,0.6949 to 10.43,-infinity to +infinity,0.3418 to 3.261,0.06927 to 0.6223,0.6102 to 7.825,2.209 to 605.9,-infinity to +infinity,0.6016 to 18.65,-infinity to +infinity,-infinity to +infinity,0.3789 to 5.835,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,2.489 to 33.66,0.004880 to 0.02760,0.01266 to 0.07773,21.49 to ???,14.32 to +infinity,7.335 to 854.8,9.872 to +infinity,-infinity to +infinity,1.181 to 7.273,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,2.489 to 33.66,0.004880 to 0.02760,0.01266 to 0.07773,-infinity to +infinity,-infinity to +infinity,18.91 to +infinity,5.468 to +infinity,-infinity to +infinity,2.526 to 70.20
     logIC50,0.3223 to ???,,0.3989 to 1.507,,0.07957 to 1.008,0.2700 to ???,,0.07090 to 1.408,-0.3606 to 0.5069,,,-0.4163 to 0.3604,0.2503 to 1.151,0.5756 to 1.768,0.1600 to 2.194,0.2184 to 1.935,0.2330 to 1.284,0.3798 to 1.550,0.5813 to 2.344,-1.013 to 0.2770,,,,0.6094 to ???,,,-1.259 to 0.4363,-1.748 to -0.8488,0.8293 to 2.932,0.7292 to ???,0.06654 to 1.237,-0.1581 to 1.018,,-0.4662 to 0.5134,-1.159 to -0.2060,-0.2145 to 0.8935,0.3443 to 2.782,,-0.2207 to 1.271,,,-0.4215 to 0.7661,,,,0.3960 to 1.527,-2.312 to -1.559,-1.898 to -1.109,1.332 to ???,1.156 to ???,0.8654 to 2.932,0.9944 to ???,,0.07219 to 0.8617,,,,0.3960 to 1.527,-2.312 to -1.559,-1.898 to -1.109,,,1.277 to ???,0.7378 to ???,,0.4024 to 1.846
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.06584,-0.7850,0.2755,-0.2362,0.4215,0.02906,-1.176,0.3596,0.6156,-0.1127,-0.4391,0.6127,0.4999,0.1293,0.1828,0.2313,0.3903,0.3482,0.07828,0.4133,-1.441,-0.6820,-0.3420,-0.006095,-0.0008366,-0.3002,0.3336,0.5608,-0.1619,0.04658,0.3838,0.4419,-0.05130,0.5729,0.5535,0.4349,0.1649,-0.1487,0.3452,-0.07342,-0.07469,0.4520,-0.03356,-0.2073,-0.1291,0.3254,0.7997,0.6498,-0.03934,-0.03820,0.06868,-0.1393,-0.3741,0.5888,-0.03356,-0.2073,-0.1291,0.3254,0.7997,0.6498,-0.2696,-0.2985,0.01466,-0.4410,-0.3729,0.2620
