,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,5.619,90.89,8.238,1.127e+036,6.828,9.395,7.091e+043,0.001070,1.919,2.642e+034,334.4,2.831,6.195,10.65,3.152,7.309,4.970,6.432,233.7,0.2273,5.728e+028,1.205e+043,18.16,1.258e+040,5.305e+034,1.850e+040,0.09325,0.06696,50.18,9.738,4.778,1.208,20.14,0.6930,1.020,1.369,4.808,2.257e+035,1.931,7.871e+049,139.2,0.3477,5.827e+037,3.442e+042,1.858e+039,9.444,0.005982,0.02554,4.995e+045,69.88,208.0,65.20,6.411e+039,2.119,5.827e+037,3.442e+042,1.858e+039,9.444,0.005982,0.02554,111.6,188.2,151.3,542.1,66.20,2.266
     logIC50,0.7496,1.959,0.9158,36.05,0.8343,0.9729,43.85,-2.970,0.2831,34.42,2.524,0.4519,0.7920,1.027,0.4985,0.8639,0.6964,0.8083,2.369,-0.6434,28.76,43.08,1.259,40.10,34.72,40.27,-1.030,-1.174,1.701,0.9885,0.6792,0.08204,1.304,-0.1592,0.008429,0.1364,0.6820,35.35,0.2857,49.90,2.144,-0.4588,37.77,42.54,39.27,0.9752,-2.223,-1.593,45.70,1.844,2.318,1.814,39.81,0.3262,37.77,42.54,39.27,0.9752,-2.223,-1.593,2.048,2.275,2.180,2.734,1.821,0.3552
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.541 to 12.55,15.09 to +infinity,3.544 to 19.28,-infinity to +infinity,2.392 to 22.26,3.476 to 30.83,-infinity to +infinity,??? to 0.03851,0.8190 to 4.438,-infinity to +infinity,51.09 to +infinity,0.7765 to 9.718,2.639 to 15.05,5.520 to 21.32,1.601 to 6.152,2.866 to 19.52,2.842 to 8.708,3.193 to 13.17,56.17 to +infinity,0.06845 to 0.7878,-infinity to +infinity,-infinity to +infinity,9.773 to 37.70,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,0.04305 to 0.1965,0.02861 to 0.1504,22.96 to 205.4,5.232 to 18.45,2.346 to 9.788,0.5665 to 2.478,9.388 to 52.37,0.2824 to 1.571,0.2629 to 5.095,0.6121 to 3.106,2.474 to 9.300,-infinity to +infinity,0.8159 to 4.757,-infinity to +infinity,42.25 to +infinity,0.2205 to 0.5475,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,3.704 to 23.98,0.002973 to 0.009519,0.01559 to 0.03929,-infinity to +infinity,24.48 to +infinity,36.84 to +infinity,17.40 to +infinity,-infinity to +infinity,0.9227 to 4.433,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,3.704 to 23.98,0.002973 to 0.009519,0.01559 to 0.03929,37.49 to +infinity,48.01 to +infinity,53.40 to +infinity,96.78 to +infinity,35.31 to 189.3,0.9787 to 5.028
     logIC50,0.4050 to 1.099,1.179 to ???,0.5495 to 1.285,,0.3788 to 1.348,0.5411 to 1.489,,??? to -1.414,-0.08672 to 0.6472,,1.708 to ???,-0.1099 to 0.9876,0.4214 to 1.177,0.7419 to 1.329,0.2044 to 0.7890,0.4573 to 1.290,0.4536 to 0.9399,0.5042 to 1.120,1.749 to ???,-1.165 to -0.1036,,,0.9900 to 1.576,,,,-1.366 to -0.7067,-1.543 to -0.8228,1.361 to 2.313,0.7187 to 1.266,0.3704 to 0.9907,-0.2468 to 0.3941,0.9726 to 1.719,-0.5491 to 0.1961,-0.5803 to 0.7071,-0.2132 to 0.4923,0.3934 to 0.9685,,-0.08834 to 0.6773,,1.626 to ???,-0.6566 to -0.2616,,,,0.5687 to 1.380,-2.527 to -2.021,-1.807 to -1.406,,1.389 to ???,1.566 to ???,1.241 to ???,,-0.03495 to 0.6467,,,,0.5687 to 1.380,-2.527 to -2.021,-1.807 to -1.406,1.574 to ???,1.681 to ???,1.728 to ???,1.986 to ???,1.548 to 2.277,-0.009357 to 0.7014
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.6123,-0.1970,0.5208,-0.3192,0.4570,0.4192,-0.04900,0.3053,0.6378,-0.7139,-0.08460,0.5145,0.5860,0.6132,0.7509,0.4699,0.7564,0.6586,0.02983,0.5154,-0.002278,-0.1600,0.5564,-0.0003134,-0.6983,-0.4489,0.6898,0.6543,0.002303,0.6325,0.6426,0.7115,0.4221,0.6156,0.4568,0.6642,0.6866,-0.1992,0.6601,-0.3858,0.06318,0.8803,-0.3112,-0.005451,-0.1560,0.2874,0.9586,0.8842,-0.4131,0.04413,-0.03151,0.06265,-0.6327,0.6811,-0.3112,-0.005451,-0.1560,0.2874,0.9586,0.8842,-0.4815,0.001638,-0.2489,-0.009401,0.03374,0.6000
