,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,3.291,1.114e+039,5.187,129.5,4.916,2.702,2.878e+044,3.611,1.148,355.3,48.59,2.138,4.172,9.600,4.100,5.034,4.122,4.419,7.291e+048,0.06698,60.18,1.657e+042,29.83,1087,136.9,1.266e+047,0.1350,0.04381,2.626e+046,10.95,12.40,2.039,65.00,4.031,1.077,2.510,3.033,386.7,0.9217,3.625e+032,203.7,0.2049,861.0,64.46,1.984e+052,6.283,0.005393,0.05687,140.1,852.4,39.40,47.58,156.5,2.344,861.0,64.46,1.983e+052,6.283,0.005393,0.05687,183.9,63.20,2.126e+043,2.282e+032,177.1,8.264
     logIC50,0.5173,39.05,0.7149,2.112,0.6916,0.4317,44.46,0.5576,0.06005,2.551,1.687,0.3299,0.6204,0.9823,0.6128,0.7019,0.6151,0.6453,48.86,-1.174,1.779,42.22,1.475,3.036,2.137,47.10,-0.8697,-1.358,46.42,1.039,1.093,0.3093,1.813,0.6054,0.03234,0.3997,0.4818,2.587,-0.03541,32.56,2.309,-0.6885,2.935,1.809,52.30,0.7982,-2.268,-1.245,2.147,2.931,1.596,1.677,2.195,0.3700,2.935,1.809,52.30,0.7982,-2.268,-1.245,2.265,1.801,43.33,32.36,2.248,0.9172
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.745 to 5.936,-infinity to +infinity,3.020 to 8.744,52.73 to +infinity,2.879 to 8.308,1.724 to 4.155,-infinity to +infinity,2.264 to 5.691,0.6906 to 1.886,67.98 to +infinity,27.11 to 113.4,1.096 to 4.065,2.503 to 6.855,5.660 to 16.59,2.440 to 6.926,2.445 to 10.24,2.592 to 6.490,2.777 to 7.008,-infinity to +infinity,0.03615 to 0.1185,36.22 to 124.6,-infinity to +infinity,19.47 to 49.36,142.0 to +infinity,59.09 to +infinity,-infinity to +infinity,0.07740 to 0.2368,0.02587 to 0.07128,-infinity to +infinity,6.429 to 19.23,5.785 to 28.65,1.207 to 3.447,28.59 to 431.9,2.352 to 6.827,0.5173 to 2.282,1.342 to 4.744,1.831 to 4.980,93.17 to +infinity,0.5778 to 1.463,-infinity to +infinity,73.23 to +infinity,0.1523 to 0.2751,77.30 to +infinity,28.48 to 384.3,-infinity to +infinity,3.750 to 10.44,0.003629 to 0.007329,0.03157 to 0.09910,38.01 to +infinity,61.77 to ???,14.72 to 267.4,25.84 to 116.8,51.90 to +infinity,1.288 to 4.108,77.30 to +infinity,28.48 to 384.3,-infinity to +infinity,3.750 to 10.44,0.003629 to 0.007329,0.03157 to 0.09910,54.00 to +infinity,35.07 to 160.5,-infinity to +infinity,-infinity to +infinity,47.51 to +infinity,4.409 to 15.81
     logIC50,0.2418 to 0.7735,,0.4800 to 0.9417,1.722 to ???,0.4593 to 0.9195,0.2365 to 0.6186,,0.3549 to 0.7552,-0.1608 to 0.2756,1.832 to ???,1.433 to 2.055,0.03966 to 0.6091,0.3984 to 0.8360,0.7528 to 1.220,0.3873 to 0.8405,0.3883 to 1.010,0.4137 to 0.8123,0.4435 to 0.8456,,-1.442 to -0.9263,1.559 to 2.095,,1.289 to 1.693,2.152 to ???,1.772 to ???,,-1.111 to -0.6256,-1.587 to -1.147,,0.8081 to 1.284,0.7623 to 1.457,0.08155 to 0.5374,1.456 to 2.635,0.3714 to 0.8342,-0.2863 to 0.3583,0.1278 to 0.6762,0.2626 to 0.6972,1.969 to ???,-0.2382 to 0.1652,,1.865 to ???,-0.8174 to -0.5605,1.888 to ???,1.454 to 2.585,,0.5741 to 1.019,-2.440 to -2.135,-1.501 to -1.004,1.580 to ???,1.791 to ???,1.168 to 2.427,1.412 to 2.067,1.715 to ???,0.1101 to 0.6136,1.888 to ???,1.454 to 2.585,,0.5740 to 1.019,-2.440 to -2.135,-1.501 to -1.004,1.732 to ???,1.545 to 2.205,,,1.677 to ???,0.6444 to 1.199
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.6926,-0.3044,0.7013,0.07482,0.7552,0.8514,-1.460e-005,0.8309,0.8425,-0.06127,0.3355,0.7160,0.7851,0.7134,0.7793,0.5868,0.8299,0.8275,-0.1076,0.8032,0.1376,-0.1442,0.5715,0.0008897,-0.4163,-0.04557,0.8068,0.8370,-0.2682,0.6915,0.5461,0.8220,0.2089,0.7915,0.7387,0.7563,0.8114,0.02507,0.8700,-0.4056,-0.02318,0.9462,-0.01079,0.03606,-0.5877,0.7715,0.9855,0.7985,0.02972,-0.03198,-0.4780,0.01016,-0.1892,0.7552,-0.01079,0.03605,-0.5877,0.7715,0.9855,0.7985,-0.09168,0.3550,-0.6437,-0.3085,-0.1117,0.6768
