,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.413,4.878e+034,10.36,2.049e+033,4.047,1.846,8.532e+035,3.528,1.787,1.476e+059,10.34,0.1735,3.955,7.273,1.190,2.114,4.294,3.227,83.80,0.005632,57.96,1.127e+042,5.246,171.5,43.99,5.359e+036,0.06918,0.04638,1.141e+048,6.115,2.142,1.816,9.550,1.024,1.097,1.611,2.323,8.189,0.4068,466.0,1.671e+032,0.05844,1.021e+049,4.190e+046,1.703e+033,8.291,0.004796,0.02294,59.57,65.94,179.3,16.43,14.03,0.1663,1.020e+049,4.186e+046,1.703e+033,8.291,0.004796,0.02294,111.8,68.96,9.649e+057,2.805e+052,31.18,0.2392
     logIC50,0.3826,34.69,1.015,33.31,0.6072,0.2663,35.93,0.5475,0.2520,59.17,1.015,-0.7607,0.5972,0.8617,0.07570,0.3252,0.6328,0.5088,1.923,-2.249,1.763,42.05,0.7198,2.234,1.643,36.73,-1.160,-1.334,48.06,0.7864,0.3308,0.2590,0.9800,0.01047,0.04024,0.2071,0.3660,0.9132,-0.3907,2.668,32.22,-1.233,49.01,46.62,33.23,0.9186,-2.319,-1.639,1.775,1.819,2.253,1.216,1.147,-0.7792,49.01,46.62,33.23,0.9186,-2.319,-1.639,2.048,1.839,57.98,52.45,1.494,-0.6212
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,0.9089 to 5.584,-infinity to +infinity,4.610 to 24.70,-infinity to +infinity,2.046 to 7.755,0.7617 to 3.952,-infinity to +infinity,1.184 to 11.05,0.5933 to 5.197,-infinity to +infinity,2.838 to 38.85,0.05965 to 0.4953,1.568 to 9.535,2.248 to 22.11,0.6555 to 2.095,0.7220 to 5.641,1.878 to 9.433,0.8767 to 8.990,19.47 to +infinity,??? to 0.02837,19.54 to +infinity,-infinity to +infinity,1.991 to 12.65,35.03 to +infinity,12.07 to +infinity,-infinity to +infinity,0.03708 to 0.1251,0.01579 to 0.1166,-infinity to +infinity,2.797 to 13.60,0.5988 to 5.745,0.6723 to 5.039,3.456 to 27.37,0.3042 to 3.256,0.3304 to 4.457,0.6111 to 4.442,1.099 to 4.948,1.717 to 31.84,0.1922 to 0.8530,24.98 to ???,-infinity to +infinity,0.03868 to 0.08681,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,3.222 to 22.19,0.001754 to 0.008407,0.01467 to 0.03388,10.52 to +infinity,10.07 to +infinity,20.40 to +infinity,3.839 to 101.8,0.06897 to 187.8,0.07272 to 0.3973,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,3.222 to 22.19,0.001754 to 0.008407,0.01467 to 0.03388,35.76 to +infinity,19.07 to +infinity,-infinity to +infinity,-infinity to +infinity,14.01 to 100.5,0.09885 to 0.5780
     logIC50,-0.04147 to 0.7469,,0.6637 to 1.393,,0.3108 to 0.8896,-0.1182 to 0.5968,,0.07321 to 1.043,-0.2267 to 0.7158,,0.4530 to 1.589,-1.224 to -0.3052,0.1954 to 0.9793,0.3519 to 1.345,-0.1834 to 0.3212,-0.1415 to 0.7513,0.2737 to 0.9746,-0.05715 to 0.9538,1.289 to ???,??? to -1.547,1.291 to ???,,0.2990 to 1.102,1.544 to ???,1.082 to ???,,-1.431 to -0.9029,-1.802 to -0.9333,,0.4466 to 1.134,-0.2227 to 0.7593,-0.1724 to 0.7024,0.5385 to 1.437,-0.5168 to 0.5127,-0.4810 to 0.6490,-0.2139 to 0.6476,0.04107 to 0.6944,0.2347 to 1.503,-0.7161 to -0.06907,1.398 to ???,,-1.412 to -1.061,,,,0.5082 to 1.346,-2.756 to -2.075,-1.834 to -1.470,1.022 to ???,1.003 to ???,1.310 to ???,0.5843 to 2.008,-1.161 to 2.274,-1.138 to -0.4009,,,,0.5081 to 1.346,-2.756 to -2.075,-1.834 to -1.470,1.553 to ???,1.280 to ???,,,1.146 to 2.002,-1.005 to -0.2381
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.5678,-0.3546,0.4585,-0.05216,0.6725,0.6068,-0.5298,0.5233,0.4941,-0.02512,-0.1830,0.5641,0.5245,0.3705,0.7805,0.5079,0.6043,0.2810,-0.06668,0.5283,0.07568,-0.0007516,0.3700,-0.04014,0.02804,-0.1481,0.7837,0.5840,-0.01862,0.6002,0.2961,0.6044,0.2781,0.4430,0.5073,0.5618,0.6801,-0.4320,0.7361,-0.02277,-1.098e-005,0.8943,-0.09176,-0.06017,-0.3617,0.4372,0.9524,0.9082,-0.2407,-0.3403,-0.3261,-0.08381,-1.647,0.6754,-0.09175,-0.06017,-0.3616,0.4372,0.9524,0.9082,-0.2640,0.02546,-0.1321,-0.004453,0.1509,0.6178
