,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,7.401,488.6,49.12,1.521e+054,6.222,6.503,74.75,2.865,1.593,5.335e+049,54.65,3.832,5.211,20.75,4.114,6.385,4.491,4.965,3.509e+050,0.1006,1.020e+057,83.66,17.91,619.6,101.6,137.0,0.2307,0.05270,102.6,14.79,7.020,2.485,29.84,5.101,1.455,3.110,5.262,2.572e+058,1.824,24543,3.092e+054,1.213,2.141e+039,6.352e+043,190.6,11.01,0.01448,0.04289,228.9,57.31,4.852e+047,97.29,1.572e+058,2.171,2.141e+039,6.354e+043,190.6,11.01,0.01448,0.04289,10781,184.3,624.1,2.257e+049,1.641e+040,8.367
     logIC50,0.8693,2.689,1.691,54.18,0.7939,0.8131,1.874,0.4572,0.2023,49.73,1.738,0.5835,0.7169,1.317,0.6143,0.8052,0.6524,0.6959,50.55,-0.9975,57.01,1.923,1.253,2.792,2.007,2.137,-0.6369,-1.278,2.011,1.170,0.8463,0.3953,1.475,0.7077,0.1629,0.4927,0.7212,58.41,0.2610,4.390,54.49,0.08376,39.33,43.80,2.280,1.042,-1.839,-1.368,2.360,1.758,47.69,1.988,58.20,0.3366,39.33,43.80,2.280,1.042,-1.839,-1.368,4.033,2.266,2.795,49.35,40.22,0.9226
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.626 to 24.52,47.29 to +infinity,9.232 to +infinity,-infinity to +infinity,3.017 to 13.24,3.198 to 13.51,25.81 to +infinity,1.597 to 5.043,0.8466 to 2.934,-infinity to +infinity,26.79 to 187.6,1.350 to 10.50,2.809 to 9.647,8.819 to 62.16,2.049 to 7.995,2.808 to 14.50,2.507 to 7.914,2.689 to 9.079,-infinity to +infinity,0.04479 to 0.2136,-infinity to +infinity,46.32 to 229.7,13.43 to 24.30,84.77 to +infinity,45.83 to 1069,57.38 to +infinity,0.08835 to 0.6445,0.02801 to 0.09500,42.44 to +infinity,7.172 to 32.88,3.217 to 15.38,1.002 to 6.483,10.54 to 178.1,2.367 to 10.97,0.3738 to 7.217,1.005 to 11.19,2.851 to 9.752,-infinity to +infinity,0.8581 to 3.878,119.8 to ???,-infinity to +infinity,0.5785 to 2.617,-infinity to +infinity,-infinity to +infinity,49.23 to +infinity,4.855 to 25.93,0.01088 to 0.01865,0.02514 to 0.07013,75.05 to +infinity,23.18 to 532.8,-infinity to +infinity,38.76 to +infinity,-infinity to +infinity,1.162 to 4.054,-infinity to +infinity,-infinity to +infinity,49.23 to +infinity,4.855 to 25.93,0.01088 to 0.01865,0.02514 to 0.07013,287.7 to +infinity,76.73 to +infinity,181.2 to +infinity,-infinity to +infinity,-infinity to +infinity,3.984 to 18.66
     logIC50,0.4194 to 1.389,1.675 to ???,0.9653 to ???,,0.4796 to 1.122,0.5048 to 1.131,1.412 to ???,0.2032 to 0.7027,-0.07231 to 0.4675,,1.428 to 2.273,0.1303 to 1.021,0.4485 to 0.9844,0.9454 to 1.794,0.3116 to 0.9028,0.4485 to 1.161,0.3992 to 0.8984,0.4296 to 0.9580,,-1.349 to -0.6705,,1.666 to 2.361,1.128 to 1.386,1.928 to ???,1.661 to 3.029,1.759 to ???,-1.054 to -0.1908,-1.553 to -1.022,1.628 to ???,0.8557 to 1.517,0.5075 to 1.187,0.0009657 to 0.8117,1.023 to 2.251,0.3742 to 1.040,-0.4274 to 0.8584,0.002211 to 1.049,0.4549 to 0.9891,,-0.06645 to 0.5886,2.079 to ???,,-0.2377 to 0.4178,,,1.692 to ???,0.6862 to 1.414,-1.964 to -1.729,-1.600 to -1.154,1.875 to ???,1.365 to 2.727,,1.588 to ???,,0.06521 to 0.6079,,,1.692 to ???,0.6862 to 1.414,-1.964 to -1.729,-1.600 to -1.154,2.459 to ???,1.885 to ???,2.258 to ???,,,0.6003 to 1.271
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.4433,-0.4453,-0.008483,-0.007916,0.6367,0.6481,-0.2971,0.7529,0.7530,-0.1470,0.04797,0.5375,0.7356,0.3605,0.6788,0.5052,0.7269,0.7145,-0.1125,0.7101,-1.040,0.1709,0.8028,-0.0002635,0.1894,0.05247,0.5879,0.7756,-0.3502,0.4466,0.5559,0.5987,-0.01037,0.6199,0.4454,0.4631,0.7188,-0.2731,0.6978,-0.01884,-0.2167,0.7227,-0.01667,-0.05940,-0.2734,0.4505,0.9709,0.8345,0.02723,-0.07290,-0.04835,0.1408,-0.01708,0.7866,-0.01667,-0.05940,-0.2734,0.4505,0.9709,0.8345,-0.02596,0.1235,-0.2112,-0.01984,-0.1119,0.6080
