,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,8.094,55.97,25.08,3.450e+047,3.849,4.977,0.8654,3.133,2.040,6.615e+057,48.35,68.08,6.039,10.83,5.410,8.058,5.147,3.186,2348,0.1817,1.996e+036,7.374e+051,67.24,7.478e+046,61.38,1.248e+047,0.1252,0.04470,56.84,10.50,7.128,2.733,20.59,1.591,0.4032,1.423,2.738,440.8,1.993,81.52,277.2,1.137,8.478e+030,122.7,57.30,6.187,0.003881,0.02595,99.41,2515,156.2,40.18,57.20,2.262,8.478e+030,122.7,57.30,6.186,0.003881,0.02595,1.837e+041,2.992e+052,59.81,139.9,339.9,7.950
     logIC50,0.9082,1.748,1.399,47.54,0.5853,0.6970,-0.06280,0.4960,0.3096,57.82,1.684,1.833,0.7810,1.034,0.7332,0.9062,0.7116,0.5033,3.371,-0.7407,36.30,51.87,1.828,46.87,1.788,47.10,-0.9023,-1.350,1.755,1.021,0.8530,0.4366,1.314,0.2015,-0.3945,0.1532,0.4375,2.644,0.2995,1.911,2.443,0.05568,30.93,2.089,1.758,0.7915,-2.411,-1.586,1.997,3.401,2.194,1.604,1.757,0.3544,30.93,2.089,1.758,0.7914,-2.411,-1.586,41.26,52.48,1.777,2.146,2.531,0.9004
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,3.287 to 22.32,31.13 to 135.7,7.028 to 444.2,-infinity to +infinity,2.183 to 6.687,2.778 to 8.873,??? to 70.37,1.595 to 6.098,0.8327 to 4.838,-infinity to +infinity,20.63 to 256.0,??? to +infinity,3.041 to 12.15,5.724 to 20.97,2.655 to 11.14,3.044 to 22.77,2.886 to 9.187,1.649 to 5.890,77.74 to +infinity,0.07727 to 0.4078,-infinity to +infinity,-infinity to +infinity,22.52 to +infinity,-infinity to +infinity,29.28 to 251.8,-infinity to +infinity,0.06584 to 0.2355,0.02486 to 0.07657,24.07 to 369.7,5.118 to 22.22,2.388 to 23.61,0.8696 to 9.434,6.097 to 107.4,0.6854 to 3.634,0.2411 to 0.6732,0.5942 to 3.393,1.635 to 4.536,70.02 to +infinity,0.8929 to 4.489,33.84 to 1696,50.00 to +infinity,0.4494 to 3.074,-infinity to +infinity,34.23 to +infinity,15.22 to +infinity,3.374 to 11.30,0.001342 to 0.006819,0.01719 to 0.03749,27.00 to +infinity,44.35 to +infinity,35.17 to +infinity,19.68 to 120.5,21.45 to 1590,0.9060 to 4.975,-infinity to +infinity,34.23 to +infinity,15.22 to +infinity,3.373 to 11.29,0.001342 to 0.006819,0.01719 to 0.03749,-infinity to +infinity,-infinity to +infinity,28.93 to 222.6,42.86 to +infinity,95.65 to +infinity,3.633 to 18.49
     logIC50,0.5168 to 1.349,1.493 to 2.133,0.8469 to 2.648,,0.3391 to 0.8252,0.4437 to 0.9481,??? to 1.847,0.2028 to 0.7852,-0.07953 to 0.6847,,1.315 to 2.408,,0.4831 to 1.084,0.7577 to 1.322,0.4241 to 1.047,0.4835 to 1.357,0.4604 to 0.9632,0.2171 to 0.7701,1.891 to ???,-1.112 to -0.3895,,,1.353 to ???,,1.467 to 2.401,,-1.181 to -0.6280,-1.604 to -1.116,1.381 to 2.568,0.7091 to 1.347,0.3781 to 1.373,-0.06067 to 0.9747,0.7851 to 2.031,-0.1641 to 0.5604,-0.6179 to -0.1719,-0.2261 to 0.5306,0.2136 to 0.6567,1.845 to ???,-0.04921 to 0.6522,1.529 to 3.229,1.699 to ???,-0.3473 to 0.4877,,1.534 to ???,1.182 to ???,0.5281 to 1.053,-2.872 to -2.166,-1.765 to -1.426,1.431 to ???,1.647 to ???,1.546 to ???,1.294 to 2.081,1.331 to 3.201,-0.04288 to 0.6968,,1.534 to ???,1.182 to ???,0.5281 to 1.053,-2.872 to -2.166,-1.765 to -1.426,,,1.461 to 2.347,1.632 to ???,1.981 to ???,0.5603 to 1.267
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.5032,-0.01867,0.1752,-0.02337,0.7664,0.7299,0.02381,0.7373,0.5939,-0.2774,0.1530,-0.07922,0.6698,0.5716,0.6570,0.4676,0.7359,0.7017,-0.003157,0.6873,-0.003022,-0.2827,0.05936,-0.002469,0.2563,-0.007113,0.7743,0.8068,-0.4124,0.5324,0.4514,0.4860,-0.09514,0.6760,0.8508,0.6055,0.8211,-0.001879,0.6755,-0.1331,-0.05778,0.6112,-0.1321,0.04855,-0.2474,0.6675,0.9642,0.9134,-0.4030,-0.02656,-0.09202,0.1860,-0.09476,0.5984,-0.1321,0.04855,-0.2474,0.6675,0.9642,0.9134,-0.7557,-0.05930,-0.3244,0.06280,0.03818,0.5709
