,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,7.837,484.5,93.94,3.836e+057,6.180,6.079,170.6,2.921,1.532,2.253e+049,50.52,1.374,5.026,20.94,2.551,6.522,4.333,5.001,5.319e+056,0.02228,1.876e+034,56.89,14.21,506.8,87.06,105.1,0.2597,0.05275,76.88,14.37,4.748,2.404,32.03,5.110,1.536,3.339,5.707,1.264e+058,1.916,1.473e+037,1.587e+050,1.409,5.581e+044,7.159e+037,178.5,12.38,0.01609,0.04328,248.8,58.64,3.631e+048,118.3,2.471e+051,1.838,5.581e+044,7.156e+037,178.5,12.38,0.01609,0.04328,65791,186.4,408.5,8.553e+051,1261,8.850
     logIC50,0.8942,2.685,1.973,57.58,0.7910,0.7838,2.232,0.4656,0.1854,49.35,1.703,0.1379,0.7013,1.321,0.4066,0.8144,0.6368,0.6990,56.73,-1.652,34.27,1.755,1.153,2.705,1.940,2.021,-0.5855,-1.278,1.886,1.157,0.6765,0.3809,1.506,0.7084,0.1864,0.5237,0.7564,58.10,0.2823,37.17,50.20,0.1491,44.75,37.85,2.252,1.093,-1.793,-1.364,2.396,1.768,48.56,2.073,51.39,0.2644,44.75,37.85,2.252,1.093,-1.793,-1.364,4.818,2.270,2.611,51.93,3.101,0.9469
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.412 to 33.26,41.42 to +infinity,9.638 to +infinity,-infinity to +infinity,2.886 to 13.70,2.955 to 12.63,38.55 to +infinity,1.502 to 5.529,0.7796 to 2.924,-infinity to +infinity,22.61 to 228.6,0.8910 to 2.110,2.812 to 8.940,8.613 to 66.47,1.167 to 5.210,2.788 to 15.24,2.394 to 7.696,2.622 to 9.432,-infinity to +infinity,0.01177 to 0.03825,-infinity to +infinity,32.67 to 129.0,10.14 to 20.25,62.67 to +infinity,33.03 to +infinity,43.71 to +infinity,0.08932 to 0.8427,0.02764 to 0.09630,30.91 to 2311,6.756 to 32.84,2.143 to 10.34,0.9236 to 6.623,10.31 to 347.8,2.156 to 12.05,0.3702 to 8.425,0.9642 to 14.35,2.842 to 11.60,-infinity to +infinity,0.8410 to 4.380,-infinity to +infinity,-infinity to +infinity,0.5996 to 3.483,-infinity to +infinity,-infinity to +infinity,39.46 to +infinity,5.004 to 33.03,0.01195 to 0.02095,0.02493 to 0.07184,69.95 to +infinity,22.59 to 1065,-infinity to +infinity,39.93 to +infinity,-infinity to +infinity,1.007 to 3.341,-infinity to +infinity,-infinity to +infinity,39.46 to +infinity,5.005 to 33.03,0.01195 to 0.02095,0.02493 to 0.07184,228.2 to ???,64.57 to +infinity,128.2 to +infinity,-infinity to +infinity,106.8 to +infinity,3.770 to 22.96
     logIC50,0.3824 to 1.522,1.617 to ???,0.9840 to ???,,0.4603 to 1.137,0.4706 to 1.101,1.586 to ???,0.1766 to 0.7427,-0.1081 to 0.4659,,1.354 to 2.359,-0.05012 to 0.3243,0.4490 to 0.9513,0.9352 to 1.823,0.06717 to 0.7169,0.4453 to 1.183,0.3792 to 0.8863,0.4187 to 0.9746,,-1.929 to -1.417,,1.514 to 2.110,1.006 to 1.306,1.797 to ???,1.519 to ???,1.641 to ???,-1.049 to -0.07435,-1.558 to -1.016,1.490 to 3.364,0.8297 to 1.516,0.3310 to 1.015,-0.03450 to 0.8210,1.013 to 2.541,0.3337 to 1.081,-0.4316 to 0.9256,-0.01582 to 1.157,0.4536 to 1.064,,-0.07522 to 0.6415,,,-0.2222 to 0.5420,,,1.596 to ???,0.6994 to 1.519,-1.923 to -1.679,-1.603 to -1.144,1.845 to ???,1.354 to 3.028,,1.601 to ???,,0.002902 to 0.5239,,,1.596 to ???,0.6994 to 1.519,-1.923 to -1.679,-1.603 to -1.144,2.358 to ???,1.810 to ???,2.108 to ???,,2.029 to ???,0.5763 to 1.361
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.3580,-0.4100,-0.1395,-0.001421,0.6163,0.6549,-0.2072,0.6980,0.7254,-0.07188,-0.03087,0.8941,0.7477,0.3304,0.6916,0.4842,0.7210,0.6951,-0.07371,0.8528,-0.8800,0.2931,0.7665,0.0004785,0.06470,0.03378,0.5349,0.7682,-0.3882,0.4115,0.5877,0.5722,-0.008474,0.5643,0.4180,0.4090,0.6563,-0.1698,0.6569,-0.03245,-0.06873,0.6583,-0.04865,-0.02453,-0.3474,0.3737,0.9657,0.8256,-0.03961,-0.02018,-0.07613,0.08792,-0.08961,0.8103,-0.04865,-0.02453,-0.3474,0.3737,0.9657,0.8256,-0.03047,0.07559,-0.2062,-0.03112,-0.001521,0.5284
