,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,3.522,4.975e+054,1.763e+032,2.269e+033,6.962,0.7697,2.472e+036,2.162,0.7795,1.001e+059,78.60,0.8780,10.61,14.38,16.73,6.811,5.657,7.223,2.375e+039,0.03005,48.00,140.9,7.041,106.6,64.28,1.664e+033,0.06670,0.05139,4.067e+042,11.51,0.9639,0.6756,22.37,2.266,1.493,1.354,2.098,33.61,0.5967,56.87,65.90,0.1186,1.629e+036,4.708e+037,1.919,8.961,0.005533,0.02751,6.816e+031,51.03,1.609e+042,20.09,33.96,1.151,1.629e+036,4.708e+037,1.919,8.961,0.005533,0.02751,170.1,34.72,2.234e+035,354.2,20.52,0.9943
     logIC50,0.5468,54.70,32.25,33.36,0.8427,-0.1137,36.39,0.3348,-0.1082,59.00,1.895,-0.05652,1.026,1.158,1.224,0.8332,0.7526,0.8587,39.38,-1.522,1.681,2.149,0.8477,2.028,1.808,33.22,-1.176,-1.289,42.61,1.061,-0.01598,-0.1703,1.350,0.3552,0.1742,0.1316,0.3218,1.526,-0.2242,1.755,1.819,-0.9259,36.21,37.67,0.2832,0.9524,-2.257,-1.560,31.83,1.708,42.21,1.303,1.531,0.06117,36.21,37.67,0.2832,0.9524,-2.257,-1.560,2.231,1.541,35.35,2.549,1.312,-0.002496
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.415 to 8.516,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,2.905 to 17.67,0.1049 to 3.627,-infinity to +infinity,0.9006 to 5.211,0.3755 to 1.554,-infinity to +infinity,28.12 to +infinity,0.3059 to 2.523,3.374 to 44.64,4.057 to 63.15,1.553 to +infinity,2.220 to 21.64,2.812 to 11.45,2.208 to 23.57,-infinity to +infinity,0.006794 to 0.09015,24.69 to 136.4,45.96 to +infinity,4.599 to 10.77,40.43 to +infinity,27.59 to 510.3,-infinity to +infinity,0.03634 to 0.1186,0.02529 to 0.09874,-infinity to +infinity,6.568 to 20.93,0.2043 to 3.430,0.2636 to 1.619,6.291 to 221.3,0.5128 to 9.997,0.2847 to 13.99,0.4868 to 3.830,1.118 to 3.868,13.99 to 130.7,0.3200 to 1.104,19.28 to +infinity,28.14 to 551.5,0.08227 to 0.1701,-infinity to +infinity,-infinity to +infinity,0.2754 to 10.89,3.009 to 29.40,0.0003208 to 0.01260,0.01249 to 0.05243,-infinity to +infinity,15.31 to +infinity,-infinity to +infinity,6.470 to 95.99,10.41 to 496.3,0.5138 to 2.427,-infinity to +infinity,-infinity to +infinity,0.2754 to 10.89,3.009 to 29.40,0.0003208 to 0.01260,0.01249 to 0.05243,47.06 to +infinity,15.97 to 115.9,-infinity to +infinity,59.38 to +infinity,13.56 to 32.49,0.6134 to 1.597
     logIC50,0.1507 to 0.9302,,,,0.4632 to 1.247,-0.9791 to 0.5595,,-0.04549 to 0.7169,-0.4254 to 0.1914,,1.449 to ???,-0.5144 to 0.4018,0.5281 to 1.650,0.6082 to 1.800,0.1911 to ???,0.3463 to 1.335,0.4490 to 1.059,0.3440 to 1.372,,-2.168 to -1.045,1.393 to 2.135,1.662 to ???,0.6626 to 1.032,1.607 to ???,1.441 to 2.708,,-1.440 to -0.9258,-1.597 to -1.006,,0.8174 to 1.321,-0.6897 to 0.5353,-0.5791 to 0.2093,0.7987 to 2.345,-0.2900 to 0.9999,-0.5456 to 1.146,-0.3127 to 0.5832,0.04846 to 0.5875,1.146 to 2.116,-0.4949 to 0.04283,1.285 to ???,1.449 to 2.742,-1.085 to -0.7694,,,-0.5600 to 1.037,0.4784 to 1.468,-3.494 to -1.900,-1.903 to -1.280,,1.185 to ???,,0.8109 to 1.982,1.017 to 2.696,-0.2892 to 0.3851,,,-0.5600 to 1.037,0.4784 to 1.468,-3.494 to -1.900,-1.903 to -1.280,1.673 to ???,1.203 to 2.064,,1.774 to ???,1.132 to 1.512,-0.2123 to 0.2034
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.6018,-0.2135,-0.1600,-0.04431,0.5428,0.2144,-0.3826,0.6441,0.7351,-0.02606,-0.08918,0.6043,0.3186,0.1561,0.06835,0.3877,0.6619,0.2988,-0.2637,0.5562,0.2928,-0.2742,0.7911,-0.1294,0.2060,-0.06418,0.7930,0.7377,-0.6115,0.6626,0.4127,0.6432,0.07987,0.3329,0.3299,0.5172,0.7551,-0.3753,0.8039,0.05100,0.1847,0.9156,-0.03170,-0.1834,-0.6273,0.4125,0.8665,0.7612,-0.01952,-0.07184,-0.003514,0.03754,-0.5529,0.7000,-0.03170,-0.1834,-0.6273,0.4125,0.8665,0.7612,0.006378,0.3267,-0.06343,0.01226,0.5924,0.8587
