,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,3.062,3.013e+041,4.069e+030,206.5,10.15,11.61,7.659e+037,1.712,2.123,4.355e+049,22.71,0.4605,11.61,12.64,12.63,7.206,6.052,9.808,2.877e+058,0.01705,29.51,67.01,3.955,52.39,78.20,576.9,0.04776,0.04766,9.536e+034,8.940,0.6247,0.6869,36.41,1.357,1.277,1.743,1.687,30.36,0.5484,63.00,68.03,0.09656,3.244e+052,135.3,10.85,8.512,0.001729,0.02656,9.533e+034,4.074e+042,2.123e+031,12.77,94.76,1.025,3.244e+052,135.3,10.85,8.512,0.001729,0.02656,1.914e+028,17.52,204.4,3.223e+046,18.53,0.3095
     logIC50,0.4861,41.48,30.61,2.315,1.007,1.065,37.88,0.2335,0.3270,49.64,1.356,-0.3368,1.065,1.102,1.101,0.8577,0.7819,0.9916,58.46,-1.768,1.470,1.826,0.5972,1.719,1.893,2.761,-1.321,-1.322,34.98,0.9513,-0.2043,-0.1631,1.561,0.1326,0.1061,0.2413,0.2272,1.482,-0.2609,1.799,1.833,-1.015,52.51,2.131,1.036,0.9300,-2.762,-1.576,34.98,42.61,31.33,1.106,1.977,0.01077,52.51,2.131,1.036,0.9300,-2.762,-1.576,28.28,1.244,2.311,46.51,1.268,-0.5094
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,0.5933 to 16.27,-infinity to +infinity,-infinity to +infinity,2.848 to +infinity,1.549 to +infinity,3.033 to 87.21,-infinity to +infinity,0.5463 to 5.165,0.7144 to 6.338,-infinity to +infinity,7.250 to 154.7,0.2093 to 1.009,3.184 to 70.57,3.457 to 50.81,1.090 to +infinity,2.470 to 22.40,2.726 to 13.93,2.795 to 43.40,-infinity to +infinity,-infinity to 0.06870,13.19 to 92.62,22.37 to +infinity,2.031 to 7.653,17.41 to +infinity,30.83 to +infinity,53.86 to +infinity,0.02555 to 0.08452,0.02112 to 0.09883,-infinity to +infinity,4.943 to 16.55,0.1066 to 3.124,0.1371 to 2.249,6.946 to +infinity,0.2828 to 6.888,0.2977 to 7.777,0.4572 to 7.565,0.7833 to 3.478,10.71 to 174.7,0.3052 to 0.9808,18.51 to +infinity,22.65 to +infinity,0.05962 to 0.1552,-infinity to +infinity,20.94 to +infinity,0.1936 to 96.43,2.638 to 30.30,??? to 0.007569,0.01442 to 0.04463,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,4.143 to 41.34,21.95 to +infinity,0.3233 to 2.885,-infinity to +infinity,20.94 to +infinity,0.1936 to 96.43,2.638 to 30.30,??? to 0.007569,0.01442 to 0.04463,-infinity to +infinity,7.177 to 54.81,55.11 to +infinity,-infinity to +infinity,9.055 to 43.69,0.1716 to 0.5537
     logIC50,-0.2267 to 1.211,,,0.4545 to ???,0.1900 to ???,0.4819 to 1.941,,-0.2626 to 0.7130,-0.1460 to 0.8020,,0.8604 to 2.190,-0.6792 to 0.003865,0.5030 to 1.849,0.5387 to 1.706,0.03744 to ???,0.3927 to 1.350,0.4356 to 1.144,0.4464 to 1.637,,??? to -1.163,1.120 to 1.967,1.350 to ???,0.3077 to 0.8839,1.241 to ???,1.489 to ???,1.731 to ???,-1.593 to -1.073,-1.675 to -1.005,,0.6940 to 1.219,-0.9724 to 0.4947,-0.8628 to 0.3520,0.8417 to ???,-0.5485 to 0.8381,-0.5262 to 0.8908,-0.3399 to 0.8788,-0.1061 to 0.5413,1.030 to 2.242,-0.5154 to -0.008402,1.267 to ???,1.355 to ???,-1.225 to -0.8092,,1.321 to ???,-0.7132 to 1.984,0.4213 to 1.481,??? to -2.121,-1.841 to -1.350,,,,0.6174 to 1.616,1.341 to ???,-0.4904 to 0.4602,,1.321 to ???,-0.7132 to 1.984,0.4213 to 1.481,??? to -2.121,-1.841 to -1.350,,0.8559 to 1.739,1.741 to ???,,0.9569 to 1.640,-0.7655 to -0.2567
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.3459,-0.4752,-0.3576,-0.4379,0.09384,0.2307,-0.7469,0.4830,0.5201,-0.02313,0.1790,0.6978,0.2677,0.07360,0.07314,0.3919,0.6069,0.2686,-0.4439,0.4395,0.005168,-0.1898,0.6722,0.07294,0.1527,-0.01319,0.7983,0.6923,-0.5115,0.6777,0.3597,0.4007,0.07246,0.3304,0.4036,0.3966,0.6730,-0.5276,0.8195,-0.1558,0.1125,0.8593,-0.1977,-0.02016,-1.623,0.3617,0.8649,0.8357,-0.005164,-0.004171,-0.001117,0.03364,-0.1789,0.5822,-0.1977,-0.02016,-1.623,0.3617,0.8649,0.8357,-0.05176,0.3883,-0.1476,-0.2562,0.3029,0.8008
