,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,4.059,2.575e+052,10.62,69.90,4.022,3.099,1.458e+032,7.543,2.494,1.402e+041,58.20,0.1849,9.502,1.574,0.5164,2.314,5.418,3.420,22.97,0.01276,207.6,3.184e+041,8.751,39.13,151.1,6.077e+032,0.09080,0.02524,2.294e+036,7.854,0.2681,1.369,1.312,0.5832,2.626,6.836,4.528,29.80,0.3996,44.99,1.973e+030,0.07296,1.615e+061,3.235e+034,6.332e+043,7.887,0.0004106,0.02400,1.806e+049,121.1,3609,78.73,30.77,1.607,1.615e+061,3.235e+034,6.332e+043,7.887,0.0004106,0.02400,365.2,626.6,7.053e+047,3.467e+048,194.5,1.902
     logIC50,0.6084,52.41,1.026,1.844,0.6045,0.4913,32.16,0.8776,0.3969,41.15,1.765,-0.7330,0.9778,0.1970,-0.2870,0.3643,0.7339,0.5340,1.361,-1.894,2.317,41.50,0.9421,1.593,2.179,32.78,-1.042,-1.598,36.36,0.8951,-0.5716,0.1364,0.1181,-0.2342,0.4193,0.8348,0.6559,1.474,-0.3984,1.653,30.30,-1.137,61.21,34.51,43.80,0.8969,-3.387,-1.620,49.26,2.083,3.557,1.896,1.488,0.2061,61.21,34.51,43.80,0.8969,-3.387,-1.620,2.563,2.797,47.85,48.54,2.289,0.2793
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.703 to 9.312,-infinity to +infinity,3.455 to 41.96,22.56 to +infinity,1.689 to 9.199,1.283 to 6.917,-infinity to +infinity,0.3956 to +infinity,0.5668 to 12.41,-infinity to +infinity,5.344 to +infinity,0.1021 to 0.3330,2.215 to 57.08,0.3414 to 5.908,0.2237 to 1.136,0.7167 to 6.237,1.567 to 17.61,0.2318 to 13.88,7.993 to 100.3,0.0005340 to 0.03694,36.19 to +infinity,-infinity to +infinity,3.754 to 20.21,19.40 to 112.0,24.06 to +infinity,-infinity to +infinity,0.04211 to 0.1895,0.01334 to 0.04304,-infinity to +infinity,2.275 to 30.06,0.01158 to 3.524,0.2062 to 11.93,0.1773 to 12.20,0.1744 to 1.850,0.1934 to +infinity,0.1199 to +infinity,1.723 to 12.60,15.47 to 70.38,0.2049 to 0.7648,17.25 to 401.0,-infinity to +infinity,0.05610 to 0.09436,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,2.618 to 25.97,??? to 0.008332,0.01581 to 0.03472,-infinity to +infinity,21.58 to +infinity,45.99 to +infinity,17.63 to +infinity,9.355 to 346.7,0.5624 to 4.094,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,2.618 to 25.97,??? to 0.008332,0.01581 to 0.03472,47.44 to +infinity,54.91 to +infinity,-infinity to +infinity,-infinity to +infinity,44.00 to +infinity,0.7802 to 4.166
     logIC50,0.2311 to 0.9690,,0.5384 to 1.623,1.353 to ???,0.2277 to 0.9637,0.1083 to 0.8399,,-0.4027 to ???,-0.2466 to 1.094,,0.7278 to ???,-0.9911 to -0.4776,0.3454 to 1.756,-0.4667 to 0.7714,-0.6504 to 0.05553,-0.1447 to 0.7950,0.1951 to 1.246,-0.6350 to 1.142,0.9027 to 2.001,-3.272 to -1.432,1.559 to ???,,0.5745 to 1.306,1.288 to 2.049,1.381 to ???,,-1.376 to -0.7225,-1.875 to -1.366,,0.3569 to 1.478,-1.936 to 0.5471,-0.6857 to 1.077,-0.7514 to 1.086,-0.7586 to 0.2671,-0.7135 to ???,-0.9211 to ???,0.2362 to 1.100,1.190 to 1.847,-0.6885 to -0.1165,1.237 to 2.603,,-1.251 to -1.025,,,,0.4180 to 1.414,??? to -2.079,-1.801 to -1.459,,1.334 to ???,1.663 to ???,1.246 to ???,0.9711 to 2.540,-0.2500 to 0.6121,,,,0.4180 to 1.414,??? to -2.079,-1.801 to -1.459,1.676 to ???,1.740 to ???,,,1.643 to ???,-0.1078 to 0.6197
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.6019,-0.08958,0.3596,-0.09551,0.5893,0.6218,-0.2191,0.03615,0.3710,-0.06183,0.02029,0.8140,0.1859,0.3594,0.6927,0.4826,0.4086,-0.008984,-0.2048,0.6297,0.01051,-0.005599,0.4464,0.2132,-0.08786,-0.001393,0.7083,0.8304,-0.1653,0.3923,0.03852,0.3270,0.2710,0.4774,0.09687,-0.006125,0.5426,0.1537,0.7914,0.01875,-0.01501,0.9542,-0.3482,-0.05547,-0.02986,0.4158,0.7727,0.9156,-0.1980,-0.5652,-1.416e-005,-0.04259,-1.180,0.5799,-0.3482,-0.05547,-0.02986,0.4158,0.7727,0.9156,-0.2379,-0.006774,-0.1036,-0.001984,-0.06699,0.5710
