,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,3.472,1.419e+047,7.520,145.9,4.084,1.389,146.9,1.822,1.230,34.44,51.36,0.4673,7.040,6.803,2.032,4.755,4.168,4.482,3315,0.5554,53.12,1.159e+039,24.44,168.9,134.9,34968,0.07241,0.02971,2.031e+040,8.355,0.5447,2.558,15.83,2.722,0.9908,1.906,2.789,690.1,0.5737,284.6,110.2,0.1043,168.1,23.56,48.83,5.611,0.0001201,0.03256,7.107e+050,5.917e+037,454.3,94.41,144.0,4.561,168.1,23.56,48.83,5.611,0.0001201,0.03256,1.919e+032,137.6,204.5,1.760e+050,63.96,6.292
     logIC50,0.5405,47.15,0.8762,2.164,0.6111,0.1426,2.167,0.2606,0.08974,1.537,1.711,-0.3304,0.8476,0.8327,0.3078,0.6771,0.6200,0.6515,3.520,-0.2554,1.725,39.06,1.388,2.228,2.130,4.544,-1.140,-1.527,40.31,0.9219,-0.2638,0.4079,1.200,0.4348,-0.003993,0.2801,0.4454,2.839,-0.2413,2.454,2.042,-0.9819,2.226,1.372,1.689,0.7491,-3.920,-1.487,50.85,37.77,2.657,1.975,2.158,0.6591,2.226,1.372,1.689,0.7491,-3.920,-1.487,32.28,2.139,2.311,50.25,1.806,0.7988
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.880 to 6.179,-infinity to +infinity,4.172 to 13.66,59.32 to +infinity,2.310 to 7.115,0.6792 to 2.693,39.15 to +infinity,0.8128 to 4.180,0.6384 to 2.343,12.98 to 181.5,17.69 to +infinity,0.2623 to 0.8152,2.803 to 18.21,2.471 to 17.94,1.052 to 3.820,1.826 to 12.04,2.215 to 7.643,2.018 to 9.466,172.8 to +infinity,0.3128 to 0.9752,34.82 to 92.20,-infinity to +infinity,15.56 to 41.06,77.89 to 4504,52.00 to +infinity,107.9 to ???,0.04131 to 0.1241,0.01917 to 0.04407,-infinity to +infinity,5.282 to 13.34,0.1176 to 2.064,0.5545 to 17.38,4.955 to 73.46,0.6315 to 13.93,0.2974 to 3.967,0.5805 to 7.123,1.545 to 5.023,111.6 to +infinity,0.3716 to 0.8827,78.54 to +infinity,50.11 to 1192,0.07338 to 0.1471,31.13 to +infinity,9.760 to 75.47,20.59 to 274.0,2.386 to 12.97,??? to 0.002318,0.01856 to 0.05353,-infinity to +infinity,-infinity to +infinity,58.84 to +infinity,26.07 to +infinity,38.41 to +infinity,2.193 to 9.308,31.13 to +infinity,9.760 to 75.47,20.59 to 274.0,2.386 to 12.97,??? to 0.002318,0.01856 to 0.05353,-infinity to +infinity,66.67 to 1016,100.3 to 1934,-infinity to +infinity,44.32 to 102.6,3.809 to 10.38
     logIC50,0.2741 to 0.7909,,0.6204 to 1.136,1.773 to ???,0.3636 to 0.8522,-0.1680 to 0.4302,1.593 to ???,-0.09004 to 0.6212,-0.1949 to 0.3697,1.113 to 2.259,1.248 to ???,-0.5811 to -0.08875,0.4476 to 1.260,0.3928 to 1.254,0.02187 to 0.5821,0.2615 to 1.081,0.3453 to 0.8833,0.3049 to 0.9762,2.238 to ???,-0.5048 to -0.01093,1.542 to 1.965,,1.192 to 1.613,1.891 to 3.654,1.716 to ???,2.033 to ???,-1.384 to -0.9062,-1.717 to -1.356,,0.7228 to 1.125,-0.9297 to 0.3148,-0.2561 to 1.240,0.6951 to 1.866,-0.1996 to 1.144,-0.5267 to 0.5984,-0.2362 to 0.8527,0.1888 to 0.7009,2.048 to ???,-0.4299 to -0.05418,1.895 to ???,1.700 to 3.076,-1.134 to -0.8323,1.493 to ???,0.9895 to 1.878,1.314 to 2.438,0.3776 to 1.113,??? to -2.635,-1.731 to -1.271,,,1.770 to ???,1.416 to ???,1.584 to ???,0.3410 to 0.9689,1.493 to ???,0.9894 to 1.878,1.314 to 2.438,0.3776 to 1.113,??? to -2.635,-1.731 to -1.271,,1.824 to 3.007,2.001 to 3.286,,1.647 to 2.011,0.5809 to 1.016
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.7271,-0.1188,0.6902,0.04446,0.7591,0.7440,0.04793,0.6951,0.7692,-0.8194,0.1532,0.8121,0.4390,0.3794,0.6917,0.5139,0.7390,0.5449,-0.01931,0.8000,0.4731,-0.005649,0.5826,0.05952,-0.8752,-0.2568,0.8148,0.8964,-0.8632,0.7749,0.3218,0.3525,0.1901,0.3671,0.5075,0.4663,0.7738,-0.04036,0.8883,-0.1983,-0.4975,0.9215,0.02028,0.2539,0.1044,0.5930,0.9695,0.8389,-0.01587,-0.005355,-0.4358,-0.1682,-0.005815,0.6090,0.02028,0.2539,0.1044,0.5930,0.9695,0.8389,-0.1254,0.2048,-0.1322,-1.231,0.4607,0.7587
