,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,6.973,58.10,9.330,593.4,7.135,6.043,5.467e+051,2.668,1.137,4.998e+035,66.87,0.3803,2.918,7.521,2.357,4.313,3.984,4.496,2.651e+058,0.08444,42.32,6.449e+040,17.15,2.575e+040,3.340e+038,947.4,0.07773,0.04367,336.3,5.761,1.713,3.103,5.319,1.973,1.763,0.9783,2.888,1.568e+053,0.7620,4521,1.035e+042,0.1753,9.425e+037,381.8,41.34,4.511,0.002667,0.01858,9.895e+029,5.535e+034,141.2,54.99,45.27,1.551,9.425e+037,381.8,41.34,4.511,0.002667,0.01858,1786,42.08,3.502e+058,427.1,264.0,4.796
     logIC50,0.8434,1.764,0.9699,2.773,0.8534,0.7813,51.74,0.4262,0.05576,35.70,1.825,-0.4199,0.4651,0.8763,0.3724,0.6347,0.6003,0.6528,58.42,-1.073,1.627,40.81,1.234,40.41,38.52,2.977,-1.109,-1.360,2.527,0.7605,0.2339,0.4918,0.7259,0.2952,0.2463,-0.009506,0.4606,53.20,-0.1181,3.655,42.02,-0.7562,37.97,2.582,1.616,0.6543,-2.574,-1.731,30.00,34.74,2.150,1.740,1.656,0.1905,37.97,2.582,1.616,0.6543,-2.574,-1.731,3.252,1.624,58.54,2.630,2.422,0.6809
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.439 to 22.76,18.66 to +infinity,3.651 to 26.91,45.52 to +infinity,2.765 to 20.27,3.178 to 11.62,-infinity to +infinity,1.318 to 5.386,0.5538 to 2.252,-infinity to +infinity,26.23 to 3202,0.1774 to 0.8053,1.685 to 4.908,4.034 to 14.14,1.529 to 3.602,1.960 to 9.281,2.368 to 6.640,2.427 to 8.164,-infinity to +infinity,0.04004 to 0.1736,25.80 to 81.00,-infinity to +infinity,10.42 to 29.53,-infinity to +infinity,-infinity to +infinity,110.9 to +infinity,0.03950 to 0.1475,0.02471 to 0.07361,61.45 to +infinity,3.482 to 9.468,0.3413 to 6.374,0.8276 to 13.33,1.395 to 16.54,0.5673 to 7.144,0.1712 to 545.1,0.4051 to 2.274,1.610 to 5.122,-infinity to +infinity,0.4181 to 1.387,128.1 to +infinity,-infinity to +infinity,0.1210 to 0.2531,-infinity to +infinity,28.56 to +infinity,16.76 to 224.0,2.068 to 9.570,-infinity to 0.008213,0.01090 to 0.02889,-infinity to +infinity,-infinity to +infinity,33.35 to +infinity,18.38 to +infinity,14.91 to 4354,0.6458 to 3.321,-infinity to +infinity,28.56 to +infinity,16.76 to 224.0,2.068 to 9.570,-infinity to 0.008213,0.01090 to 0.02889,139.5 to +infinity,29.98 to 63.07,-infinity to +infinity,113.3 to +infinity,78.77 to +infinity,2.410 to 9.589
     logIC50,0.3872 to 1.357,1.271 to ???,0.5624 to 1.430,1.658 to ???,0.4417 to 1.307,0.5022 to 1.065,,0.1199 to 0.7313,-0.2566 to 0.3525,,1.419 to 3.505,-0.7512 to -0.09406,0.2266 to 0.6909,0.6057 to 1.150,0.1845 to 0.5566,0.2922 to 0.9676,0.3744 to 0.8222,0.3850 to 0.9119,,-1.397 to -0.7604,1.412 to 1.908,,1.018 to 1.470,,,2.045 to ???,-1.403 to -0.8313,-1.607 to -1.133,1.789 to ???,0.5418 to 0.9763,-0.4669 to 0.8044,-0.08221 to 1.125,0.1446 to 1.219,-0.2462 to 0.8540,-0.7664 to 2.736,-0.3924 to 0.3568,0.2069 to 0.7095,,-0.3787 to 0.1422,2.108 to ???,,-0.9172 to -0.5967,,1.456 to ???,1.224 to 2.350,0.3156 to 0.9809,??? to -2.086,-1.963 to -1.539,,,1.523 to ???,1.264 to ???,1.173 to 3.639,-0.1899 to 0.5213,,1.456 to ???,1.224 to 2.350,0.3156 to 0.9809,??? to -2.086,-1.963 to -1.539,2.145 to ???,1.477 to 1.800,,2.054 to ???,1.896 to ???,0.3820 to 0.9818
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.4562,0.02099,0.4761,-0.002659,0.5051,0.6912,-0.2851,0.7226,0.7167,-0.05097,0.1449,0.7083,0.7895,0.6784,0.8773,0.5840,0.8104,0.7047,-0.06292,0.7360,0.3858,-0.7889,0.6137,-0.5419,-0.5979,-0.1034,0.7595,0.8166,-0.1439,0.7547,0.3792,0.4214,0.1391,0.4920,0.1555,0.5961,0.7604,-0.02930,0.8038,-0.1258,-0.9071,0.9134,-0.01384,-0.08087,-0.1544,0.6162,0.8842,0.8955,-0.01266,-0.01381,-0.2649,-0.01047,-0.3505,0.6526,-0.01384,-0.08087,-0.1544,0.6162,0.8842,0.8955,-0.01408,0.6583,-0.8875,0.02904,0.04733,0.7121
