,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,5.939,1.187e+033,27.09,121.0,8.864,6.392,6.711e+033,3.556,1.753,2.594e+047,167.5,0.6291,4.230,4.978,1.710,3.411,5.394,6.481,4.344e+038,0.01230,129.1,235.2,6.713,57.05,2.646e+041,158.0,0.08357,0.03663,747.9,6.206,3.254,1.914,15.27,0.8917,1.689,0.5788,1.192,161.1,0.8986,5.217e+039,119.0,0.1677,1.683e+042,10.66,12.62,6.610,0.0007381,0.04112,9.584e+035,652.8,6.780e+044,22.78,117.9,2.524,1.683e+042,10.66,12.62,6.610,0.0007381,0.04112,38.91,17.83,2.231e+039,76.09,55.01,1.438
     logIC50,0.7737,33.07,1.433,2.083,0.9476,0.8056,33.83,0.5510,0.2437,47.41,2.224,-0.2013,0.6264,0.6971,0.2330,0.5329,0.7319,0.8116,38.64,-1.910,2.111,2.372,0.8269,1.756,41.42,2.199,-1.078,-1.436,2.874,0.7928,0.5124,0.2820,1.184,-0.04980,0.2277,-0.2374,0.07610,2.207,-0.04645,39.72,2.076,-0.7754,42.23,1.028,1.101,0.8202,-3.132,-1.386,35.98,2.815,44.83,1.358,2.071,0.4021,42.23,1.028,1.101,0.8202,-3.132,-1.386,1.590,1.251,39.35,1.881,1.740,0.1579
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.088 to 18.37,-infinity to +infinity,3.759 to +infinity,21.27 to +infinity,2.491 to 44.98,2.794 to 14.85,-infinity to +infinity,0.7630 to 20.80,0.6437 to 4.969,-infinity to +infinity,16.06 to +infinity,0.2520 to 1.554,2.008 to 8.606,2.206 to 10.99,0.9639 to 3.023,1.451 to 7.903,2.475 to 11.90,2.965 to 14.41,-infinity to +infinity,0.0002572 to 0.03584,28.54 to +infinity,53.18 to +infinity,3.377 to 13.37,21.39 to 2504,-infinity to +infinity,41.83 to +infinity,0.04303 to 0.1590,0.02003 to 0.06273,44.40 to ???,3.170 to 11.90,0.6441 to 11.64,0.6535 to 5.492,4.259 to 81.04,0.4156 to 1.870,0.2849 to 21.46,0.1280 to 1.848,0.5498 to 2.465,32.74 to +infinity,0.4419 to 1.835,-infinity to +infinity,37.12 to +infinity,0.08295 to 0.3387,-infinity to +infinity,2.597 to 39.88,2.959 to 59.93,0.9957 to 40.45,-infinity to 0.001643,0.02212 to 0.07196,-infinity to +infinity,22.80 to ???,-infinity to +infinity,6.971 to 165.1,18.13 to +infinity,0.9423 to 6.567,-infinity to +infinity,2.597 to 39.88,2.959 to 59.93,0.9957 to 40.45,-infinity to 0.001643,0.02212 to 0.07196,14.22 to 305.9,8.752 to 40.09,-infinity to +infinity,24.30 to +infinity,20.16 to 10586,0.8920 to 2.323
     logIC50,0.3197 to 1.264,,0.5751 to ???,1.328 to ???,0.3964 to 1.653,0.4462 to 1.172,,-0.1175 to 1.318,-0.1913 to 0.6963,,1.206 to ???,-0.5987 to 0.1914,0.3027 to 0.9348,0.3435 to 1.041,-0.01597 to 0.4805,0.1618 to 0.8978,0.3936 to 1.076,0.4721 to 1.159,,-3.590 to -1.446,1.455 to ???,1.726 to ???,0.5286 to 1.126,1.330 to 3.399,,1.621 to ???,-1.366 to -0.7985,-1.698 to -1.203,1.647 to ???,0.5011 to 1.075,-0.1910 to 1.066,-0.1847 to 0.7398,0.6293 to 1.909,-0.3814 to 0.2720,-0.5454 to 1.332,-0.8927 to 0.2667,-0.2598 to 0.3919,1.515 to ???,-0.3547 to 0.2635,,1.570 to ???,-1.081 to -0.4702,,0.4144 to 1.601,0.4712 to 1.778,-0.001890 to 1.607,??? to -2.784,-1.655 to -1.143,,1.358 to ???,,0.8433 to 2.218,1.258 to ???,-0.02580 to 0.8174,,0.4144 to 1.601,0.4712 to 1.778,-0.001890 to 1.607,??? to -2.784,-1.655 to -1.143,1.153 to 2.486,0.9421 to 1.603,,1.386 to ???,1.305 to 4.025,-0.04965 to 0.3661
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.4913,-0.5177,-0.08284,-0.05096,0.3008,0.5803,-0.03953,0.3626,0.6047,-0.06371,-0.1312,0.6166,0.6152,0.5618,0.7971,0.5638,0.6114,0.5915,-1.011,0.6316,-0.003005,0.0005797,0.6326,0.1502,-0.1553,-0.1146,0.7584,0.8114,-0.02000,0.5898,0.2916,0.5301,0.2398,0.7084,0.2826,0.3623,0.6843,0.01713,0.7448,-0.004963,0.04368,0.7489,-0.2388,-0.7513,-0.5814,0.2086,0.9946,0.7956,-0.7905,-0.02506,-0.3080,0.1916,-0.04909,0.5677,-0.2388,-0.7513,-0.5814,0.2086,0.9946,0.7956,-0.2869,0.2747,-0.06262,0.02418,0.1585,0.8711
