,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,6.883,40.51,16.44,1.285e+040,6.885,6.305,1495,2.024,1.047,3.952e+052,46.19,0.7729,5.341,8.210,2.620,6.036,6.074,3.588,2.418e+036,0.007661,326.8,6.674e+036,17.19,7590,141.8,264.2,0.1039,0.05019,1.150e+038,10.97,4.479,1.811,19.65,1.413,0.6598,1.488,2.771,1.593e+058,1.083,7.722e+044,1126,0.2659,231.4,108.1,108.3,7.688,0.003249,0.03130,9.352e+057,4.801e+029,7.761e+060,89.36,696.1,1.234,231.4,108.1,108.3,7.688,0.003249,0.03130,446.8,79.19,1.103e+039,1.363e+053,7.258e+045,3.031
     logIC50,0.8378,1.608,1.216,40.11,0.8379,0.7997,3.175,0.3062,0.02012,52.60,1.665,-0.1119,0.7276,0.9144,0.4183,0.7808,0.7835,0.5548,36.38,-2.116,2.514,36.82,1.235,3.880,2.152,2.422,-0.9833,-1.299,38.06,1.040,0.6512,0.2580,1.293,0.1500,-0.1806,0.1726,0.4426,58.20,0.03462,44.89,3.052,-0.5753,2.364,2.034,2.035,0.8858,-2.488,-1.505,57.97,29.68,60.89,1.951,2.843,0.09133,2.364,2.034,2.035,0.8858,-2.488,-1.505,2.650,1.899,39.04,53.13,45.86,0.4817
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.667 to 19.44,21.94 to 96.52,6.126 to 57.08,-infinity to +infinity,2.912 to 17.66,3.184 to 12.78,57.21 to +infinity,1.221 to 3.322,0.5147 to 2.026,-infinity to +infinity,18.50 to 315.1,0.4068 to 1.440,2.875 to 9.921,5.163 to 13.09,1.378 to 4.773,2.850 to 12.82,3.156 to 11.81,2.147 to 5.889,-infinity to +infinity,-infinity to 0.02438,60.90 to +infinity,-infinity to +infinity,10.76 to 28.69,85.54 to ???,45.06 to +infinity,78.56 to +infinity,0.05064 to 0.2124,0.02538 to 0.09405,-infinity to +infinity,6.001 to 20.88,1.982 to 10.47,0.9396 to 3.498,8.481 to 56.74,0.6914 to 2.854,0.2664 to 1.696,0.7712 to 2.863,1.578 to 4.789,-infinity to +infinity,0.6522 to 1.783,-infinity to +infinity,93.23 to +infinity,0.1805 to 0.3913,67.11 to +infinity,31.61 to +infinity,32.75 to +infinity,3.711 to 16.07,0.001053 to 0.005746,0.01909 to 0.04867,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,32.30 to +infinity,83.81 to +infinity,0.5785 to 2.462,67.11 to +infinity,31.61 to +infinity,32.75 to +infinity,3.711 to 16.07,0.001053 to 0.005746,0.01909 to 0.04867,92.42 to +infinity,41.69 to 255.1,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,1.961 to 4.624
     logIC50,0.4260 to 1.289,1.341 to 1.985,0.7872 to 1.757,,0.4642 to 1.247,0.5030 to 1.107,1.757 to ???,0.08668 to 0.5215,-0.2884 to 0.3067,,1.267 to 2.498,-0.3907 to 0.1584,0.4586 to 0.9965,0.7129 to 1.117,0.1392 to 0.6788,0.4548 to 1.108,0.4992 to 1.072,0.3318 to 0.7700,,??? to -1.613,1.785 to ???,,1.032 to 1.458,1.932 to ???,1.654 to ???,1.895 to ???,-1.296 to -0.6728,-1.596 to -1.027,,0.7783 to 1.320,0.2970 to 1.020,-0.02706 to 0.5438,0.9284 to 1.754,-0.1602 to 0.4554,-0.5744 to 0.2294,-0.1129 to 0.4568,0.1982 to 0.6802,,-0.1856 to 0.2511,,1.970 to ???,-0.7436 to -0.4075,1.827 to ???,1.500 to ???,1.515 to ???,0.5695 to 1.206,-2.978 to -2.241,-1.719 to -1.313,,,,1.509 to ???,1.923 to ???,-0.2377 to 0.3913,1.827 to ???,1.500 to ???,1.515 to ???,0.5695 to 1.206,-2.978 to -2.241,-1.719 to -1.313,1.966 to ???,1.620 to 2.407,,,,0.2924 to 0.6650
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.5108,0.4070,0.3656,-0.06285,0.5499,0.6692,-0.2284,0.8131,0.7264,-0.06500,0.09102,0.7843,0.7141,0.7717,0.7512,0.5747,0.6914,0.7856,-0.02437,0.6605,-0.05369,-0.04419,0.5918,-0.02218,-0.3978,-0.1329,0.7273,0.7526,-0.3871,0.6661,0.6309,0.7398,0.2819,0.7404,0.6617,0.7400,0.7785,-0.3219,0.8509,-0.1402,-0.03813,0.9121,-0.05379,0.04847,-0.5351,0.6112,0.9717,0.8706,-0.02930,-0.0001084,-0.04870,0.02310,-0.1548,0.6850,-0.05379,0.04847,-0.5351,0.6112,0.9717,0.8706,-0.4143,0.2798,-0.08340,-0.03053,-0.003203,0.8338
