,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,8.872,13.22,15.50,8.496e+037,6.636,6.838,9.224e+033,1.776,1.109,162.7,7.951e+037,1.303,4.268,8.232,2.059,6.215,6.604,3.022,65.18,0.006905,1.852e+032,6.879e+048,20.53,4.457e+032,2.357e+032,47.18,0.07372,0.04150,7.072e+032,7.276,3.784,0.8280,16.13,1.108,1.511,0.5693,9.705,2.178e+047,1.439,1.736e+057,179.7,0.2594,7.540e+039,1.878e+037,33.63,3.656,0.004436,0.02377,1.191e+043,185.3,45.67,14.91,123.2,0.5233,7.540e+039,1.878e+037,33.63,3.656,0.004436,0.02377,89.28,39.52,19.66,172.1,286.4,1.507
     logIC50,0.9480,1.121,1.190,37.93,0.8219,0.8349,33.96,0.2494,0.04499,2.211,37.90,0.1151,0.6302,0.9155,0.3138,0.7934,0.8198,0.4803,1.814,-2.161,32.27,48.84,1.312,32.65,32.37,1.674,-1.132,-1.382,32.85,0.8619,0.5779,-0.08198,1.208,0.04457,0.1792,-0.2447,0.9870,47.34,0.1579,57.24,2.254,-0.5861,39.88,37.27,1.527,0.5630,-2.353,-1.624,43.08,2.268,1.660,1.174,2.091,-0.2813,39.88,37.27,1.527,0.5630,-2.353,-1.624,1.951,1.597,1.294,2.236,2.457,0.1781
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.604 to 41.50,6.152 to 29.47,5.615 to 56.50,-infinity to +infinity,2.642 to 17.97,3.228 to 14.96,-infinity to +infinity,0.8798 to 3.549,0.4271 to 2.706,26.55 to +infinity,-infinity to +infinity,0.5271 to 3.039,2.238 to 8.132,4.294 to 16.03,1.132 to 3.671,2.698 to 14.54,2.952 to 15.43,1.399 to 6.184,21.42 to +infinity,0.0006273 to 0.01600,-infinity to +infinity,-infinity to +infinity,9.738 to 51.69,-infinity to +infinity,-infinity to +infinity,18.85 to 312.6,0.03727 to 0.1406,0.02006 to 0.07910,-infinity to +infinity,3.507 to 14.91,1.227 to 12.86,0.2916 to 2.104,3.013 to +infinity,0.3883 to 3.021,0.3017 to 12.11,0.1519 to 1.667,1.677 to 1452,-infinity to +infinity,0.8001 to 2.576,-infinity to +infinity,51.56 to +infinity,0.1364 to 0.4960,-infinity to +infinity,-infinity to +infinity,11.57 to 271.4,1.530 to 8.191,0.002146 to 0.007037,0.01289 to 0.03966,-infinity to +infinity,27.12 to +infinity,16.01 to 874.6,4.770 to 57.53,36.01 to +infinity,0.1189 to 1.950,-infinity to +infinity,-infinity to +infinity,11.57 to 271.4,1.530 to 8.191,0.002146 to 0.007037,0.01289 to 0.03966,23.74 to +infinity,19.60 to 114.2,7.048 to 66.92,46.39 to +infinity,55.80 to +infinity,0.4345 to 4.172
     logIC50,0.4156 to 1.618,0.7890 to 1.469,0.7494 to 1.752,,0.4219 to 1.255,0.5089 to 1.175,,-0.05560 to 0.5501,-0.3695 to 0.4323,1.424 to ???,,-0.2781 to 0.4827,0.3498 to 0.9102,0.6329 to 1.205,0.05371 to 0.5648,0.4310 to 1.163,0.4701 to 1.188,0.1457 to 0.7913,1.331 to ???,-3.203 to -1.796,,,0.9885 to 1.713,,,1.275 to 2.495,-1.429 to -0.8519,-1.698 to -1.102,,0.5450 to 1.173,0.08891 to 1.109,-0.5352 to 0.3230,0.4790 to ???,-0.4108 to 0.4801,-0.5204 to 1.083,-0.8186 to 0.2218,0.2246 to 3.162,,-0.09686 to 0.4110,,1.712 to ???,-0.8651 to -0.3045,,,1.063 to 2.434,0.1846 to 0.9133,-2.668 to -2.153,-1.890 to -1.402,,1.433 to ???,1.205 to 2.942,0.6785 to 1.760,1.556 to ???,-0.9247 to 0.2901,,,1.063 to 2.434,0.1846 to 0.9133,-2.668 to -2.153,-1.890 to -1.402,1.375 to ???,1.292 to 2.058,0.8481 to 1.826,1.666 to ???,1.747 to ???,-0.3620 to 0.6203
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.3313,0.1371,0.3541,-0.004284,0.5177,0.5976,-0.01132,0.7093,0.6266,0.01777,-0.01400,0.6076,0.7222,0.6185,0.7895,0.5367,0.5883,0.6343,-0.3713,0.8165,-0.04529,-0.02823,0.4278,-0.8021,-0.001223,-0.8049,0.7447,0.7442,-0.2512,0.5069,0.5127,0.5718,0.1189,0.5882,0.3465,0.4346,0.08344,-0.3574,0.8087,-0.1714,-0.1332,0.7884,-0.05197,-0.5696,-0.03214,0.5602,0.9726,0.8459,-0.01360,-0.0004717,-0.9420,0.1684,0.05718,0.4462,-0.05197,-0.5696,-0.03214,0.5602,0.9726,0.8459,-0.8567,0.1289,-0.4722,-0.007375,-0.003999,0.2680
