,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,4.075,7.290e+035,6.370,118.1,4.801,4.589,1.517e+038,2.214,1.707,834.3,18.45,0.7097,4.489,5.995,2.528,3.619,3.797,4.376,5.336e+033,0.5756,127.7,1.439e+055,48.29,2.608e+057,315.7,4304,0.07015,0.03406,2.915e+034,9.997,3.412,1.514,20.88,0.9472,0.8748,0.8012,2.879,142.3,0.7682,432.8,232.0,0.1488,1452,62.31,29.51,7.384,0.002242,0.04188,5.573e+059,165.7,1660,17.99,32.08,2.700,1452,62.31,29.51,7.384,0.002242,0.04188,367.8,137.9,1.487e+048,8.530e+040,90.00,6.642
     logIC50,0.6101,35.86,0.8042,2.072,0.6814,0.6617,38.18,0.3452,0.2322,2.921,1.266,-0.1489,0.6522,0.7778,0.4027,0.5586,0.5794,0.6410,33.73,-0.2399,2.106,55.16,1.684,57.42,2.499,3.634,-1.154,-1.468,34.46,0.9999,0.5331,0.1802,1.320,-0.02357,-0.05811,-0.09627,0.4592,2.153,-0.1145,2.636,2.366,-0.8273,3.162,1.795,1.470,0.8683,-2.649,-1.378,59.75,2.219,3.220,1.255,1.506,0.4314,3.162,1.795,1.470,0.8683,-2.649,-1.378,2.566,2.140,48.17,40.93,1.954,0.8223
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.440 to 6.690,-infinity to +infinity,3.992 to 10.17,52.66 to 2385,2.948 to 7.781,2.843 to 7.362,-infinity to +infinity,1.074 to 4.628,0.8177 to 3.629,45.80 to ???,8.399 to 45.64,0.3624 to 1.349,2.617 to 7.610,3.639 to 9.847,1.651 to 3.860,1.739 to 7.314,2.485 to 5.764,2.676 to 7.074,-infinity to +infinity,0.2809 to 1.150,76.84 to 299.1,-infinity to +infinity,28.65 to 99.67,-infinity to +infinity,136.7 to +infinity,260.5 to +infinity,0.04091 to 0.1175,0.02070 to 0.05335,-infinity to +infinity,6.034 to 16.91,1.651 to 6.867,0.8724 to 2.622,10.40 to 48.66,0.5659 to 1.572,0.3278 to 2.507,0.4008 to 1.542,1.596 to 5.163,54.97 to +infinity,0.4476 to 1.313,96.56 to +infinity,83.23 to +infinity,0.1052 to 0.2098,72.45 to ???,23.54 to 7326,15.15 to 70.37,3.902 to 13.97,-infinity to 0.005038,0.02400 to 0.06966,-infinity to +infinity,41.04 to +infinity,66.63 to +infinity,7.712 to 48.14,13.22 to 124.3,1.296 to 5.327,72.45 to ???,23.54 to 7326,15.15 to 70.37,3.902 to 13.97,-infinity to 0.005038,0.02400 to 0.06966,126.5 to +infinity,62.75 to 2809,-infinity to +infinity,-infinity to +infinity,62.30 to 147.8,4.106 to 10.75
     logIC50,0.3874 to 0.8255,,0.6012 to 1.007,1.721 to 3.377,0.4695 to 0.8910,0.4538 to 0.8670,,0.03113 to 0.6654,-0.08741 to 0.5598,1.661 to ???,0.9242 to 1.659,-0.4408 to 0.1299,0.4179 to 0.8814,0.5610 to 0.9933,0.2176 to 0.5866,0.2403 to 0.8641,0.3953 to 0.7607,0.4274 to 0.8496,,-0.5515 to 0.06082,1.886 to 2.476,,1.457 to 1.999,,2.136 to ???,2.416 to ???,-1.388 to -0.9301,-1.684 to -1.273,,0.7806 to 1.228,0.2177 to 0.8367,-0.05928 to 0.4187,1.017 to 1.687,-0.2473 to 0.1965,-0.4844 to 0.3992,-0.3970 to 0.1880,0.2030 to 0.7129,1.740 to ???,-0.3491 to 0.1184,1.985 to ???,1.920 to ???,-0.9779 to -0.6781,1.860 to ???,1.372 to 3.865,1.181 to 1.847,0.5913 to 1.145,??? to -2.298,-1.620 to -1.157,,1.613 to ???,1.824 to ???,0.8872 to 1.683,1.121 to 2.095,0.1126 to 0.7265,1.860 to ???,1.372 to 3.865,1.181 to 1.847,0.5913 to 1.145,??? to -2.298,-1.620 to -1.157,2.102 to ???,1.798 to 3.449,,,1.794 to 2.170,0.6134 to 1.031
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.7836,-0.09286,0.7865,0.1055,0.8046,0.8040,-0.6864,0.7400,0.7186,-0.1588,0.1049,0.7542,0.7764,0.7640,0.8638,0.6180,0.8551,0.8037,-0.3589,0.7128,0.2644,-0.04998,0.4679,-0.02461,0.05755,0.0007289,0.8283,0.8640,-1.193,0.7356,0.6781,0.8168,0.4197,0.8392,0.5968,0.7433,0.7721,-0.2149,0.8394,-0.005657,0.04560,0.9246,-0.003067,0.1290,0.005969,0.6414,0.9618,0.8251,-0.03473,0.01574,-0.1115,-0.3501,-0.5924,0.6709,-0.003067,0.1290,0.005969,0.6414,0.9618,0.8251,0.04441,0.1669,-0.0009513,-0.2419,0.4636,0.7977
