,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,9.893,92.47,12.41,1.090e+038,6.437,6.826,2.261e+032,2.848,0.8497,4.705e+033,170.7,0.3757,4.236,9.477,1.796,5.358,4.828,6.028,22.24,0.004309,2.948e+032,1.193e+044,15.51,212.4,8.585e+048,260.5,0.08381,0.02648,1.263e+042,4.168,9.504,1.006,2.330,0.5236,2.521,1.721,3.363,26.32,0.6709,114.2,64.31,0.2235,9.543e+057,59.03,113.6,6.165,0.003251,0.02595,1.154e+046,130.3,32.16,4.247e+043,2.748e+034,0.5403,9.543e+057,59.03,113.6,6.165,0.003251,0.02595,1700,72.03,98.80,459.1,4.868e+033,2.032
     logIC50,0.9953,1.966,1.094,38.04,0.8087,0.8342,32.35,0.4545,-0.07074,33.67,2.232,-0.4252,0.6270,0.9766,0.2544,0.7290,0.6838,0.7801,1.347,-2.366,32.47,44.08,1.191,2.327,48.93,2.416,-1.077,-1.577,42.10,0.6200,0.9779,0.002502,0.3673,-0.2810,0.4016,0.2359,0.5268,1.420,-0.1733,2.058,1.808,-0.6508,57.98,1.771,2.055,0.7899,-2.488,-1.586,46.06,2.115,1.507,43.63,34.44,-0.2674,57.98,1.771,2.055,0.7899,-2.488,-1.586,3.230,1.858,1.995,2.662,33.69,0.3080
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.224 to 99.55,29.92 to +infinity,2.173 to +infinity,-infinity to +infinity,3.161 to 13.38,3.222 to 14.89,-infinity to +infinity,1.132 to 7.423,0.3435 to 2.074,-infinity to +infinity,28.17 to +infinity,0.1837 to 0.7648,2.297 to 7.618,4.623 to 20.44,0.9290 to 3.427,2.319 to 12.44,2.687 to 8.674,3.183 to 11.53,9.499 to 65.28,??? to 0.02901,-infinity to +infinity,-infinity to +infinity,6.116 to 48.14,26.71 to +infinity,-infinity to +infinity,35.36 to +infinity,0.03608 to 0.1844,0.01487 to 0.04344,-infinity to +infinity,1.772 to 9.062,1.503 to 335.0,0.5080 to 1.907,0.5274 to 8.136,0.1943 to 1.331,0.1594 to +infinity,0.5563 to 5.874,1.580 to 7.233,10.64 to 93.68,0.3080 to 1.478,27.30 to +infinity,25.86 to 1057,0.1343 to 0.3725,-infinity to +infinity,10.75 to +infinity,21.25 to +infinity,2.320 to 16.35,-infinity to 0.009719,0.01639 to 0.03891,-infinity to +infinity,22.26 to +infinity,8.105 to +infinity,-infinity to +infinity,-infinity to +infinity,0.2302 to 1.253,-infinity to +infinity,10.75 to +infinity,21.25 to +infinity,2.320 to 16.35,-infinity to 0.009719,0.01639 to 0.03891,65.90 to +infinity,24.74 to +infinity,32.83 to +infinity,56.01 to +infinity,-infinity to +infinity,0.9825 to 4.160
     logIC50,0.3471 to 1.998,1.476 to ???,0.3371 to ???,,0.4998 to 1.126,0.5081 to 1.173,,0.05398 to 0.8706,-0.4641 to 0.3169,,1.450 to ???,-0.7358 to -0.1165,0.3612 to 0.8819,0.6650 to 1.311,-0.03201 to 0.5349,0.3654 to 1.095,0.4293 to 0.9382,0.5029 to 1.062,0.9777 to 1.815,??? to -1.537,,,0.7865 to 1.682,1.427 to ???,,1.548 to ???,-1.443 to -0.7342,-1.828 to -1.362,,0.2484 to 0.9572,0.1770 to 2.525,-0.2941 to 0.2804,-0.2779 to 0.9104,-0.7116 to 0.1241,-0.7975 to ???,-0.2547 to 0.7689,0.1987 to 0.8593,1.027 to 1.972,-0.5115 to 0.1697,1.436 to ???,1.413 to 3.024,-0.8720 to -0.4289,,1.031 to ???,1.327 to ???,0.3656 to 1.214,??? to -2.012,-1.785 to -1.410,,1.347 to ???,0.9088 to ???,,,-0.6380 to 0.09801,,1.031 to ???,1.327 to ???,0.3656 to 1.214,??? to -2.012,-1.785 to -1.410,1.819 to ???,1.393 to ???,1.516 to ???,1.748 to ???,,-0.007681 to 0.6191
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.2024,0.003169,0.04121,-0.006456,0.6254,0.6185,-0.01919,0.6095,0.6527,-0.06790,-0.06150,0.7422,0.7117,0.6101,0.7614,0.5716,0.7493,0.6849,-0.2072,0.4659,-0.4028,-1.045,0.3702,-0.02633,-0.04878,-0.2637,0.6765,0.8492,-0.004317,0.4562,0.1723,0.7673,0.3341,0.5953,0.05513,0.4988,0.6814,-0.1413,0.7349,0.02528,0.1713,0.8580,-0.3805,0.02297,-0.2292,0.4689,0.8608,0.8961,-0.001062,-0.1314,-0.2286,-0.2527,-0.005274,0.7181,-0.3805,0.02297,-0.2292,0.4689,0.8608,0.8961,-0.2054,0.08302,0.06929,-0.08853,-0.06125,0.6827
