,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.796,9.600e+036,7.721,5.882e+034,4.630,2.165,4.953e+035,1.891,1.257,165.1,35.39,1.097,6.659,9.381,5.656,4.126,3.772,3.566,3.645e+042,0.06204,30.25,2.095e+063,14.60,256.9,64.77,186.6,0.08409,0.05261,1.463e+047,11.92,5.576,2.087,19.05,1.996,0.7429,2.094,2.351,24.92,0.7183,123.3,111.9,0.1485,156.3,49.21,55.92,6.484,0.003925,0.03910,7.170e+052,135.9,123.5,20.06,115.4,1.063,156.3,49.20,55.92,6.484,0.003925,0.03910,224.8,41.06,2.624e+041,5.386e+047,26.49,1.298
     logIC50,0.2544,36.98,0.8877,34.77,0.6656,0.3354,35.69,0.2767,0.09917,2.218,1.549,0.04024,0.8234,0.9723,0.7525,0.6156,0.5765,0.5521,42.56,-1.207,1.481,63.32,1.164,2.410,1.811,2.271,-1.075,-1.279,47.17,1.076,0.7463,0.3194,1.280,0.3002,-0.1291,0.3209,0.3713,1.397,-0.1437,2.091,2.049,-0.8282,2.194,1.692,1.748,0.8119,-2.406,-1.408,52.86,2.133,2.092,1.302,2.062,0.02663,2.194,1.692,1.748,0.8118,-2.406,-1.408,2.352,1.613,41.42,47.73,1.423,0.1131
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,0.5440 to 4.545,-infinity to +infinity,3.379 to 17.84,-infinity to +infinity,2.390 to 8.747,1.069 to 4.088,-infinity to +infinity,1.342 to 2.650,0.6732 to 2.303,39.85 to +infinity,18.78 to 83.79,0.6833 to 1.734,3.204 to 13.96,5.830 to 15.29,2.407 to 14.08,1.923 to 8.550,2.298 to 6.080,2.190 to 5.702,-infinity to +infinity,0.02972 to 0.1250,19.42 to 51.23,-infinity to +infinity,8.816 to 24.98,61.48 to +infinity,23.85 to +infinity,47.88 to +infinity,0.05185 to 0.1349,0.02504 to 0.1042,-infinity to +infinity,5.991 to 25.63,3.456 to 8.995,0.9597 to 4.708,9.095 to 46.08,1.160 to 3.366,0.3419 to 1.659,0.9917 to 4.552,1.203 to 4.488,12.70 to 57.40,0.4082 to 1.256,32.87 to +infinity,34.14 to +infinity,0.09619 to 0.2279,38.49 to +infinity,21.92 to 216.4,23.71 to 352.9,3.425 to 12.17,0.002944 to 0.004959,0.02370 to 0.06184,-infinity to +infinity,30.83 to +infinity,31.61 to +infinity,8.069 to 60.55,31.99 to +infinity,0.5110 to 2.080,38.49 to +infinity,21.92 to 216.4,23.71 to 352.9,3.425 to 12.17,0.002944 to 0.004959,0.02370 to 0.06184,77.77 to +infinity,20.15 to 123.7,-infinity to +infinity,-infinity to +infinity,16.39 to 46.60,0.5547 to 2.771
     logIC50,-0.2644 to 0.6575,,0.5288 to 1.251,,0.3783 to 0.9418,0.02884 to 0.6115,,0.1278 to 0.4233,-0.1719 to 0.3623,1.600 to ???,1.274 to 1.923,-0.1654 to 0.2389,0.5057 to 1.145,0.7657 to 1.184,0.3815 to 1.149,0.2839 to 0.9320,0.3613 to 0.7839,0.3405 to 0.7560,,-1.527 to -0.9031,1.288 to 1.709,,0.9452 to 1.398,1.789 to ???,1.377 to ???,1.680 to ???,-1.285 to -0.8701,-1.601 to -0.9821,,0.7775 to 1.409,0.5386 to 0.9540,-0.01787 to 0.6729,0.9588 to 1.664,0.06448 to 0.5271,-0.4661 to 0.2198,-0.003633 to 0.6582,0.08032 to 0.6520,1.104 to 1.759,-0.3891 to 0.09912,1.517 to ???,1.533 to ???,-1.017 to -0.6422,1.585 to ???,1.341 to 2.335,1.375 to 2.548,0.5346 to 1.085,-2.531 to -2.305,-1.625 to -1.209,,1.489 to ???,1.500 to ???,0.9068 to 1.782,1.505 to ???,-0.2916 to 0.3180,1.585 to ???,1.341 to 2.335,1.375 to 2.548,0.5346 to 1.085,-2.531 to -2.305,-1.625 to -1.209,1.891 to ???,1.304 to 2.092,,,1.215 to 1.668,-0.2559 to 0.4426
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.4291,-0.3007,0.4297,-0.05417,0.6363,0.7122,-0.1467,0.9154,0.7804,-0.2822,0.3640,0.8675,0.5946,0.7555,0.5358,0.5678,0.8112,0.8126,-0.08339,0.7512,0.4100,-0.02049,0.5625,-0.1162,0.03134,0.03825,0.8525,0.7197,-0.6350,0.5828,0.8007,0.6861,0.3508,0.8177,0.7190,0.6824,0.7279,0.1884,0.8243,-0.1354,0.01799,0.8900,-0.1297,0.1139,-0.01626,0.6661,0.9950,0.8550,-0.05356,-0.1991,-0.7972,-0.5024,-0.2265,0.7206,-0.1297,0.1139,-0.01626,0.6661,0.9950,0.8550,-0.1872,0.3191,-0.7796,-0.001702,0.3406,0.5980
