,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,3.136,48.75,8.171,5.263e+061,5.532,1.873,4.900e+039,1.504,0.8538,2764,17.31,0.6918,8.495,9.000,7.895,4.983,5.126,4.819,1.119e+048,0.06981,39.44,2.337e+036,12.63,163.9,47.44,306.6,0.08483,0.04537,1.215e+057,10.78,2.107,1.765,2.471e+044,1.987,0.8615,1.390,2.141,24.88,0.7845,6.027e+041,46.99,0.2157,89.25,19.74,19.65,4.029,0.001602,0.03287,5.613e+050,8001329711141,91.69,23.86,65.11,2.694,89.25,19.73,19.65,4.029,0.001602,0.03287,125.1,55.20,3.347e+031,41.83,40.49,1.060
     logIC50,0.4964,1.688,0.9123,61.72,0.7429,0.2726,39.69,0.1772,-0.06866,3.442,1.238,-0.1600,0.9292,0.9542,0.8974,0.6975,0.7098,0.6830,48.05,-1.156,1.596,36.37,1.101,2.215,1.676,2.487,-1.071,-1.343,57.08,1.033,0.3237,0.2467,44.39,0.2983,-0.06474,0.1430,0.3306,1.396,-0.1054,41.78,1.672,-0.6661,1.951,1.295,1.293,0.6052,-2.795,-1.483,50.75,12.90,1.962,1.378,1.814,0.4303,1.951,1.295,1.293,0.6052,-2.795,-1.483,2.097,1.742,31.52,1.622,1.607,0.02536
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.273 to 6.843,9.883 to +infinity,3.707 to 18.38,-infinity to +infinity,2.234 to 13.14,0.4701 to 5.104,-infinity to +infinity,0.9024 to 2.497,0.3902 to 1.822,50.92 to +infinity,8.686 to 37.50,0.3140 to 1.439,3.602 to 21.68,4.204 to 19.95,1.851 to 62.00,2.048 to 12.03,2.481 to 10.38,2.576 to 9.064,-infinity to +infinity,0.03759 to 0.1256,16.88 to 174.0,-infinity to +infinity,6.610 to 25.04,44.51 to +infinity,21.04 to 205.4,73.97 to +infinity,0.04445 to 0.1597,0.02411 to 0.08081,-infinity to +infinity,5.448 to 22.58,0.8267 to 4.999,0.7091 to 4.619,-infinity to +infinity,0.7711 to 5.298,0.3332 to 2.379,0.6200 to 3.078,1.130 to 3.981,11.11 to 73.72,0.4564 to 1.335,-infinity to +infinity,20.68 to 221.5,0.1150 to 0.3991,19.27 to +infinity,5.667 to 116.0,7.408 to 65.72,1.745 to 8.797,-infinity to 0.003604,0.01928 to 0.05288,-infinity to +infinity,-infinity to +infinity,21.24 to +infinity,7.621 to 138.7,19.65 to +infinity,1.203 to 5.634,19.27 to +infinity,5.666 to 116.0,7.408 to 65.71,1.745 to 8.796,-infinity to 0.003604,0.01928 to 0.05288,41.89 to +infinity,23.43 to 369.8,-infinity to +infinity,17.33 to 199.0,23.00 to 88.12,0.4908 to 2.178
     logIC50,0.1049 to 0.8352,0.9949 to ???,0.5690 to 1.264,,0.3490 to 1.118,-0.3278 to 0.7079,,-0.04460 to 0.3974,-0.4087 to 0.2606,1.707 to ???,0.9388 to 1.574,-0.5030 to 0.1580,0.5566 to 1.336,0.6237 to 1.300,0.2675 to 1.792,0.3113 to 1.080,0.3947 to 1.016,0.4110 to 0.9573,,-1.425 to -0.9011,1.227 to 2.240,,0.8202 to 1.399,1.648 to ???,1.323 to 2.313,1.869 to ???,-1.352 to -0.7966,-1.618 to -1.093,,0.7363 to 1.354,-0.08263 to 0.6989,-0.1493 to 0.6645,,-0.1129 to 0.7241,-0.4772 to 0.3764,-0.2076 to 0.4882,0.05325 to 0.6000,1.046 to 1.868,-0.3406 to 0.1255,,1.315 to 2.345,-0.9392 to -0.3989,1.285 to ???,0.7533 to 2.065,0.8697 to 1.818,0.2418 to 0.9443,??? to -2.443,-1.715 to -1.277,,,1.327 to ???,0.8820 to 2.142,1.293 to ???,0.08043 to 0.7508,1.285 to ???,0.7533 to 2.065,0.8697 to 1.818,0.2418 to 0.9443,??? to -2.443,-1.715 to -1.277,1.622 to ???,1.370 to 2.568,,1.239 to 2.299,1.362 to 1.945,-0.3091 to 0.3381
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.4931,-1.444,0.4968,-0.001170,0.4047,0.3898,-0.04266,0.8424,0.7000,-0.02067,0.4064,0.6996,0.4878,0.5507,0.2469,0.5076,0.6298,0.7226,-0.1669,0.8076,0.2569,-0.07453,0.4279,-0.4367,0.1475,-0.01850,0.7616,0.7835,-0.4660,0.5936,0.4691,0.6255,-0.5377,0.6205,0.6138,0.6528,0.7527,0.3260,0.8381,-0.03956,0.2325,0.7993,-0.06222,0.1916,0.2121,0.6027,0.9779,0.8507,-0.1243,-0.004849,-0.6933,-0.1292,-0.04623,0.6275,-0.06222,0.1916,0.2121,0.6027,0.9779,0.8507,0.01358,0.2147,-0.09002,-0.4348,0.4270,0.6755
