,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,0.9643,2.626e+030,9.054,1.252e+053,4.259,0.5286,9.795e+040,1.758,0.9739,3.487e+035,43.83,0.7449,7.655,5.930,7.180,3.918,3.253,4.313,3.112e+060,0.07537,28.40,1535,11.05,339.6,33.82,266.6,0.04216,0.04656,1.545e+034,11.27,2.945,1.079,23.58,1.789,1.634,0.7909,1.896,20.19,0.4773,72.56,61.23,0.07023,63.00,53.77,14.80,5.328,0.0009431,0.04416,1.788e+060,84.24,46.35,5.295,48.75,0.4273,63.00,53.77,14.80,5.328,0.0009431,0.04416,1.719e+058,33.64,2.269e+036,175.2,17.29,0.7542
     logIC50,-0.01579,30.42,0.9569,53.10,0.6293,-0.2768,40.99,0.2450,-0.01151,35.54,1.642,-0.1279,0.8839,0.7731,0.8561,0.5930,0.5122,0.6348,60.49,-1.123,1.453,3.186,1.043,2.531,1.529,2.426,-1.375,-1.332,34.19,1.052,0.4690,0.03303,1.373,0.2525,0.2134,-0.1019,0.2779,1.305,-0.3212,1.861,1.787,-1.154,1.799,1.731,1.170,0.7266,-3.025,-1.355,60.25,1.925,1.666,0.7239,1.688,-0.3693,1.799,1.731,1.170,0.7266,-3.025,-1.355,58.24,1.527,36.36,2.244,1.238,-0.1225
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,0.1922 to 3.309,-infinity to +infinity,3.399 to 25.35,-infinity to +infinity,2.331 to 7.644,0.1595 to 1.592,-infinity to +infinity,0.7638 to 3.972,0.4588 to 2.041,-infinity to +infinity,15.97 to 496.3,0.2781 to 1.802,2.819 to 21.85,3.002 to 11.59,2.522 to 23.33,1.678 to 8.791,2.078 to 5.045,2.231 to 8.091,-infinity to +infinity,0.03768 to 0.1454,14.34 to 69.18,64.72 to +infinity,5.985 to 20.79,54.24 to +infinity,14.13 to 136.1,38.58 to +infinity,0.02663 to 0.06454,0.02001 to 0.09858,-infinity to +infinity,4.676 to 31.73,1.446 to 5.710,0.4826 to 2.282,7.591 to 138.0,0.6999 to 4.668,0.2383 to 28.00,0.2983 to 2.026,0.7657 to 4.480,6.271 to 95.79,0.2192 to 1.020,17.11 to +infinity,17.35 to +infinity,0.04053 to 0.1190,16.18 to +infinity,15.83 to +infinity,5.584 to 42.55,2.429 to 11.29,-infinity to 0.002400,0.02348 to 0.07844,-infinity to +infinity,14.79 to +infinity,9.889 to +infinity,0.6954 to 22.91,10.28 to +infinity,0.1220 to 1.331,16.18 to +infinity,15.83 to +infinity,5.584 to 42.55,2.429 to 11.29,-infinity to 0.002400,0.02348 to 0.07844,-infinity to +infinity,12.51 to 214.0,-infinity to +infinity,52.11 to +infinity,10.01 to 31.83,0.3178 to 1.692
     logIC50,-0.7163 to 0.5196,,0.5314 to 1.404,,0.3676 to 0.8833,-0.7971 to 0.2020,,-0.1170 to 0.5990,-0.3384 to 0.3099,,1.203 to 2.696,-0.5558 to 0.2558,0.4501 to 1.339,0.4774 to 1.064,0.4018 to 1.368,0.2248 to 0.9440,0.3177 to 0.7028,0.3484 to 0.9080,,-1.424 to -0.8375,1.157 to 1.840,1.811 to ???,0.7771 to 1.318,1.734 to ???,1.150 to 2.134,1.586 to ???,-1.575 to -1.190,-1.699 to -1.006,,0.6698 to 1.501,0.1601 to 0.7566,-0.3164 to 0.3584,0.8803 to 2.140,-0.1550 to 0.6692,-0.6228 to 1.447,-0.5253 to 0.3066,-0.1159 to 0.6513,0.7973 to 1.981,-0.6591 to 0.008736,1.233 to ???,1.239 to ???,-1.392 to -0.9246,1.209 to ???,1.200 to ???,0.7469 to 1.629,0.3854 to 1.053,??? to -2.620,-1.629 to -1.105,,1.170 to ???,0.9952 to ???,-0.1578 to 1.360,1.012 to ???,-0.9135 to 0.1243,1.209 to ???,1.200 to ???,0.7469 to 1.629,0.3854 to 1.053,??? to -2.620,-1.629 to -1.105,,1.097 to 2.330,,1.717 to ???,1.000 to 1.503,-0.4979 to 0.2284
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.3497,-0.4029,0.3237,-0.001421,0.7034,0.5141,-0.3053,0.6704,0.7200,-0.01815,0.1437,0.6074,0.4080,0.6039,0.4020,0.5138,0.8538,0.6896,-0.1411,0.7591,-0.1037,-0.1503,0.5500,-0.02562,0.03465,-0.001176,0.8781,0.6801,-0.9246,0.4626,0.6785,0.7075,0.1305,0.6261,0.2545,0.5699,0.5983,-0.1431,0.7161,-0.1588,0.03171,0.8259,-0.1435,0.09745,-0.09121,0.5881,0.9869,0.7855,-0.08326,-0.1788,-0.2376,-0.5321,-0.3876,0.5301,-0.1435,0.09744,-0.09121,0.5881,0.9869,0.7855,-0.7119,0.2245,-0.4041,0.05085,0.4331,0.6558
