,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,6.185,5.443e+032,22.37,1.375e+059,6.851,4.315,1.174e+048,2.816,0.8826,1.677e+035,31.41,0.2630,8.271,4.533,2.962,4.908,3.955,4.261,8.684e+035,0.01469,28.35,9.918e+030,3.509,154.2,20.57,441.8,0.03621,0.01001,9.915e+046,6.448,1.802,0.8198,12.12,1.324,1.702,0.9673,1.217,10.25,0.4138,51.34,33.61,0.05671,154.5,10.64,7.663,4.366,0.0002902,0.03783,67.81,2.468e+033,20.65,29.72,1403,0.1204,154.5,10.64,7.663,4.365,0.0002902,0.03783,230.2,19.59,4.338e+058,3.642e+033,16.26,0.07558
     logIC50,0.7914,32.74,1.350,59.14,0.8357,0.6350,48.07,0.4496,-0.05425,35.22,1.497,-0.5800,0.9176,0.6564,0.4716,0.6909,0.5971,0.6295,35.94,-1.833,1.453,31.00,0.5452,2.188,1.313,2.645,-1.441,-2.000,47.00,0.8094,0.2557,-0.08628,1.084,0.1219,0.2309,-0.01444,0.08533,1.011,-0.3833,1.710,1.526,-1.246,2.189,1.027,0.8844,0.6401,-3.537,-1.422,1.831,33.39,1.315,1.473,3.147,-0.9194,2.189,1.027,0.8844,0.6400,-3.537,-1.422,2.362,1.292,58.64,33.56,1.211,-1.122
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.148 to 18.88,-infinity to +infinity,3.776 to +infinity,-infinity to +infinity,2.777 to 18.73,1.965 to 9.284,-infinity to +infinity,0.9061 to 9.537,0.2653 to 2.824,-infinity to +infinity,6.841 to +infinity,0.1054 to 0.6495,2.738 to 27.62,2.488 to 8.121,1.043 to 8.024,1.628 to 14.20,1.835 to 8.443,1.537 to 10.55,-infinity to +infinity,-infinity to 0.05733,11.74 to 102.3,-infinity to +infinity,1.349 to 8.510,31.14 to +infinity,6.313 to 113.9,27.68 to +infinity,0.01977 to 0.06196,0.004190 to 0.01778,-infinity to +infinity,2.858 to 14.85,0.3529 to 6.309,0.2205 to 2.680,3.205 to 61.76,0.1457 to 6.748,0.1787 to 78.16,0.1976 to 3.973,0.4125 to 3.365,0.9496 to 65.30,0.1449 to 1.204,5.665 to +infinity,6.931 to +infinity,0.02705 to 0.1126,16.50 to +infinity,2.066 to 56.13,1.489 to 32.91,1.338 to 13.14,??? to 0.003689,0.01394 to 0.08656,6.833 to +infinity,-infinity to +infinity,2.128 to +infinity,5.428 to +infinity,16.24 to +infinity,0.04956 to 0.3020,16.50 to +infinity,2.065 to 56.13,1.489 to 32.91,1.338 to 13.14,??? to 0.003689,0.01394 to 0.08656,39.30 to +infinity,6.813 to 86.23,-infinity to +infinity,-infinity to +infinity,7.015 to 44.15,0.03252 to 0.1712
     logIC50,0.3320 to 1.276,,0.5770 to ???,,0.4435 to 1.273,0.2933 to 0.9678,,-0.04283 to 0.9794,-0.5763 to 0.4509,,0.8352 to ???,-0.9772 to -0.1874,0.4374 to 1.441,0.3959 to 0.9096,0.01813 to 0.9044,0.2117 to 1.152,0.2636 to 0.9265,0.1867 to 1.023,,??? to -1.242,1.070 to 2.010,,0.1300 to 0.9299,1.493 to ???,0.8002 to 2.056,1.442 to ???,-1.704 to -1.208,-2.378 to -1.750,,0.4560 to 1.172,-0.4524 to 0.8000,-0.6566 to 0.4281,0.5059 to 1.791,-0.8365 to 0.8292,-0.7478 to 1.893,-0.7043 to 0.5992,-0.3846 to 0.5270,-0.02247 to 1.815,-0.8389 to 0.08053,0.7532 to ???,0.8408 to ???,-1.568 to -0.9485,1.217 to ???,0.3151 to 1.749,0.1730 to 1.517,0.1265 to 1.119,??? to -2.433,-1.856 to -1.063,0.8346 to ???,,0.3281 to ???,0.7346 to ???,1.211 to ???,-1.305 to -0.5200,1.217 to ???,0.3150 to 1.749,0.1730 to 1.517,0.1264 to 1.118,??? to -2.433,-1.856 to -1.063,1.594 to ???,0.8334 to 1.936,,,0.8460 to 1.645,-1.488 to -0.7664
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.4672,-0.1237,-0.1200,-0.2431,0.5178,0.6443,-0.6172,0.5058,0.5575,-0.02069,0.05949,0.6566,0.3375,0.7072,0.4582,0.3895,0.6673,0.4151,-0.03762,0.4621,-0.1013,-0.03773,0.4755,-0.03304,0.1409,0.001132,0.8207,0.8874,-0.3161,0.5747,0.4251,0.5170,0.2069,0.2157,0.1930,0.4163,0.5167,-0.4727,0.5792,-0.3214,-0.04607,0.7264,0.006344,0.1328,-0.4398,0.4348,0.9354,0.6384,-0.2882,-0.1260,-0.4021,0.02884,-0.1501,0.6579,0.006344,0.1328,-0.4398,0.4348,0.9354,0.6384,-0.1476,0.2942,-0.1112,-0.1897,0.2263,0.6407
