,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,4.469,2.842e+052,6.671,97.65,4.354,4.676,1.484e+056,3.198,1.614,8.092e+051,28.13,0.8190,4.519,8.176,2.014,4.435,4.034,3.727,326.4,0.02202,99.27,2.312e+040,30.63,5.929e+047,131.5,310.2,0.08239,0.03524,4.316e+044,10.92,6.774,1.483,18.17,3.746,0.9246,1.973,3.032,86.11,0.7599,229.1,271.6,0.1479,1.263e+034,75.65,65.55,8.934,0.006463,0.03862,8.180e+033,216.5,133.6,18.44,33.92,1.236,1.263e+034,75.65,65.55,8.934,0.006463,0.03862,176.2,132.1,2.834e+037,1.387e+039,106.8,3.293
     logIC50,0.6502,52.45,0.8242,1.990,0.6389,0.6699,56.17,0.5049,0.2079,51.91,1.449,-0.08674,0.6550,0.9126,0.3041,0.6469,0.6057,0.5713,2.514,-1.657,1.997,40.36,1.486,47.77,2.119,2.492,-1.084,-1.453,44.64,1.038,0.8309,0.1711,1.259,0.5736,-0.03404,0.2951,0.4817,1.935,-0.1192,2.360,2.434,-0.8300,34.10,1.879,1.817,0.9511,-2.190,-1.413,33.91,2.335,2.126,1.266,1.530,0.09195,34.10,1.879,1.817,0.9511,-2.190,-1.413,2.246,2.121,37.45,39.14,2.028,0.5176
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.707 to 7.302,-infinity to +infinity,4.341 to 10.27,46.68 to 572.6,2.768 to 6.801,2.871 to 7.571,-infinity to +infinity,1.560 to 6.595,0.7937 to 3.259,-infinity to +infinity,13.81 to 72.09,0.4790 to 1.387,2.489 to 8.054,5.113 to 13.10,1.440 to 2.811,2.097 to 9.089,2.538 to 6.345,2.127 to 6.357,118.1 to +infinity,0.01211 to 0.03628,58.91 to 232.2,-infinity to +infinity,20.65 to 48.68,-infinity to +infinity,61.96 to 1229,92.07 to +infinity,0.04844 to 0.1382,0.01980 to 0.05891,-infinity to +infinity,6.266 to 19.71,3.777 to 12.26,0.8964 to 2.443,10.41 to 34.02,1.937 to 7.231,0.3654 to 2.511,0.9780 to 4.063,1.732 to 5.278,34.46 to +infinity,0.4175 to 1.372,71.99 to +infinity,85.03 to +infinity,0.1068 to 0.2044,-infinity to +infinity,27.66 to +infinity,33.48 to 212.0,4.480 to 18.04,0.004354 to 0.008813,0.02429 to 0.05916,-infinity to +infinity,35.16 to +infinity,32.85 to +infinity,7.223 to 56.70,11.14 to 299.7,0.5290 to 2.650,-infinity to +infinity,27.66 to +infinity,33.48 to 212.0,4.480 to 18.04,0.004354 to 0.008813,0.02429 to 0.05916,98.64 to 568.1,55.25 to +infinity,-infinity to +infinity,-infinity to +infinity,66.57 to 221.8,2.181 to 4.927
     logIC50,0.4325 to 0.8635,,0.6376 to 1.011,1.669 to 2.758,0.4421 to 0.8325,0.4581 to 0.8791,,0.1930 to 0.8192,-0.1003 to 0.5131,,1.140 to 1.858,-0.3197 to 0.1421,0.3961 to 0.9060,0.7086 to 1.117,0.1583 to 0.4489,0.3215 to 0.9585,0.4044 to 0.8025,0.3277 to 0.8032,2.072 to ???,-1.917 to -1.440,1.770 to 2.366,,1.315 to 1.687,,1.792 to 3.089,1.964 to ???,-1.315 to -0.8594,-1.703 to -1.230,,0.7970 to 1.295,0.5772 to 1.089,-0.04751 to 0.3879,1.017 to 1.532,0.2871 to 0.8592,-0.4373 to 0.3999,-0.009646 to 0.6088,0.2386 to 0.7225,1.537 to ???,-0.3794 to 0.1375,1.857 to ???,1.930 to ???,-0.9716 to -0.6895,,1.442 to ???,1.525 to 2.326,0.6513 to 1.256,-2.361 to -2.055,-1.614 to -1.228,,1.546 to ???,1.517 to ???,0.8587 to 1.754,1.047 to 2.477,-0.2766 to 0.4233,,1.442 to ???,1.525 to 2.326,0.6513 to 1.256,-2.361 to -2.055,-1.614 to -1.228,1.994 to 2.754,1.742 to ???,,,1.823 to 2.346,0.3386 to 0.6926
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.7944,-0.04578,0.8143,0.01252,0.8276,0.8065,-0.7240,0.7189,0.7206,-0.004851,0.1814,0.8406,0.7265,0.7544,0.9157,0.5832,0.8272,0.7456,0.06252,0.8702,0.3161,-0.04172,0.6669,-0.001436,0.1075,0.01140,0.8262,0.8267,-0.4440,0.6907,0.7341,0.8455,0.4490,0.7343,0.6350,0.7159,0.7917,-0.3263,0.8137,-0.08097,-0.03152,0.9328,-0.04115,0.1276,-0.4751,0.5939,0.9811,0.8734,-0.1063,-0.08055,-0.4848,-0.2619,-1.004,0.6864,-0.04115,0.1276,-0.4751,0.5939,0.9811,0.8734,-0.01356,0.1349,-0.03493,-0.02934,0.2424,0.8741
