,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,4.586,1.056e+056,6.090,96.99,4.473,4.063,9.636e+032,3.016,1.666,1.036e+061,33.58,0.8007,4.809,8.086,1.940,3.970,3.869,3.872,385.2,0.1386,84.08,2.749e+041,25.39,2413,180.8,225.3,0.07275,0.03370,1.241e+039,10.52,4.006,1.388,22.57,1.529,0.7740,1.480,2.918,67.34,0.7396,346.3,272.8,0.1225,966.1,63.69,68.14,7.844,0.002540,0.03568,1.444e+049,140.0,124.9,18.37,40.10,1.558,966.1,63.69,68.14,7.844,0.002540,0.03568,156.6,147.6,820.8,785.3,112.9,4.338
     logIC50,0.6614,56.02,0.7846,1.987,0.6506,0.6089,32.98,0.4794,0.2216,61.02,1.526,-0.09653,0.6821,0.9077,0.2878,0.5988,0.5876,0.5879,2.586,-0.8583,1.925,41.44,1.405,3.383,2.257,2.353,-1.138,-1.472,39.09,1.022,0.6028,0.1424,1.354,0.1845,-0.1112,0.1703,0.4651,1.828,-0.1310,2.539,2.436,-0.9118,2.985,1.804,1.833,0.8945,-2.595,-1.448,49.16,2.146,2.096,1.264,1.603,0.1926,2.985,1.804,1.833,0.8945,-2.595,-1.448,2.195,2.169,2.914,2.895,2.053,0.6372
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.738 to 7.600,-infinity to +infinity,3.919 to 9.465,44.11 to 869.5,2.795 to 7.109,2.576 to 6.347,-infinity to +infinity,1.428 to 6.466,0.8006 to 3.453,-infinity to +infinity,17.02 to 85.88,0.4501 to 1.402,2.679 to 8.520,5.012 to 13.13,1.230 to 3.052,1.916 to 7.986,2.481 to 5.973,2.303 to 6.378,142.6 to +infinity,0.07866 to 0.2417,53.96 to 159.3,-infinity to +infinity,17.05 to 40.00,135.6 to ???,81.98 to 77663,92.38 to +infinity,0.04317 to 0.1201,0.01938 to 0.05516,-infinity to +infinity,6.048 to 18.91,2.223 to 7.171,0.8478 to 2.256,12.04 to 48.60,0.8604 to 2.692,0.3146 to 1.992,0.8070 to 2.711,1.642 to 5.162,31.45 to 314.6,0.4205 to 1.294,92.32 to +infinity,81.82 to +infinity,0.09109 to 0.1643,86.29 to +infinity,26.95 to 537.4,35.31 to 213.8,4.232 to 14.67,0.001514 to 0.003628,0.02256 to 0.05424,-infinity to +infinity,36.35 to +infinity,34.33 to +infinity,7.939 to 49.01,15.10 to 272.2,0.7484 to 3.033,86.29 to +infinity,26.95 to 537.4,35.31 to 213.8,4.232 to 14.67,0.001514 to 0.003628,0.02256 to 0.05424,97.05 to 346.3,63.45 to +infinity,220.1 to +infinity,193.5 to +infinity,77.23 to 192.0,2.972 to 6.292
     logIC50,0.4375 to 0.8808,,0.5932 to 0.9761,1.645 to 2.939,0.4464 to 0.8518,0.4109 to 0.8026,,0.1548 to 0.8107,-0.09660 to 0.5382,,1.231 to 1.934,-0.3467 to 0.1466,0.4280 to 0.9304,0.7000 to 1.118,0.08975 to 0.4846,0.2823 to 0.9023,0.3947 to 0.7762,0.3624 to 0.8047,2.154 to ???,-1.104 to -0.6168,1.732 to 2.202,,1.232 to 1.602,2.132 to ???,1.914 to 4.890,1.966 to ???,-1.365 to -0.9205,-1.713 to -1.258,,0.7816 to 1.277,0.3470 to 0.8556,-0.07170 to 0.3533,1.081 to 1.687,-0.06529 to 0.4302,-0.5023 to 0.2993,-0.09312 to 0.4332,0.2155 to 0.7128,1.498 to 2.498,-0.3763 to 0.1119,1.965 to ???,1.913 to ???,-1.041 to -0.7843,1.936 to ???,1.431 to 2.730,1.548 to 2.330,0.6266 to 1.166,-2.820 to -2.440,-1.647 to -1.266,,1.560 to ???,1.536 to ???,0.8997 to 1.690,1.179 to 2.435,-0.1259 to 0.4818,1.936 to ???,1.431 to 2.730,1.548 to 2.330,0.6266 to 1.166,-2.820 to -2.440,-1.647 to -1.266,1.987 to 2.539,1.802 to ???,2.343 to ???,2.287 to ???,1.888 to 2.283,0.4731 to 0.7988
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.7833,-0.003530,0.8115,0.009712,0.8138,0.8360,-0.8868,0.7075,0.7139,-0.03337,0.2192,0.8194,0.7320,0.7643,0.8536,0.6183,0.8424,0.7841,0.01890,0.8283,0.4291,-0.0001198,0.6870,-0.009740,0.1014,-0.06476,0.8355,0.8402,-0.2815,0.6953,0.7685,0.8536,0.4446,0.8110,0.6481,0.7742,0.7850,-0.3511,0.8327,-0.05411,0.02335,0.9432,-0.005405,0.2031,-0.2638,0.6750,0.9936,0.8786,-0.07588,-0.1230,-0.4026,-0.1640,-0.7330,0.7273,-0.005405,0.2031,-0.2638,0.6750,0.9936,0.8786,0.1248,0.1089,-0.05626,0.02287,0.4005,0.8797
