,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,4.036,3.834e+052,10.45,66.35,4.045,3.113,2.438e+035,1.968,4.838,106.3,15.15,1.263,9.502,1.574,0.5164,2.314,5.420,3.419,22.95,0.01276,207.0,3.150e+041,8.748,39.11,151.5,1.310e+032,0.09108,0.02529,3.307e+036,7.868,0.2487,1.371,1.314,0.5828,2.626,6.815,4.526,29.80,0.3996,44.99,1.493e+058,0.07296,3.582e+049,2.809e+034,6.307e+043,7.885,0.0004106,0.02400,1.762e+049,121.7,3360,79.04,30.84,1.608,3.582e+049,2.809e+034,6.307e+043,7.885,0.0004106,0.02400,434.3,2399,1.041e+049,5.477e+054,62.02,1.959
     logIC50,0.6060,52.58,1.019,1.822,0.6069,0.4932,35.39,0.2940,0.6847,2.027,1.180,0.1015,0.9778,0.1971,-0.2870,0.3644,0.7340,0.5339,1.361,-1.894,2.316,41.50,0.9419,1.592,2.180,32.12,-1.041,-1.597,36.52,0.8959,-0.6043,0.1370,0.1187,-0.2345,0.4194,0.8335,0.6557,1.474,-0.3984,1.653,58.17,-1.137,49.55,34.45,43.80,0.8968,-3.387,-1.620,49.25,2.085,3.526,1.898,1.489,0.2064,49.55,34.45,43.80,0.8968,-3.387,-1.620,2.638,3.380,49.02,54.74,1.793,0.2920
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.675 to 9.348,-infinity to +infinity,3.445 to 40.10,21.53 to +infinity,1.684 to 9.329,1.286 to 6.963,-infinity to +infinity,0.6617 to 6.382,0.9299 to 46.66,21.01 to +infinity,3.936 to 73.83,0.1981 to 11.64,2.215 to 57.07,0.3415 to 5.908,0.2237 to 1.136,0.7167 to 6.238,1.567 to 17.62,0.2316 to 13.88,7.985 to 100.2,0.0005350 to 0.03696,36.17 to +infinity,-infinity to +infinity,3.752 to 20.21,19.39 to 112.0,23.93 to +infinity,-infinity to +infinity,0.04213 to 0.1905,0.01336 to 0.04318,-infinity to +infinity,2.277 to 30.18,0.01084 to 3.368,0.2057 to 12.02,0.1753 to 12.42,0.1749 to 1.843,0.1933 to +infinity,0.1206 to +infinity,1.722 to 12.58,15.48 to 70.35,0.2050 to 0.7645,17.26 to 399.8,-infinity to +infinity,0.05611 to 0.09434,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,2.618 to 25.97,??? to 0.008334,0.01582 to 0.03472,-infinity to +infinity,21.63 to +infinity,45.93 to +infinity,17.65 to +infinity,9.372 to 350.7,0.5627 to 4.096,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,2.618 to 25.97,??? to 0.008334,0.01582 to 0.03472,51.89 to +infinity,58.92 to +infinity,-infinity to +infinity,-infinity to +infinity,25.83 to 544.4,0.8357 to 4.161
     logIC50,0.2239 to 0.9707,,0.5372 to 1.603,1.333 to ???,0.2263 to 0.9698,0.1093 to 0.8428,,-0.1794 to 0.8050,-0.03157 to 1.669,1.322 to ???,0.5951 to 1.868,-0.7032 to 1.066,0.3454 to 1.756,-0.4666 to 0.7715,-0.6504 to 0.05551,-0.1446 to 0.7950,0.1951 to 1.246,-0.6353 to 1.142,0.9022 to 2.001,-3.272 to -1.432,1.558 to ???,,0.5743 to 1.305,1.287 to 2.049,1.379 to ???,,-1.375 to -0.7200,-1.874 to -1.365,,0.3573 to 1.480,-1.965 to 0.5274,-0.6867 to 1.080,-0.7561 to 1.094,-0.7573 to 0.2656,-0.7139 to ???,-0.9188 to ???,0.2361 to 1.100,1.190 to 1.847,-0.6883 to -0.1166,1.237 to 2.602,,-1.251 to -1.025,,,,0.4179 to 1.414,??? to -2.079,-1.801 to -1.459,,1.335 to ???,1.662 to ???,1.247 to ???,0.9718 to 2.545,-0.2497 to 0.6123,,,,0.4179 to 1.414,??? to -2.079,-1.801 to -1.459,1.715 to ???,1.770 to ???,,,1.412 to 2.736,-0.07794 to 0.6192
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.5966,-0.09293,0.3691,-0.1062,0.5840,0.6203,-0.1612,0.5613,0.2561,-0.07115,0.01536,0.3162,0.1859,0.3594,0.6927,0.4826,0.4085,-0.009029,-0.2044,0.6296,0.01068,-0.005593,0.4464,0.2133,-0.08590,-0.002462,0.7069,0.8298,-0.1664,0.3918,0.03920,0.3261,0.2692,0.4790,0.09669,-0.005623,0.5428,0.1535,0.7915,0.01875,-0.01498,0.9542,-0.6162,-0.05555,-0.02990,0.4158,0.7726,0.9157,-0.1977,-0.5636,8.395e-006,-0.04234,-1.178,0.5798,-0.6162,-0.05555,-0.02990,0.4158,0.7726,0.9157,-0.2425,-0.02101,-0.06554,-0.001617,-0.06017,0.5906
