,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.401,2.536e+035,10.31,3.716e+034,4.083,1.862,7.876e+035,3.528,1.856,1.110e+059,10.33,0.1733,3.953,7.267,1.190,2.114,4.294,3.227,83.74,0.005631,57.92,1.072e+042,5.247,170.8,44.69,1.407e+036,0.06939,0.04701,8.295e+047,6.117,2.130,0.7309,9.510,1.019,1.094,1.603,2.322,8.186,0.4068,467.6,7.341e+030,0.05886,9.879e+048,5.322e+040,3.936e+033,8.245,0.004796,0.02294,64.28,66.21,223.3,17.07,14.07,0.1662,9.878e+048,5.317e+040,3.936e+033,8.245,0.004796,0.02294,112.8,68.10,218.4,5.539e+055,32.26,0.2341
     logIC50,0.3803,35.40,1.013,34.57,0.6110,0.2699,35.90,0.5476,0.2685,59.05,1.014,-0.7611,0.5969,0.8613,0.07572,0.3252,0.6328,0.5089,1.923,-2.249,1.763,42.03,0.7199,2.232,1.650,36.15,-1.159,-1.328,47.92,0.7866,0.3283,-0.1361,0.9782,0.008299,0.03906,0.2049,0.3659,0.9131,-0.3906,2.670,30.87,-1.230,48.99,40.73,33.60,0.9162,-2.319,-1.639,1.808,1.821,2.349,1.232,1.148,-0.7793,48.99,40.73,33.60,0.9162,-2.319,-1.639,2.052,1.833,2.339,55.74,1.509,-0.6306
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,0.8920 to 5.608,-infinity to +infinity,4.576 to 24.64,-infinity to +infinity,2.045 to 7.894,0.7656 to 3.994,-infinity to +infinity,1.184 to 11.06,0.6046 to 5.536,-infinity to +infinity,2.833 to 38.80,0.05958 to 0.4948,1.565 to 9.543,2.245 to 22.10,0.6556 to 2.095,0.7220 to 5.640,1.878 to 9.433,0.8767 to 8.992,19.46 to +infinity,??? to 0.02837,19.53 to +infinity,-infinity to +infinity,1.992 to 12.65,34.79 to +infinity,12.03 to +infinity,-infinity to +infinity,0.03704 to 0.1259,0.01580 to 0.1197,-infinity to +infinity,2.782 to 13.69,0.5923 to 5.723,0.3673 to 1.415,3.419 to 27.39,0.3016 to 3.251,0.3305 to 4.418,0.6089 to 4.411,1.099 to 4.945,1.716 to 31.82,0.1923 to 0.8529,24.94 to ???,-infinity to +infinity,0.03911 to 0.08715,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,3.220 to 21.90,0.001760 to 0.008397,0.01467 to 0.03388,11.06 to +infinity,10.10 to +infinity,21.85 to +infinity,4.053 to 109.9,0.07005 to 189.1,0.07273 to 0.3970,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,3.220 to 21.90,0.001760 to 0.008397,0.01467 to 0.03388,35.41 to +infinity,20.03 to +infinity,41.12 to +infinity,-infinity to +infinity,14.15 to 112.2,0.09780 to 0.5605
     logIC50,-0.04963 to 0.7488,,0.6605 to 1.392,,0.3106 to 0.8973,-0.1160 to 0.6014,,0.07319 to 1.044,-0.2185 to 0.7432,,0.4522 to 1.589,-1.225 to -0.3056,0.1944 to 0.9797,0.3512 to 1.344,-0.1834 to 0.3212,-0.1415 to 0.7513,0.2738 to 0.9746,-0.05714 to 0.9539,1.289 to ???,??? to -1.547,1.291 to ???,,0.2994 to 1.102,1.542 to ???,1.080 to ???,,-1.431 to -0.8998,-1.801 to -0.9220,,0.4444 to 1.136,-0.2275 to 0.7576,-0.4349 to 0.1508,0.5339 to 1.438,-0.5206 to 0.5120,-0.4808 to 0.6452,-0.2154 to 0.6445,0.04109 to 0.6942,0.2346 to 1.503,-0.7160 to -0.06912,1.397 to ???,,-1.408 to -1.060,,,,0.5079 to 1.340,-2.755 to -2.076,-1.834 to -1.470,1.044 to ???,1.004 to ???,1.339 to ???,0.6078 to 2.041,-1.155 to 2.277,-1.138 to -0.4012,,,,0.5079 to 1.340,-2.755 to -2.076,-1.834 to -1.470,1.549 to ???,1.302 to ???,1.614 to ???,,1.151 to 2.050,-1.010 to -0.2514
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.5616,-0.3405,0.4567,-0.04878,0.6661,0.6043,-0.5227,0.5232,0.4831,-0.02387,-0.1830,0.5641,0.5213,0.3704,0.7805,0.5079,0.6043,0.2809,-0.06660,0.5284,0.07559,-0.0009460,0.3703,-0.04602,0.02806,-0.1407,0.7815,0.5776,-0.01838,0.5961,0.2952,0.7678,0.2767,0.4412,0.5089,0.5626,0.6803,-0.4325,0.7362,-0.02333,-0.0003031,0.8959,-0.09181,-0.05793,-0.3571,0.4403,0.9526,0.9083,-0.2225,-0.3392,-0.2995,-0.07712,-1.646,0.6756,-0.09181,-0.05793,-0.3571,0.4403,0.9526,0.9083,-0.2689,0.09146,0.01168,-0.001651,0.1322,0.6228
