,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.252,4.508e+033,22.96,8.711e+057,4.439,0.6502,6.215e+034,1.907,0.7977,6.689e+037,76.70,0.8576,7.933,6.723,4.556,4.515,3.502,5.016,1.605e+043,0.07422,31.35,3.998e+035,10.73,328.7,36.92,13665,0.05703,0.05040,6.571e+037,11.29,2.121,1.674,25.17,2.132,0.7596,1.993,1.551,25.66,0.5140,84.74,59.47,0.08617,89.49,88.38,16.44,5.284,0.001294,0.03802,5.016e+032,115.8,51.92,8.064,63.33,0.6672,89.49,88.38,16.44,5.284,0.001294,0.03802,5.199e+048,34.36,5.223e+054,154.3,19.10,0.7148
     logIC50,0.09758,33.65,1.361,57.94,0.6473,-0.1869,34.79,0.2804,-0.09818,37.83,1.885,-0.06672,0.8994,0.8276,0.6585,0.6546,0.5443,0.7004,43.21,-1.130,1.496,35.60,1.030,2.517,1.567,4.136,-1.244,-1.298,37.82,1.053,0.3266,0.2238,1.401,0.3287,-0.1194,0.2994,0.1905,1.409,-0.2890,1.928,1.774,-1.065,1.952,1.946,1.216,0.7230,-2.888,-1.420,32.70,2.064,1.715,0.9065,1.802,-0.1757,1.952,1.946,1.216,0.7230,-2.888,-1.420,48.72,1.536,54.72,2.188,1.281,-0.1458
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,0.3152 to 3.616,-infinity to +infinity,3.348 to +infinity,-infinity to +infinity,2.446 to 7.939,0.2027 to 1.845,-infinity to +infinity,0.9473 to 3.829,0.4088 to 1.517,-infinity to +infinity,24.23 to +infinity,0.3626 to 1.895,3.046 to 21.92,3.499 to 12.87,1.662 to 13.45,2.031 to 9.841,2.247 to 5.420,2.732 to 9.114,-infinity to +infinity,0.03638 to 0.1456,16.77 to 71.06,-infinity to +infinity,6.043 to 19.30,63.32 to +infinity,16.93 to 122.6,56.96 to ???,0.03302 to 0.09542,0.02311 to 0.1024,-infinity to +infinity,5.221 to 27.06,0.9469 to 4.403,0.8381 to 3.309,8.056 to 178.6,0.7396 to 6.387,0.2796 to 2.242,0.7199 to 5.962,0.6498 to 3.501,9.864 to 100.7,0.2602 to 1.001,21.64 to +infinity,20.28 to +infinity,0.05121 to 0.1429,23.55 to +infinity,21.89 to +infinity,6.098 to 49.75,2.500 to 10.80,??? to 0.002780,0.02138 to 0.06383,-infinity to +infinity,20.47 to +infinity,11.42 to +infinity,1.707 to 30.19,14.38 to +infinity,0.2123 to 1.753,23.55 to +infinity,21.89 to +infinity,6.098 to 49.75,2.500 to 10.80,??? to 0.002780,0.02138 to 0.06383,-infinity to +infinity,13.87 to 164.0,-infinity to +infinity,52.97 to +infinity,11.65 to 33.25,0.3048 to 1.586
     logIC50,-0.5014 to 0.5582,,0.5247 to ???,,0.3885 to 0.8998,-0.6932 to 0.2661,,-0.02350 to 0.5831,-0.3885 to 0.1811,,1.384 to ???,-0.4406 to 0.2776,0.4838 to 1.341,0.5439 to 1.109,0.2206 to 1.129,0.3078 to 0.9930,0.3517 to 0.7340,0.4365 to 0.9597,,-1.439 to -0.8369,1.225 to 1.852,,0.7812 to 1.286,1.802 to ???,1.229 to 2.089,1.756 to ???,-1.481 to -1.020,-1.636 to -0.9896,,0.7177 to 1.432,-0.02369 to 0.6437,-0.07669 to 0.5196,0.9061 to 2.252,-0.1310 to 0.8053,-0.5535 to 0.3506,-0.1427 to 0.7754,-0.1872 to 0.5442,0.9940 to 2.003,-0.5847 to 0.0002996,1.335 to ???,1.307 to ???,-1.291 to -0.8449,1.372 to ???,1.340 to ???,0.7852 to 1.697,0.3979 to 1.033,??? to -2.556,-1.670 to -1.195,,1.311 to ???,1.058 to ???,0.2322 to 1.480,1.158 to ???,-0.6730 to 0.2438,1.372 to ???,1.340 to ???,0.7852 to 1.697,0.3979 to 1.033,??? to -2.556,-1.670 to -1.195,,1.142 to 2.215,,1.724 to ???,1.066 to 1.522,-0.5160 to 0.2002
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.4126,-0.3589,0.07279,-0.003567,0.7069,0.5230,-0.4330,0.7448,0.7682,-0.06398,0.09917,0.6628,0.4324,0.6250,0.4619,0.5483,0.8533,0.7161,-0.09259,0.7500,-0.05029,-0.1088,0.5857,-0.01016,0.05613,-0.04547,0.8262,0.7043,-1.067,0.5323,0.6290,0.7233,0.2219,0.5554,0.6044,0.5206,0.6178,-0.01873,0.7649,-0.1510,0.05920,0.8425,-0.04713,0.05572,-0.2860,0.6096,0.9869,0.8218,-0.07169,-0.1749,-0.1869,-0.4576,-0.3562,0.5619,-0.04713,0.05572,-0.2860,0.6096,0.9869,0.8218,-0.8889,0.2532,-0.3102,0.05390,0.4702,0.6519
