,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,6.094,1.697e+051,41.82,4.919e+031,7.321,1.874,2.874e+045,2.612,0.6210,1.506e+037,42.62,0.2940,8.679,4.326,1.820,5.033,4.014,4.442,164.4,0.01489,28.88,1.811e+051,3.168,162.3,23.77,584.3,0.03800,0.01013,3.812e+048,6.499,1.681,1.014,15.45,1.834,1.269,2.885,1.196,12.27,0.4320,52.34,34.40,0.05849,122.8,11.03,5.616,3.579,0.0008467,0.03686,51.41,3.533e+053,13.69,25.71,8.116e+036,0.1353,122.8,11.03,5.616,3.579,0.0008467,0.03686,282.7,19.13,1.893e+061,1.434e+032,16.14,0.06586
     logIC50,0.7849,51.23,1.621,31.69,0.8645,0.2728,45.46,0.4170,-0.2069,37.18,1.630,-0.5317,0.9385,0.6361,0.2602,0.7018,0.6036,0.6476,2.216,-1.827,1.461,51.26,0.5007,2.210,1.376,2.767,-1.420,-1.995,48.58,0.8128,0.2255,0.006181,1.189,0.2634,0.1034,0.4601,0.07763,1.089,-0.3645,1.719,1.537,-1.233,2.089,1.043,0.7494,0.5538,-3.072,-1.433,1.711,53.55,1.137,1.410,36.91,-0.8687,2.089,1.043,0.7494,0.5537,-3.072,-1.433,2.451,1.282,61.28,32.16,1.208,-1.181
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.078 to 18.95,-infinity to +infinity,4.232 to +infinity,-infinity to +infinity,2.363 to 29.01,0.6892 to 4.527,-infinity to +infinity,0.9395 to 7.600,0.2062 to 1.822,-infinity to +infinity,6.880 to +infinity,0.1156 to 0.7266,2.852 to 30.20,2.312 to 7.925,0.6213 to 5.117,1.675 to 14.60,1.831 to 8.736,1.681 to 10.73,21.25 to +infinity,-infinity to 0.05729,11.55 to 114.5,-infinity to +infinity,1.171 to 7.899,32.12 to +infinity,7.007 to 181.1,29.10 to ???,0.02069 to 0.06538,0.003976 to 0.01848,-infinity to +infinity,2.880 to 14.96,0.5072 to 4.940,0.2227 to 3.454,4.018 to 113.2,0.1936 to 10.67,0.2062 to 14.32,0.4304 to 36.64,0.4019 to 3.327,1.677 to 80.08,0.1592 to 1.185,5.966 to +infinity,7.131 to +infinity,0.02770 to 0.1171,15.38 to +infinity,2.064 to 62.80,0.9202 to 24.41,0.9576 to 11.15,??? to 0.004052,0.01365 to 0.08370,4.785 to +infinity,-infinity to +infinity,0.1805 to +infinity,5.013 to +infinity,-infinity to +infinity,0.05146 to 0.3648,15.38 to +infinity,2.064 to 62.79,0.9202 to 24.41,0.9574 to 11.15,??? to 0.004052,0.01365 to 0.08370,40.75 to +infinity,6.604 to 83.85,-infinity to +infinity,-infinity to +infinity,6.696 to 46.41,0.02887 to 0.1456
     logIC50,0.3177 to 1.278,,0.6266 to ???,,0.3734 to 1.463,-0.1617 to 0.6558,,-0.02712 to 0.8808,-0.6858 to 0.2606,,0.8376 to ???,-0.9371 to -0.1387,0.4551 to 1.480,0.3639 to 0.8990,-0.2067 to 0.7090,0.2241 to 1.164,0.2626 to 0.9413,0.2255 to 1.031,1.327 to ???,??? to -1.242,1.063 to 2.059,,0.06840 to 0.8975,1.507 to ???,0.8455 to 2.258,1.464 to ???,-1.684 to -1.185,-2.401 to -1.733,,0.4594 to 1.175,-0.2948 to 0.6937,-0.6523 to 0.5383,0.6040 to 2.054,-0.7132 to 1.028,-0.6857 to 1.156,-0.3661 to 1.564,-0.3959 to 0.5221,0.2245 to 1.904,-0.7980 to 0.07354,0.7757 to ???,0.8532 to ???,-1.557 to -0.9313,1.187 to ???,0.3148 to 1.798,-0.03611 to 1.388,-0.01884 to 1.047,??? to -2.392,-1.865 to -1.077,0.6799 to ???,,-0.7436 to ???,0.7001 to ???,,-1.289 to -0.4379,1.187 to ???,0.3147 to 1.798,-0.03611 to 1.388,-0.01891 to 1.047,??? to -2.392,-1.865 to -1.077,1.610 to ???,0.8198 to 1.924,,,0.8258 to 1.667,-1.540 to -0.8369
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.4622,-0.1419,-0.2533,-0.2794,0.3876,0.5570,-0.6215,0.5579,0.5996,-9.636e-005,0.04948,0.6505,0.3402,0.6854,0.4673,0.3908,0.6565,0.4377,0.004600,0.4668,-0.1608,-0.04761,0.4567,-0.03622,0.1191,0.001228,0.8157,0.8752,-0.3642,0.5735,0.4750,0.4377,0.1903,0.1826,0.3092,0.2334,0.5120,-0.4488,0.6021,-0.4118,-0.04274,0.7231,0.001816,0.1078,-0.4484,0.3305,0.9446,0.6435,-0.3404,-0.08960,-0.6071,0.02467,-0.1190,0.6267,0.001816,0.1078,-0.4484,0.3305,0.9446,0.6435,-0.1273,0.2953,-0.1088,-0.2659,0.2073,0.6497
