,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,3.832,9.673e+031,7.105,103.2,5.397,3.356,459.1,2.225,1.612,135.5,21.94,0.7432,6.012,6.359,2.554,4.369,4.068,4.279,1.183e+035,2.427,41.23,1.279e+044,59.37,969.9,152.9,490.3,0.06608,0.03179,1.949e+059,9.628,1.059e+059,1.052e+042,2.484e+058,1.371e+031,1.316e+045,1.371e+056,3.009,38.57,0.7468,339.3,195.9,0.09305,192.3,22.51,190.1,6.068,0.0004714,0.04924,1.400e+033,141.3,69.35,19.44,58.22,2.954,192.3,22.51,190.1,6.068,0.0004714,0.04750,135.5,111.5,7.812e+048,576.1,45.71,10.43
     logIC50,0.5834,31.99,0.8515,2.014,0.7322,0.5259,2.662,0.3474,0.2074,2.132,1.341,-0.1289,0.7790,0.8034,0.4072,0.6404,0.6094,0.6314,35.07,0.3852,1.615,44.11,1.774,2.987,2.184,2.690,-1.180,-1.498,59.29,0.9836,59.02,42.02,58.40,31.14,45.12,56.14,0.4785,1.586,-0.1268,2.531,2.292,-1.031,2.284,1.352,2.279,0.7831,-3.327,-1.308,33.15,2.150,1.841,1.289,1.765,0.4703,2.284,1.352,2.279,0.7830,-3.327,-1.323,2.132,2.047,48.89,2.761,1.660,1.018
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.042 to 6.911,-infinity to +infinity,4.299 to 11.80,55.62 to 335.7,3.249 to 8.914,2.094 to 5.275,51.82 to +infinity,1.182 to 4.212,0.7603 to 3.487,35.99 to +infinity,11.37 to 48.09,0.4078 to 1.312,3.343 to 10.75,4.383 to 9.227,1.333 to 4.972,2.081 to 8.959,2.660 to 6.167,2.753 to 6.589,-infinity to +infinity,0.7075 to 8.583,23.98 to 85.18,-infinity to +infinity,29.19 to 211.2,79.78 to +infinity,45.72 to +infinity,69.02 to +infinity,0.03710 to 0.1144,0.01656 to 0.05587,-infinity to +infinity,4.868 to 20.10,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,-infinity to +infinity,1.570 to 5.759,16.83 to 147.6,0.3953 to 1.414,56.99 to +infinity,42.77 to +infinity,0.05767 to 0.1491,42.07 to +infinity,12.04 to 46.57,42.91 to +infinity,3.331 to 11.01,??? to 0.001948,0.02575 to 0.08980,-infinity to +infinity,33.65 to +infinity,23.22 to +infinity,6.817 to 69.69,19.53 to +infinity,1.227 to 6.441,42.07 to +infinity,12.04 to 46.57,42.91 to +infinity,3.331 to 11.01,??? to 0.001948,0.02639 to 0.08178,65.01 to 1069,42.17 to +infinity,-infinity to +infinity,118.6 to +infinity,29.52 to 80.07,5.270 to 20.98
     logIC50,0.3100 to 0.8395,,0.6334 to 1.072,1.745 to 2.526,0.5118 to 0.9501,0.3211 to 0.7222,1.715 to ???,0.07271 to 0.6245,-0.1190 to 0.5424,1.556 to ???,1.056 to 1.682,-0.3895 to 0.1180,0.5242 to 1.031,0.6418 to 0.9650,0.1247 to 0.6965,0.3183 to 0.9523,0.4249 to 0.7901,0.4398 to 0.8188,,-0.1503 to 0.9336,1.380 to 1.930,,1.465 to 2.325,1.902 to ???,1.660 to ???,1.839 to ???,-1.431 to -0.9415,-1.781 to -1.253,,0.6873 to 1.303,,,,,,,0.1958 to 0.7603,1.226 to 2.169,-0.4030 to 0.1504,1.756 to ???,1.631 to ???,-1.239 to -0.8265,1.624 to ???,1.081 to 1.668,1.633 to ???,0.5225 to 1.042,??? to -2.710,-1.589 to -1.047,,1.527 to ???,1.366 to ???,0.8336 to 1.843,1.291 to ???,0.08889 to 0.8090,1.624 to ???,1.081 to 1.668,1.633 to ???,0.5225 to 1.042,??? to -2.710,-1.578 to -1.087,1.813 to 3.029,1.625 to ???,,2.074 to ???,1.470 to 1.903,0.7218 to 1.322
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.6663,-0.3661,0.6933,0.1806,0.7520,0.8195,-0.002860,0.7755,0.7016,-0.3163,0.3871,0.8002,0.6741,0.8435,0.7107,0.5691,0.8422,0.8234,-0.0007180,0.3171,-0.07083,-0.01504,0.2081,0.0006288,-0.1127,-0.06808,0.7979,0.8015,-0.4863,0.6141,-0.01046,-0.05667,-0.1961,-0.0005246,-0.02124,-0.03858,0.7268,-0.1376,0.7786,-0.06704,-0.02846,0.8461,-0.09416,0.2147,-0.002331,0.7137,0.9860,0.7603,-0.06536,-0.1958,-0.9679,-0.8178,-0.3281,0.5450,-0.09416,0.2147,-0.002332,0.7137,0.9860,0.8032,-0.1476,0.1113,-0.2452,-0.006505,0.3248,0.4032
