,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,3.336,6.211e+048,19.72,2.219e+041,6.770,2.898,4.978e+049,3.422,0.9631,6.083e+055,51.85,0.8440,4.311,12.09,5.704,7.586,7.686,6.524,1.347e+044,0.01304,19.25,64.28,7.815,2.265e+033,28.96,126.4,0.07935,0.04855,5.080e+032,14.16,40.04,2.804,30.40,7.272,1.314,0.1625,2.841,57.24,0.8827,899.5,119.0,0.3345,5.738e+037,1.900e+031,12.63,9.110,0.004819,0.02416,7.354e+057,593.5,51.17,20.13,56.99,1.315,5.738e+037,1.900e+031,12.63,9.110,0.004819,0.02416,938.8,42.97,3.870e+032,102.0,31.35,2.486
     logIC50,0.5232,48.79,1.295,41.35,0.8306,0.4621,49.70,0.5342,-0.01633,55.78,1.715,-0.07365,0.6346,1.082,0.7562,0.8800,0.8857,0.8145,44.13,-1.885,1.284,1.808,0.8929,33.36,1.462,2.102,-1.100,-1.314,32.71,1.151,1.603,0.4478,1.483,0.8616,0.1186,-0.7893,0.4534,1.758,-0.05419,2.954,2.076,-0.4756,37.76,31.28,1.101,0.9595,-2.317,-1.617,57.87,2.773,1.709,1.304,1.756,0.1188,37.76,31.28,1.101,0.9595,-2.317,-1.617,2.973,1.633,32.59,2.009,1.496,0.3956
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,1.496 to 7.112,-infinity to +infinity,4.288 to +infinity,-infinity to +infinity,2.586 to 18.59,1.054 to 7.071,-infinity to +infinity,1.814 to 6.448,0.5205 to 1.734,-infinity to +infinity,19.04 to 921.8,0.4671 to 1.480,1.190 to 13.00,2.042 to 69.65,1.505 to 20.69,2.261 to 26.32,1.792 to 51.49,1.878 to 28.53,-infinity to +infinity,0.003495 to 0.02864,11.16 to 35.50,38.37 to 136.6,5.403 to 11.32,-infinity to +infinity,18.69 to 48.30,52.77 to +infinity,0.04212 to 0.1469,0.02620 to 0.08585,-infinity to +infinity,6.895 to 31.92,0.9134 to ???,0.4504 to 18.51,2.234 to +infinity,1.277 to 60.55,0.2798 to 8.055,0.01243 to 1.151,1.705 to 4.706,33.12 to 128.0,0.5252 to 1.471,97.53 to +infinity,47.87 to +infinity,0.2212 to 0.5034,-infinity to +infinity,-infinity to +infinity,2.112 to 63.33,4.345 to 19.23,0.0009497 to 0.009656,0.01594 to 0.03494,-infinity to +infinity,41.61 to +infinity,19.45 to 644.0,9.652 to 48.25,20.83 to 2852,0.7688 to 2.184,-infinity to +infinity,-infinity to +infinity,2.112 to 63.33,4.345 to 19.23,0.0009497 to 0.009656,0.01593 to 0.03493,91.07 to +infinity,27.40 to 76.55,-infinity to +infinity,40.42 to +infinity,21.74 to 47.91,1.915 to 3.222
     logIC50,0.1748 to 0.8520,,0.6323 to ???,,0.4126 to 1.269,0.02269 to 0.8495,,0.2587 to 0.8094,-0.2836 to 0.2390,,1.280 to 2.965,-0.3306 to 0.1704,0.07546 to 1.114,0.3101 to 1.843,0.1776 to 1.316,0.3542 to 1.420,0.2534 to 1.712,0.2737 to 1.455,,-2.457 to -1.543,1.048 to 1.550,1.584 to 2.135,0.7326 to 1.054,,1.272 to 1.684,1.722 to ???,-1.376 to -0.8330,-1.582 to -1.066,,0.8385 to 1.504,-0.03935 to ???,-0.3464 to 1.267,0.3490 to ???,0.1061 to 1.782,-0.5531 to 0.9060,-1.906 to 0.06120,0.2318 to 0.6726,1.520 to 2.107,-0.2796 to 0.1675,1.989 to ???,1.680 to ???,-0.6552 to -0.2981,,,0.3248 to 1.802,0.6380 to 1.284,-3.022 to -2.015,-1.798 to -1.457,,1.619 to ???,1.289 to 2.809,0.9846 to 1.684,1.319 to 3.455,-0.1142 to 0.3393,,,0.3248 to 1.802,0.6380 to 1.284,-3.022 to -2.015,-1.798 to -1.457,1.959 to ???,1.438 to 1.884,,1.607 to ???,1.337 to 1.680,0.2823 to 0.5081
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.6604,-0.05477,0.08663,-0.5514,0.4609,0.4599,-0.08626,0.7546,0.7927,-0.06310,-0.2966,0.8069,0.3084,0.05844,0.2606,0.3236,0.2782,0.3719,-0.2090,0.7643,0.4912,0.2346,0.8432,-0.06857,0.3902,0.1208,0.7623,0.7872,-0.5202,0.5390,-0.1281,0.2803,0.02539,0.2014,0.3551,0.2441,0.8195,0.3039,0.8552,-0.06601,-0.1894,0.8961,-0.01779,-0.05927,-1.339,0.5465,0.9220,0.9161,-0.1034,-0.008089,-0.3242,0.3043,-0.3450,0.8176,-0.01779,-0.05927,-1.339,0.5465,0.9220,0.9162,0.003014,0.5684,-0.05132,-0.05540,0.6317,0.9466
