,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,6.250,136.2,27.11,1.503e+034,5.162,4.724,5.025e+061,3.678,1.148,3.011e+060,53.86,1.633,5.875,16.06,8.250,9.593,4.943,5.519,7.363e+040,0.01917,153.0,26.82,18.38,1.938e+044,29.70,1370,0.1237,0.04346,1.142e+033,10.45,10.01,2.406,90.91,6.658,0.8213,1.826,3.601,69.69,1.113,372.3,1.992e+047,0.4915,2.832e+049,290.8,1468,8.922,0.009775,0.03206,205.7,355.8,3.270e+041,13.59,62.83,0.6197,2.832e+049,290.8,1468,8.922,0.009775,0.03205,140.5,111.3,2.647e+053,323.1,103.2,3.453
     logIC50,0.7959,2.134,1.433,34.18,0.7128,0.6743,61.70,0.5656,0.06002,60.48,1.731,0.2131,0.7690,1.206,0.9165,0.9819,0.6940,0.7418,40.87,-1.717,2.185,1.429,1.264,44.29,1.473,3.137,-0.9078,-1.362,33.06,1.019,1.000,0.3812,1.959,0.8233,-0.08548,0.2614,0.5564,1.843,0.04641,2.571,47.30,-0.3085,49.45,2.464,3.167,0.9505,-2.010,-1.494,2.313,2.551,41.51,1.133,1.798,-0.2078,49.45,2.464,3.167,0.9505,-2.010,-1.494,2.148,2.046,53.42,2.509,2.014,0.5382
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,3.066 to 13.07,33.38 to +infinity,5.201 to +infinity,-infinity to +infinity,2.614 to 10.18,2.407 to 9.043,-infinity to +infinity,2.099 to 6.447,0.6541 to 1.994,-infinity to +infinity,17.86 to +infinity,0.8536 to 3.014,2.985 to 11.58,6.944 to 41.74,3.381 to 21.44,3.299 to 30.06,2.666 to 9.220,2.872 to 10.58,-infinity to +infinity,0.008828 to 0.03521,21.50 to +infinity,13.37 to 65.30,8.503 to 46.63,-infinity to +infinity,20.90 to 44.32,75.62 to ???,0.06003 to 0.2585,0.02436 to 0.07382,-infinity to +infinity,6.313 to 17.53,1.848 to 161.3,0.5788 to 10.23,8.792 to +infinity,1.417 to 42.58,0.2379 to 2.996,0.5484 to 6.184,2.013 to 6.366,30.55 to 478.6,0.5848 to 2.077,78.78 to +infinity,-infinity to +infinity,0.2799 to 0.8579,-infinity to +infinity,41.30 to +infinity,75.22 to ???,4.761 to 16.78,0.006356 to 0.01379,0.02180 to 0.04569,47.66 to +infinity,40.11 to +infinity,-infinity to +infinity,6.876 to 28.06,22.33 to +infinity,0.3276 to 1.141,-infinity to +infinity,41.30 to +infinity,75.22 to ???,4.761 to 16.78,0.006356 to 0.01379,0.02179 to 0.04568,50.46 to +infinity,54.98 to 585.2,-infinity to +infinity,62.13 to +infinity,55.11 to 346.2,2.161 to 5.527
     logIC50,0.4865 to 1.116,1.523 to ???,0.7161 to ???,,0.4173 to 1.008,0.3815 to 0.9563,,0.3220 to 0.8094,-0.1844 to 0.2997,,1.252 to ???,-0.06875 to 0.4791,0.4749 to 1.064,0.8416 to 1.621,0.5291 to 1.331,0.5183 to 1.478,0.4258 to 0.9647,0.4582 to 1.024,,-2.054 to -1.453,1.332 to ???,1.126 to 1.815,0.9296 to 1.669,,1.320 to 1.647,1.879 to ???,-1.222 to -0.5875,-1.613 to -1.132,,0.8002 to 1.244,0.2668 to 2.208,-0.2375 to 1.010,0.9441 to ???,0.1515 to 1.629,-0.6236 to 0.4766,-0.2609 to 0.7913,0.3038 to 0.8038,1.485 to 2.680,-0.2330 to 0.3174,1.896 to ???,,-0.5531 to -0.06655,,1.616 to ???,1.876 to ???,0.6777 to 1.225,-2.197 to -1.860,-1.662 to -1.340,1.678 to ???,1.603 to ???,,0.8373 to 1.448,1.349 to ???,-0.4847 to 0.05745,,1.616 to ???,1.876 to ???,0.6777 to 1.225,-2.197 to -1.860,-1.662 to -1.340,1.703 to ???,1.740 to 2.767,,1.793 to ???,1.741 to 2.539,0.3346 to 0.7425
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.6396,0.03704,-0.008226,-0.1341,0.6841,0.6370,-0.09914,0.7889,0.8126,-0.3389,-0.4948,0.7614,0.6628,0.4186,0.4777,0.3309,0.7245,0.6866,-0.1405,0.8208,-0.1886,0.1726,0.4335,-0.03475,0.6299,-0.1045,0.7049,0.8122,-0.1855,0.6957,0.1959,0.3881,0.01500,0.2813,0.4821,0.4630,0.7657,-0.6288,0.7886,0.01941,-0.05375,0.8297,-0.01259,-0.008039,-0.2235,0.6235,0.9618,0.9140,-0.1645,0.006052,-0.05574,0.3294,-0.3576,0.7907,-0.01259,-0.008039,-0.2235,0.6235,0.9618,0.9141,0.09293,0.2133,-0.007045,-0.001473,0.2742,0.8548
